"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P05","Mucho",0.391,0.46,0.443,0.356,0.165,0.267
"P05","Bastante",0.336,0.299,0.348,0.255,0.142,0.263
"P05","Poco",0.146,0.142,0.121,0.353,0.477,0.19
"P05","Nada",0.098,0.025,0.088,0.029,0.216,0.19
"P05","No sabe",0.029,0.074,0,0.007,0,0.09
"P06","Siempre",0.215,0.257,0.248,0.149,0.102,0.063
"P06","Casi siempre",0.299,0.321,0.27,0.281,0.14,0.239
"P06","Casi nunca",0.277,0.342,0.337,0.384,0.294,0.243
"P06","Nunca, pero esta es una excepción",0.209,0.08,0.145,0.186,0.464,0.455
"P10","Unidos para Cambiar misiones",0.115,0.314,0.591,0.374,0.119,0.152
"P10","Juntos Avancemos",0.27,0.336,0.147,0.328,0.077,0.207
"P10","De los liberales libertarios",0.464,0.224,0.182,0.141,0.118,0.181
"P10","De la Izquierda",0.013,0.002,0,0.009,0.022,0.052
"P10","Hacemos por nuestro país",0.005,0.068,0.014,0.045,0.464,0.064
"P10","En blanco",0.063,0.015,0.039,0.014,0.2,0.094
"P10","No sabe",0.07,0.041,0.027,0.089,0,0.25
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.187,0.362,0.57,0.5,0.401,0.163
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.274,0.336,0.177,0.012,0,0.124
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.462,0.257,0.212,0.258,0.113,0.247
"P13","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.004,0.006,0.005,0.184,0.022,0.063
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.008,0.004,0,0.464,0.081
"P13","En blanco",0.025,0,0.013,0.012,0,0.089
"P13","No sabe",0.035,0.031,0.019,0.034,0,0.233
"P17","Totalmente seguro.",0.796,0.6,0.69,0.44,0.918,0.487
"P17","Bastante seguro",0.122,0.283,0.13,0.09,0.017,0.118
"P17","Algo seguro",0.036,0.084,0.155,0.009,0,0.153
"P17","Para nada seguro",0.046,0.033,0.025,0.461,0.065,0.242
"P18","Tiene Decidido que va a ir a votar.",0.902,0.882,0.937,0.896,0.77,0.671
"P18","Tiene dudas sobre si va a ir a  votar",0.052,0.103,0.042,0.036,0.23,0.182
"P18","Tiene Decidido que no va a ir a votar",0.046,0.015,0.021,0.068,0,0.147
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.275,0.48,0.692,0.793,0.463,0.272
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.376,0.381,0.162,0.116,0,0.211
"P19","En blanco",0.22,0.077,0.085,0.088,0,0.114
"P19","No sabe",0.129,0.062,0.061,0.003,0.537,0.403
"P20","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.318,0.376,0.242,0.205,0.153,0.051
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.472,0.296,0.199,0.164,0.205,0.396
"P20","En blanco",0.112,0.108,0.382,0.263,0.116,0.18
"P20","No sabe",0.098,0.22,0.177,0.368,0.526,0.373
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.187,0.388,0.621,0.566,0.402,0.15
"P21","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.604,0.322,0.207,0.174,0.598,0.381
"P21","En blanco",0.106,0.171,0.119,0.089,0,0.195
"P21","No sabe",0.103,0.119,0.053,0.171,0,0.274
"P22","Si",0.425,0.405,0.441,0.271,0.284,0.147
"P22","No",0.575,0.595,0.559,0.729,0.716,0.853
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.21,0.362,0.579,0.5,0.401,0.253
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.275,0.347,0.178,0.012,0,0.14
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.468,0.277,0.221,0.292,0.113,0.331
"P13_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.005,0.006,0.005,0.184,0.022,0.064
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.008,0.004,0,0.464,0.093
"P13_imputada","En blanco",0.029,0,0.013,0.012,0,0.119
