"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Passalacqua","Ariol","Lenguaza","Perie","Villanueva","Posadas","Otra localidad"
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.286,0.266,0.307,0.208,0.208,0.39,0.553,0.278,0.26,0.349,0.277,0.122,0.718,0.289,0.137,0.267,0.467,0.282,0.169,0.122,0.292,0.282
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.353,0.361,0.343,0.444,0.368,0.271,0.226,0.315,0.372,0.396,0.159,0.311,0.224,0.432,0.722,0.233,0.46,0.277,0.489,0.58,0.341,0.361
"En blanco",0.183,0.23,0.135,0.15,0.241,0.138,0.146,0.224,0.16,0.137,0.288,0.351,0.024,0.202,0.044,0.262,0.038,0.279,0.33,0.044,0.206,0.164
"No sabe",0.178,0.143,0.215,0.198,0.183,0.201,0.075,0.183,0.208,0.118,0.276,0.216,0.034,0.077,0.097,0.238,0.035,0.162,0.012,0.254,0.161,0.193
