"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Passalacqua","Ariol","Lenguaza","Perie","Villanueva","Posadas","Otra localidad"
"Mucho",0.349,0.414,0.284,0.334,0.346,0.356,0.399,0.314,0.339,0.469,0.436,0.315,0.469,0.375,0.377,0.445,0.422,0.196,0.437,0.403,0.408,0.302
"Bastante",0.354,0.33,0.378,0.387,0.345,0.346,0.289,0.33,0.395,0.339,0.31,0.323,0.331,0.289,0.393,0.303,0.315,0.534,0.293,0.273,0.284,0.41
"Poco",0.185,0.16,0.21,0.168,0.207,0.189,0.154,0.208,0.168,0.153,0.16,0.178,0.124,0.229,0.158,0.166,0.168,0.168,0.024,0.124,0.191,0.179
"Nada",0.082,0.081,0.083,0.094,0.071,0.075,0.096,0.107,0.075,0.026,0.049,0.128,0.071,0.107,0.063,0.06,0.068,0.073,0,0.2,0.089,0.077
"No sabe",0.03,0.015,0.045,0.017,0.031,0.034,0.062,0.041,0.023,0.013,0.045,0.056,0.005,0,0.009,0.026,0.027,0.029,0.246,0,0.028,0.032
