"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Passalacqua","Ariol","Lenguaza","Perie","Villanueva","Posadas","Otra localidad"
"Unidos para Cambiar misiones",0.257,0.269,0.245,0.192,0.288,0.358,0.152,0.26,0.25,0.263,0.526,0.494,0.052,0.109,0.048,0.432,0.09,0.3,0.139,0.115,0.291,0.23
"Juntos Avancemos",0.249,0.234,0.265,0.17,0.231,0.293,0.459,0.234,0.267,0.254,0.234,0.067,0.745,0.166,0.156,0.177,0.438,0.433,0.162,0.011,0.25,0.249
"De los liberales libertarios",0.317,0.342,0.291,0.414,0.325,0.241,0.155,0.316,0.294,0.364,0.144,0.293,0.109,0.472,0.692,0.271,0.399,0.059,0.149,0.51,0.245,0.376
"De la Izquierda",0.013,0.009,0.016,0.019,0.011,0.004,0.017,0.009,0.018,0.01,0.009,0.045,0.002,0.004,0.003,0.007,0.017,0.047,0.033,0.03,0.017,0.009
"Hacemos por nuestro país",0.032,0.029,0.035,0.032,0.047,0.008,0.019,0.04,0.02,0.034,0.021,0.04,0,0.073,0.033,0.019,0.002,0.053,0.222,0.233,0.043,0.022
"En blanco",0.054,0.062,0.046,0.09,0.04,0.016,0.068,0.055,0.069,0.023,0.008,0.061,0.041,0.128,0.026,0.034,0.011,0.056,0,0.074,0.082,0.031
"No sabe",0.078,0.055,0.102,0.083,0.058,0.08,0.13,0.086,0.082,0.052,0.058,0,0.051,0.048,0.042,0.06,0.043,0.052,0.295,0.027,0.072,0.083
