"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.436,0.434,0.353,0.277
"P05","Bastante",0.322,0.362,0.338,0.254
"P05","Poco",0.15,0.118,0.178,0.234
"P05","Nada",0.043,0.069,0.078,0.223
"P05","No sabe",0.049,0.017,0.053,0.012
"P06","Siempre",0.23,0.25,0.153,0.215
"P06","Casi siempre",0.317,0.31,0.263,0.225
"P06","Casi nunca",0.278,0.256,0.308,0.363
"P06","Nunca, pero esta es una excepción",0.175,0.184,0.276,0.197
"P10","Unidos para Cambiar misiones",0.544,0.069,0.145,0.002
"P10","Juntos Avancemos",0.201,0.516,0.083,0.047
"P10","De los liberales libertarios",0.169,0.306,0.575,0.553
"P10","De la Izquierda",0.002,0.002,0.001,0.049
"P10","Hacemos por nuestro país",0.028,0.033,0.004,0.073
"P10","En blanco",0.009,0.036,0.136,0.075
"P10","No sabe",0.047,0.038,0.056,0.201
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.649,0.092,0.056,0.074
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.152,0.518,0.086,0.057
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.15,0.336,0.735,0.503
"P13","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.022,0.015,0.016,0.022
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.005,0.005,0.073
"P13","En blanco",0.003,0.014,0.096,0.027
"P13","No sabe",0.016,0.02,0.006,0.244
"P16","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.29,0.586,0.693,0.527
"P16","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.194,0.227,0.093,0.097
"P16","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.321,0.111,0.118,0.11
"P16","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.147,0.032,0.048,0.003
"P16","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.01,0,0,0.045
"P16","No sabe",0.038,0.044,0.048,0.218
"P17","Totalmente seguro.",0.697,0.719,0.697,0.59
"P17","Bastante seguro",0.12,0.205,0.148,0.147
"P17","Algo seguro",0.081,0.062,0.054,0.135
"P17","Para nada seguro",0.102,0.014,0.101,0.128
"P18","Tiene Decidido que va a ir a votar.",0.964,0.844,0.837,0.811
"P18","Tiene dudas sobre si va a ir a  votar",0.029,0.108,0.082,0.084
"P18","Tiene Decidido que no va a ir a votar",0.007,0.048,0.081,0.105
"P20","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.292,0.494,0.044,0.047
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.176,0.476,0.552,0.454
"P20","En blanco",0.256,0.023,0.387,0.053
"P20","No sabe",0.276,0.007,0.017,0.446
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.672,0.108,0.05,0.073
"P21","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.158,0.563,0.842,0.543
"P21","En blanco",0.089,0.214,0.082,0.075
"P21","No sabe",0.081,0.115,0.026,0.309
"P22","Si",0.469,0.341,0.408,0.234
"P22","No",0.531,0.659,0.592,0.766
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.654,0.097,0.056,0.226
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.151,0.519,0.091,0.072
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.162,0.336,0.737,0.573
"P13_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.022,0.015,0.016,0.022
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.004,0.004,0.08
"P13_imputada","En blanco",0.003,0.029,0.096,0.027
