"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.482,0.385,0.35,0.425
"P05","Bastante",0.308,0.318,0.385,0.296
"P05","Poco",0.154,0.172,0.093,0.174
"P05","Nada",0.04,0.076,0.122,0.081
"P05","No sabe",0.016,0.049,0.05,0.024
"P06","Siempre",0.267,0.189,0.172,0.288
"P06","Casi siempre",0.343,0.275,0.236,0.296
"P06","Casi nunca",0.263,0.305,0.357,0.234
"P06","Nunca, pero esta es una excepción",0.127,0.231,0.235,0.182
"P10","Unidos para Cambiar misiones",0.211,0.075,0.551,0.462
"P10","Juntos Avancemos",0.551,0.17,0.106,0.162
"P10","De los liberales libertarios",0.146,0.661,0.18,0.106
"P10","De la Izquierda",0.004,0.002,0.011,0.023
"P10","Hacemos por nuestro país",0.025,0.028,0.004,0.072
"P10","En blanco",0.025,0.03,0.096,0.02
"P10","No sabe",0.038,0.034,0.052,0.155
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.256,0.152,0.505,0.562
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.522,0.14,0.123,0.11
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.181,0.651,0.213,0.121
"P13","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.017,0.035,0.027
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.004,0.01,0.046
"P13","En blanco",0.008,0.004,0.092,0.008
"P13","No sabe",0.014,0.032,0.022,0.126
"P16","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.516,0.622,0.284,0.255
"P16","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.236,0.152,0.106,0.223
"P16","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.176,0.117,0.433,0.207
"P16","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.056,0.036,0.112,0.16
"P16","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.005,0.006,0.006,0.03
"P16","No sabe",0.011,0.067,0.059,0.125
"P17","Totalmente seguro.",0.727,0.718,0.717,0.588
"P17","Bastante seguro",0.174,0.167,0.078,0.174
"P17","Algo seguro",0.053,0.066,0.129,0.078
"P17","Para nada seguro",0.046,0.049,0.076,0.16
"P18","Tiene Decidido que va a ir a votar.",0.962,0.889,0.879,0.859
"P18","Tiene dudas sobre si va a ir a  votar",0.029,0.061,0.075,0.097
"P18","Tiene Decidido que no va a ir a votar",0.009,0.05,0.046,0.044
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.449,0.219,0.616,0.684
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.509,0.399,0.036,0.012
"P19","En blanco",0.023,0.233,0.314,0.014
"P19","No sabe",0.019,0.149,0.034,0.29
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.442,0.075,0.489,0.575
"P21","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.247,0.847,0.228,0.063
"P21","En blanco",0.183,0.046,0.267,0.035
"P21","No sabe",0.128,0.032,0.016,0.327
"P22","Si",0.451,0.346,0.373,0.425
"P22","No",0.549,0.654,0.627,0.575
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.264,0.162,0.519,0.625
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.522,0.141,0.127,0.121
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.187,0.658,0.218,0.169
"P13_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.017,0.034,0.027
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.004,0.01,0.051
"P13_imputada","En blanco",0.008,0.018,0.092,0.007
