"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P09","Siempre",0.171,0.165,0.223,0.255,0.243,0.203
"P09","Casi siempre",0.354,0.404,0.437,0.261,0.361,0.368
"P09","Casi nunca",0.274,0.289,0.281,0.349,0.315,0.305
"P09","Nunca, pero esta es una excepción",0.201,0.142,0.059,0.135,0.081,0.124
"P10","Muy buena",0.299,0.145,0.224,0.19,0.198,0.181
"P10","Buena",0.228,0.212,0.236,0.296,0.314,0.263
"P10","Ni buena ni mala",0.342,0.438,0.432,0.358,0.394,0.466
"P10","Mala",0.067,0.098,0.081,0.089,0.052,0.064
"P10","Muy mala",0.05,0.069,0.003,0.036,0.012,0.016
"P10","No sabe",0.014,0.038,0.024,0.031,0.03,0.01
"P11","Muy buena",0.4,0.285,0.352,0.315,0.325,0.282
"P11","Buena",0.244,0.269,0.252,0.328,0.322,0.405
"P11","Ni buena ni mala",0.214,0.337,0.249,0.265,0.283,0.212
"P11","Mala",0.075,0.046,0.068,0.059,0.028,0.078
"P11","Muy mala",0.03,0.059,0.069,0.028,0.01,0.02
"P11","No sabe",0.037,0.004,0.01,0.005,0.032,0.003
"P15","Muy de acuerdo",0.65,0.569,0.555,0.568,0.487,0.573
"P15","De acuerdo",0.073,0.16,0.202,0.152,0.182,0.149
"P15","Ni de acuerdo ni en desacuerdo",0.221,0.148,0.134,0.216,0.23,0.101
"P15","En desacuerdo",0.054,0.103,0.091,0.048,0.045,0.092
"P15","Muy en desacuerdo",0.002,0.011,0.015,0,0.002,0.034
"P15","No sabe",0,0.009,0.003,0.016,0.054,0.051
"P16","Al gobierno provincial que se fue",0.678,0.656,0.679,0.564,0.554,0.594
"P16","Al gobierno provincial vigente",0.035,0.025,0.066,0.045,0.065,0.062
"P16","Al gobierno nacional que se fue",0.16,0.22,0.144,0.205,0.17,0.206
"P16","Al gobierno nacional que vigente",0.047,0.033,0.08,0.068,0.169,0.077
"P16","No sabe",0.08,0.066,0.031,0.118,0.042,0.061
"P17","Muy de acuerdo",0.694,0.645,0.614,0.69,0.64,0.608
"P17","De acuerdo",0.132,0.174,0.205,0.101,0.165,0.155
"P17","Ni de acuerdo ni en desacuerdo",0.133,0.127,0.077,0.149,0.153,0.173
"P17","En desacuerdo",0.024,0.019,0.049,0.016,0.025,0.046
"P17","Muy en desacuerdo",0.009,0.033,0.02,0.006,0,0.004
"P17","No sabe",0.008,0.002,0.035,0.038,0.017,0.014
"P18","Si",0.67,0.656,0.615,0.65,0.778,0.68
"P18","No",0.162,0.129,0.14,0.155,0.096,0.144
"P18","No sabe",0.168,0.215,0.245,0.195,0.126,0.176
"P19","Si",0.526,0.43,0.442,0.452,0.573,0.509
"P19","No",0.17,0.201,0.195,0.217,0.165,0.224
"P19","No sabe",0.304,0.369,0.363,0.331,0.262,0.267
"P22","Muy de acuerdo",0.305,0.394,0.309,0.4,0.308,0.383
"P22","De acuerdo",0.207,0.152,0.113,0.215,0.237,0.129
"P22","Ni de acuerdo ni en desacuerdo",0.157,0.155,0.21,0.099,0.107,0.177
"P22","En desacuerdo",0.113,0.172,0.2,0.115,0.126,0.111
"P22","Muy en desacuerdo",0.216,0.116,0.128,0.165,0.219,0.183
"P22","No sabe",0.002,0.011,0.04,0.006,0.003,0.017
"P23","Muy de acuerdo",0.321,0.354,0.225,0.408,0.188,0.363
"P23","De acuerdo",0.18,0.132,0.191,0.193,0.219,0.096
"P23","Ni de acuerdo ni en desacuerdo",0.158,0.202,0.135,0.11,0.208,0.174
"P23","En desacuerdo",0.122,0.112,0.282,0.099,0.103,0.109
"P23","Muy en desacuerdo",0.217,0.176,0.165,0.182,0.244,0.237
"P23","No sabe",0.002,0.024,0.002,0.008,0.038,0.021
"P24","Muy buena",0.405,0.216,0.299,0.274,0.337,0.269
"P24","Buena",0.223,0.343,0.209,0.305,0.325,0.298
"P24","Ni buena ni mala",0.243,0.311,0.362,0.309,0.245,0.361
"P24","Mala",0.109,0.077,0.102,0.06,0.073,0.031
"P24","Muy mala",0.01,0.049,0.025,0.036,0.012,0.039
"P24","No sabe",0.01,0.004,0.003,0.016,0.008,0.002
"P25","Muy buena",0.101,0.113,0.103,0.155,0.187,0.104
"P25","Buena",0.257,0.24,0.24,0.287,0.181,0.24
"P25","Ni buena ni mala",0.378,0.365,0.346,0.304,0.435,0.408
"P25","Mala",0.101,0.16,0.247,0.156,0.118,0.199
"P25","Muy mala",0.12,0.114,0.058,0.092,0.06,0.049
"P25","No sabe",0.043,0.008,0.006,0.006,0.019,0
"P26","Muy buena",0.06,0.049,0.056,0.073,0.093,0.055
"P26","Buena",0.207,0.162,0.168,0.128,0.173,0.175
"P26","Ni buena ni mala",0.232,0.308,0.178,0.281,0.291,0.309
"P26","Mala",0.284,0.262,0.485,0.333,0.255,0.332
"P26","Muy mala",0.217,0.216,0.111,0.182,0.176,0.111
"P26","No sabe",0,0.003,0.002,0.003,0.012,0.018
"P27","Muy buena",0.07,0.114,0.121,0.129,0.1,0.049
"P27","Buena",0.14,0.144,0.123,0.131,0.124,0.181
"P27","Ni buena ni mala",0.471,0.401,0.401,0.363,0.498,0.385
"P27","Mala",0.158,0.159,0.221,0.216,0.12,0.238
"P27","Muy mala",0.133,0.16,0.124,0.119,0.114,0.11
"P27","No sabe",0.028,0.022,0.01,0.042,0.044,0.037
"P28","Muy buena",0.114,0.068,0.12,0.197,0.215,0.186
"P28","Buena",0.204,0.162,0.135,0.181,0.156,0.171
"P28","Ni buena ni mala",0.248,0.283,0.296,0.271,0.284,0.283
"P28","Mala",0.234,0.253,0.318,0.146,0.205,0.201
"P28","Muy mala",0.183,0.227,0.124,0.183,0.132,0.134
"P28","No sabe",0.017,0.007,0.007,0.022,0.008,0.025
"P29","Muy buena",0.214,0.164,0.235,0.232,0.328,0.265
"P29","Buena",0.053,0.141,0.093,0.111,0.067,0.065
