"var","categoria","Si","No","No sabe"
"P09","Siempre",0.27,0.194,0.152
"P09","Casi siempre",0.36,0.366,0.351
"P09","Casi nunca",0.302,0.244,0.349
"P09","Nunca, pero esta es una excepción",0.068,0.196,0.148
"P10","Muy buena",0.342,0.068,0.059
"P10","Buena",0.359,0.106,0.206
"P10","Ni buena ni mala",0.256,0.429,0.609
"P10","Mala",0.016,0.237,0.083
"P10","Muy mala",0.004,0.15,0.012
"P10","No sabe",0.023,0.01,0.031
"P11","Muy buena",0.571,0.045,0.133
"P11","Buena",0.32,0.225,0.326
"P11","Ni buena ni mala",0.089,0.337,0.461
"P11","Mala",0.006,0.197,0.04
"P11","Muy mala",0.003,0.196,0.004
"P11","No sabe",0.011,0,0.036
"P12","Muy de acuerdo",0.161,0.129,0.142
"P12","De acuerdo",0.149,0.173,0.196
"P12","Ni de acuerdo ni en desacuerdo",0.165,0.18,0.208
"P12","En desacuerdo",0.164,0.195,0.183
"P12","Muy en desacuerdo",0.191,0.137,0.134
"P12","No sabe",0.17,0.186,0.137
"P15","Muy de acuerdo",0.591,0.681,0.532
"P15","De acuerdo",0.167,0.094,0.133
"P15","Ni de acuerdo ni en desacuerdo",0.154,0.136,0.228
"P15","En desacuerdo",0.053,0.071,0.095
"P15","Muy en desacuerdo",0.013,0.013,0.003
"P15","No sabe",0.022,0.005,0.009
"P16","Al gobierno provincial que se fue",0.655,0.539,0.631
"P16","Al gobierno provincial vigente",0.037,0.109,0.031
"P16","Al gobierno nacional que se fue",0.17,0.241,0.179
"P16","Al gobierno nacional que vigente",0.073,0.08,0.079
"P16","No sabe",0.065,0.031,0.08
"P17","Muy de acuerdo",0.694,0.651,0.606
"P17","De acuerdo",0.158,0.161,0.138
"P17","Ni de acuerdo ni en desacuerdo",0.121,0.109,0.16
"P17","En desacuerdo",0.011,0.071,0.034
"P17","Muy en desacuerdo",0.011,0.002,0.019
"P17","No sabe",0.005,0.006,0.043
"P18","Si",0.946,0.264,0.5
"P18","No",0.03,0.499,0.086
"P18","No sabe",0.024,0.237,0.414
"P22","Muy de acuerdo",0.374,0.415,0.274
"P22","De acuerdo",0.168,0.176,0.181
"P22","Ni de acuerdo ni en desacuerdo",0.125,0.112,0.218
"P22","En desacuerdo",0.177,0.108,0.107
"P22","Muy en desacuerdo",0.152,0.181,0.187
"P22","No sabe",0.004,0.008,0.033
"P23","Muy de acuerdo",0.304,0.406,0.258
"P23","De acuerdo",0.174,0.124,0.187
"P23","Ni de acuerdo ni en desacuerdo",0.147,0.167,0.186
"P23","En desacuerdo",0.156,0.101,0.142
"P23","Muy en desacuerdo",0.201,0.2,0.205
"P23","No sabe",0.018,0.002,0.022
"P24","Muy buena",0.575,0.023,0.035
"P24","Buena",0.304,0.14,0.341
"P24","Ni buena ni mala",0.094,0.433,0.566
"P24","Mala",0.014,0.285,0.039
"P24","Muy mala",0.008,0.117,0.006
"P24","No sabe",0.005,0.002,0.013
"P25","Muy buena",0.184,0.121,0.042
"P25","Buena",0.295,0.178,0.199
