"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Rolo Figueroa","Positiva",0.58,0.611,0.543,0.499,0.599,0.581,0.616,0.665,0.589,0.506,0.726,0.488,0.5,0.289,0.624,0.547,0.589,0.571
"Rolo Figueroa","Neutra",0.309,0.283,0.34,0.315,0.292,0.346,0.288,0.27,0.295,0.354,0.214,0.42,0.37,0.483,0.247,0.354,0.292,0.326
"Rolo Figueroa","Negativa",0.104,0.098,0.111,0.186,0.102,0.065,0.079,0.065,0.104,0.134,0.053,0.092,0.122,0.199,0.123,0.091,0.11,0.098
"Rolo Figueroa","No sabe",0.007,0.008,0.006,0,0.007,0.008,0.017,0,0.012,0.006,0.007,0,0.008,0.029,0.006,0.008,0.009,0.005
"Mariano Gaido","Positiva",0.368,0.381,0.353,0.214,0.399,0.387,0.43,0.478,0.362,0.294,0.385,0.464,0.417,0.203,0.488,0.295,0.383,0.354
"Mariano Gaido","Neutra",0.371,0.363,0.38,0.393,0.342,0.395,0.393,0.313,0.376,0.407,0.368,0.328,0.398,0.469,0.281,0.421,0.323,0.418
"Mariano Gaido","Negativa",0.248,0.247,0.25,0.36,0.254,0.211,0.155,0.209,0.242,0.285,0.238,0.206,0.178,0.328,0.224,0.277,0.292,0.205
"Mariano Gaido","No sabe",0.013,0.009,0.017,0.033,0.005,0.007,0.022,0,0.02,0.014,0.009,0.002,0.007,0,0.007,0.007,0.002,0.023
"Juan Schiaretti","Positiva",0.304,0.346,0.255,0.305,0.286,0.327,0.322,0.285,0.291,0.333,0.338,0.254,0.124,0.487,0.162,0.412,0.332,0.277
"Juan Schiaretti","Neutra",0.431,0.404,0.463,0.452,0.446,0.412,0.387,0.513,0.432,0.367,0.454,0.51,0.324,0.213,0.356,0.465,0.4,0.461
"Juan Schiaretti","Negativa",0.254,0.24,0.271,0.243,0.264,0.229,0.284,0.175,0.27,0.298,0.207,0.236,0.464,0.269,0.463,0.118,0.26,0.249
"Juan Schiaretti","No sabe",0.011,0.01,0.011,0,0.004,0.032,0.007,0.027,0.007,0.002,0.001,0,0.088,0.031,0.019,0.005,0.008,0.013
"Guillermo Francos","Positiva",0.21,0.258,0.151,0.142,0.154,0.301,0.314,0.188,0.236,0.195,0.226,0.27,0.1,0.181,0.07,0.314,0.214,0.206
"Guillermo Francos","Neutra",0.43,0.405,0.46,0.482,0.459,0.383,0.353,0.49,0.413,0.405,0.438,0.45,0.301,0.435,0.312,0.498,0.397,0.462
"Guillermo Francos","Negativa",0.299,0.292,0.308,0.31,0.326,0.254,0.276,0.261,0.308,0.317,0.288,0.211,0.515,0.252,0.55,0.128,0.321,0.277
"Guillermo Francos","No sabe",0.061,0.045,0.081,0.066,0.061,0.062,0.057,0.061,0.043,0.083,0.048,0.069,0.084,0.132,0.068,0.06,0.068,0.055
"Victoria Villarruel","Positiva",0.507,0.543,0.463,0.56,0.492,0.486,0.523,0.516,0.496,0.511,0.536,0.526,0.263,0.669,0.201,0.725,0.507,0.505
"Victoria Villarruel","Neutra",0.173,0.157,0.193,0.107,0.196,0.197,0.139,0.242,0.207,0.084,0.187,0.22,0.063,0.078,0.152,0.177,0.177,0.17
"Victoria Villarruel","Negativa",0.305,0.288,0.326,0.333,0.31,0.282,0.298,0.205,0.287,0.401,0.272,0.247,0.587,0.252,0.613,0.096,0.302,0.309
