"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","opciones","Neuquén","Otra localidad"
"Muy buena","0.171","0.168","0.175","0.119","0.161","0.23","0.167","0.257","0.126","0.164","0.199","0.243","0.181","0.031","0.247","0.133","6","0.171","0"
"Buena","0.252","0.28","0.223","0.157","0.278","0.252","0.297","0.236","0.282","0.232","0.247","0.301","0.313","0.225","0.311","0.2","6","0.252","0"
"Ni buena ni mala","0.338","0.309","0.367","0.335","0.343","0.336","0.325","0.348","0.312","0.356","0.324","0.313","0.414","0.25","0.283","0.362","6","0.338","0"
"Mala","0.153","0.165","0.14","0.202","0.143","0.136","0.151","0.144","0.146","0.165","0.169","0.099","0.076","0.18","0.127","0.179","6","0.153","0"
"Muy mala","0.069","0.073","0.066","0.15","0.062","0.044","0.029","0","0.121","0.061","0.052","0.044","0","0.314","0.026","0.103","6","0.069","0"
"No sabe","0.017","0.005","0.029","0.037","0.013","0.002","0.031","0.015","0.013","0.022","0.009","0","0.016","0","0.006","0.023","6","0.017","0"
"Positiva","0.423","0.448","0.398","0.276","0.439","0.482","0.464","0.493","0.408","0.396","0.446","0.544","0.494","0.256","0.558","0.333","4","0.423","0"
"Neutra","0.338","0.309","0.367","0.335","0.343","0.336","0.325","0.348","0.312","0.356","0.324","0.313","0.414","0.25","0.283","0.362","4","0.338","0"
"Negativa","0.222","0.238","0.206","0.352","0.205","0.18","0.18","0.144","0.267","0.226","0.221","0.143","0.076","0.494","0.153","0.282","4","0.222","0"
"No sabe","0.017","0.005","0.029","0.037","0.013","0.002","0.031","0.015","0.013","0.022","0.009","0","0.016","0","0.006","0.023","4","0.017","0"
