"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Si","0.441","0.439","0.444","0.29","0.477","0.468","0.458","0.406","0.425","0.477","0.424","0.647","0.594","0.177","0.571","0.361","0.441","0"
"No","0.331","0.363","0.297","0.376","0.331","0.348","0.245","0.298","0.371","0.313","0.363","0.184","0.2","0.635","0.247","0.396","0.331","0"
"No sabe","0.228","0.198","0.259","0.334","0.192","0.184","0.297","0.296","0.204","0.21","0.213","0.169","0.206","0.188","0.182","0.243","0.228","0"
