"var","categoria","Si","No","No sabe"
"P09","Siempre",0.228,0.252,0.152
"P09","Casi siempre",0.377,0.32,0.354
"P09","Casi nunca",0.327,0.22,0.271
"P09","Nunca, pero esta es una excepción",0.068,0.208,0.223
"P10","Muy buena",0.282,0.035,0.039
"P10","Buena",0.303,0.168,0.183
"P10","Ni buena ni mala",0.344,0.36,0.629
"P10","Mala",0.037,0.274,0.086
"P10","Muy mala",0.004,0.158,0.051
"P10","No sabe",0.03,0.005,0.012
"P11","Muy buena",0.454,0.057,0.086
"P11","Buena",0.339,0.185,0.251
"P11","Ni buena ni mala",0.183,0.325,0.476
"P11","Mala",0.01,0.235,0.081
"P11","Muy mala",0.003,0.196,0.059
"P11","No sabe",0.011,0.002,0.047
"P12","Muy de acuerdo",0.15,0.178,0.135
"P12","De acuerdo",0.162,0.155,0.189
"P12","Ni de acuerdo ni en desacuerdo",0.17,0.188,0.24
"P12","En desacuerdo",0.169,0.197,0.179
"P12","Muy en desacuerdo",0.185,0.112,0.106
"P12","No sabe",0.164,0.17,0.151
"P15","Muy de acuerdo",0.61,0.536,0.51
"P15","De acuerdo",0.163,0.134,0.102
"P15","Ni de acuerdo ni en desacuerdo",0.145,0.248,0.237
"P15","En desacuerdo",0.056,0.068,0.126
"P15","Muy en desacuerdo",0.01,0.01,0.012
"P15","No sabe",0.016,0.004,0.013
"P16","Al gobierno provincial que se fue",0.664,0.432,0.621
"P16","Al gobierno provincial vigente",0.035,0.123,0.045
"P16","Al gobierno nacional que se fue",0.16,0.347,0.142
"P16","Al gobierno nacional que vigente",0.074,0.033,0.118
"P16","No sabe",0.067,0.065,0.074
"P17","Muy de acuerdo",0.716,0.568,0.497
"P17","De acuerdo",0.148,0.257,0.102
"P17","Ni de acuerdo ni en desacuerdo",0.106,0.12,0.232
"P17","En desacuerdo",0.016,0.046,0.07
"P17","Muy en desacuerdo",0.008,0,0.036
"P17","No sabe",0.006,0.009,0.063
"P19","Si",0.686,0.104,0.061
"P19","No",0.077,0.7,0.245
"P19","No sabe",0.237,0.196,0.694
"P22","Muy de acuerdo",0.354,0.399,0.304
"P22","De acuerdo",0.186,0.207,0.104
"P22","Ni de acuerdo ni en desacuerdo",0.128,0.151,0.238
"P22","En desacuerdo",0.155,0.142,0.091
"P22","Muy en desacuerdo",0.167,0.101,0.225
"P22","No sabe",0.01,0,0.038
"P23","Muy de acuerdo",0.297,0.403,0.285
"P23","De acuerdo",0.194,0.115,0.114
"P23","Ni de acuerdo ni en desacuerdo",0.14,0.211,0.212
"P23","En desacuerdo",0.148,0.162,0.099
"P23","Muy en desacuerdo",0.2,0.109,0.279
"P23","No sabe",0.021,0,0.011
"P24","Muy buena",0.424,0.057,0.016
"P24","Buena",0.335,0.18,0.176
"P24","Ni buena ni mala",0.209,0.364,0.629
"P24","Mala",0.021,0.307,0.095
"P24","Muy mala",0.007,0.09,0.063
"P24","No sabe",0.004,0.002,0.021
"P25","Muy buena",0.139,0.141,0.071
"P25","Buena",0.283,0.153,0.159
"P25","Ni buena ni mala",0.355,0.255,0.515
"P25","Mala",0.158,0.227,0.156
"P25","Muy mala",0.049,0.222,0.092
"P25","No sabe",0.016,0.002,0.007
"P26","Muy buena",0.06,0.142,0.02
"P26","Buena",0.189,0.134,0.115
"P26","Ni buena ni mala",0.26,0.227,0.315
"P26","Mala",0.344,0.296,0.303
"P26","Muy mala",0.139,0.197,0.244
"P26","No sabe",0.008,0.004,0.003
"P27","Muy buena",0.104,0.093,0.083
"P27","Buena",0.138,0.168,0.129
"P27","Ni buena ni mala",0.419,0.329,0.471
"P27","Mala",0.2,0.205,0.129
"P27","Muy mala",0.107,0.203,0.141
"P27","No sabe",0.032,0.002,0.047
"P28","Muy buena",0.172,0.088,0.113
"P28","Buena",0.181,0.165,0.118
"P28","Ni buena ni mala",0.287,0.197,0.312
"P28","Mala",0.218,0.234,0.255
"P28","Muy mala",0.129,0.316,0.172
"P28","No sabe",0.013,0,0.03
"P29","Muy buena",0.248,0.189,0.246
"P29","Buena",0.096,0.074,0.076
"P29","Ni buena ni mala",0.092,0.025,0.102
"P29","Mala",0.232,0.233,0.231
"P29","Muy mala",0.322,0.479,0.343
"P29","No sabe",0.01,0,0.002
"P30","Muy buena",0.097,0.201,0.117
"P30","Buena",0.207,0.147,0.126
"P30","Ni buena ni mala",0.199,0.173,0.177
"P30","Mala",0.238,0.211,0.182
"P30","Muy mala",0.245,0.268,0.398
"P30","No sabe",0.014,0,0
"P31","Muy buena",0.14,0.136,0.102
"P31","Buena",0.165,0.143,0.138
"P31","Ni buena ni mala",0.193,0.142,0.181
"P31","Mala",0.196,0.17,0.144
"P31","Muy mala",0.294,0.409,0.433
"P31","No sabe",0.012,0,0.002
"P32","Muy buena",0.344,0.385,0.223
"P32","Buena",0.192,0.166,0.102
"P32","Ni buena ni mala",0.105,0.168,0.251
"P32","Mala",0.124,0.127,0.076
"P32","Muy mala",0.223,0.154,0.348
"P32","No sabe",0.012,0,0
"P33","Muy buena",0.235,0.203,0.237
"P33","Buena",0.25,0.282,0.22
"P33","Ni buena ni mala",0.159,0.241,0.153
"P33","Mala",0.122,0.147,0.073
"P33","Muy mala",0.232,0.127,0.317
"P33","No sabe",0.002,0,0
"P34","Muy buena",0.175,0.19,0.143
"P34","Buena",0.18,0.265,0.182
"P34","Ni buena ni mala",0.316,0.273,0.279
"P34","Mala",0.123,0.125,0.078
"P34","Muy mala",0.19,0.126,0.282
"P34","No sabe",0.016,0.021,0.036
"P35","Muy buena",0.348,0.4,0.255
"P35","Buena",0.174,0.104,0.192
"P35","Ni buena ni mala",0.179,0.177,0.149
"P35","Mala",0.098,0.149,0.068
"P35","Muy mala",0.187,0.164,0.312
"P35","No sabe",0.014,0.006,0.024
"P36","Muy buena",0.129,0.102,0.096
"P36","Buena",0.168,0.278,0.174
"P36","Ni buena ni mala",0.47,0.301,0.382
"P36","Mala",0.113,0.179,0.12
"P36","Muy mala",0.111,0.14,0.205
"P36","No sabe",0.009,0,0.023
"P37","Muy buena",0.129,0.153,0.034
"P37","Buena",0.139,0.139,0.145
"P37","Ni buena ni mala",0.337,0.296,0.388
"P37","Mala",0.144,0.155,0.061
"P37","Muy mala",0.235,0.255,0.335
"P37","No sabe",0.016,0.002,0.037
"P38","Muy buena",0.096,0.097,0.063
"P38","Buena",0.116,0.155,0.102
"P38","Ni buena ni mala",0.442,0.307,0.485
"P38","Mala",0.134,0.112,0.097
"P38","Muy mala",0.153,0.247,0.201
"P38","No sabe",0.059,0.082,0.052
