"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P09","Siempre",0.189,0.178,0.181,0.296,0.255,0.481
"P09","Casi siempre",0.363,0.347,0.367,0.337,0.423,0.237
"P09","Casi nunca",0.299,0.351,0.351,0.303,0.251,0.203
"P09","Nunca, pero esta es una excepción",0.149,0.124,0.101,0.064,0.071,0.079
"P10","Muy buena",0.249,0.197,0.197,0.165,0.151,0.119
"P10","Buena",0.225,0.289,0.287,0.272,0.301,0.039
"P10","Ni buena ni mala",0.368,0.405,0.431,0.436,0.391,0.596
"P10","Mala",0.091,0.043,0.069,0.062,0.108,0
"P10","Muy mala",0.053,0.029,0.003,0.046,0.024,0
"P10","No sabe",0.014,0.037,0.013,0.019,0.025,0.246
"P11","Muy buena",0.303,0.368,0.438,0.325,0.282,0.079
"P11","Buena",0.3,0.365,0.244,0.277,0.323,0.377
"P11","Ni buena ni mala",0.247,0.202,0.267,0.292,0.282,0.431
"P11","Mala",0.063,0.052,0.039,0.02,0.09,0
"P11","Muy mala",0.069,0.006,0.004,0.083,0.019,0
"P11","No sabe",0.018,0.007,0.008,0.003,0.004,0.113
"P12","Muy de acuerdo",0.126,0.173,0.15,0.116,0.185,0.025
"P12","De acuerdo",0.193,0.151,0.176,0.209,0.118,0.133
"P12","Ni de acuerdo ni en desacuerdo",0.16,0.118,0.252,0.258,0.138,0.522
"P12","En desacuerdo",0.198,0.214,0.114,0.142,0.169,0.079
"P12","Muy en desacuerdo",0.142,0.221,0.114,0.144,0.21,0.038
"P12","No sabe",0.181,0.123,0.194,0.131,0.18,0.203
"P15","Muy de acuerdo",0.717,0.63,0.443,0.511,0.514,0.645
"P15","De acuerdo",0.073,0.182,0.129,0.215,0.196,0.064
"P15","Ni de acuerdo ni en desacuerdo",0.133,0.123,0.284,0.19,0.183,0.088
"P15","En desacuerdo",0.074,0.016,0.127,0.074,0.047,0.203
"P15","Muy en desacuerdo",0.003,0.007,0.01,0.01,0.032,0
"P15","No sabe",0,0.042,0.007,0,0.028,0
"P16","Al gobierno provincial que se fue",0.653,0.583,0.616,0.638,0.591,0.754
"P16","Al gobierno provincial vigente",0.037,0.088,0.038,0.077,0.031,0
"P16","Al gobierno nacional que se fue",0.29,0.264,0.227,0.023,0.022,0.113
"P16","Al gobierno nacional que vigente",0,0.032,0.041,0.15,0.262,0
"P16","No sabe",0.02,0.033,0.078,0.112,0.094,0.133
"P17","Muy de acuerdo",0.809,0.742,0.539,0.565,0.47,0.709
"P17","De acuerdo",0.097,0.139,0.155,0.273,0.2,0
"P17","Ni de acuerdo ni en desacuerdo",0.051,0.106,0.177,0.127,0.226,0.291
"P17","En desacuerdo",0.026,0.01,0.019,0.028,0.081,0
"P17","Muy en desacuerdo",0.012,0,0.039,0.004,0.01,0
"P17","No sabe",0.005,0.003,0.071,0.003,0.013,0
"P18","Si",0.685,0.727,0.574,0.744,0.672,0.504
"P18","No",0.155,0.162,0.136,0.137,0.081,0
"P18","No sabe",0.16,0.111,0.29,0.119,0.247,0.496
"P19","Si",0.523,0.475,0.404,0.614,0.442,0.133
"P19","No",0.234,0.2,0.146,0.151,0.212,0.119
"P19","No sabe",0.243,0.325,0.45,0.235,0.346,0.748
"P23","Muy de acuerdo",0.812,0.106,0.029,0,0.002,0
"P23","De acuerdo",0.127,0.588,0.131,0.006,0,0
"P23","Ni de acuerdo ni en desacuerdo",0.029,0.26,0.618,0.039,0.005,0.601
"P23","En desacuerdo",0.011,0.006,0.164,0.726,0.018,0.296
"P23","Muy en desacuerdo",0.002,0.03,0.03,0.215,0.973,0.041
"P23","No sabe",0.019,0.01,0.028,0.014,0.002,0.062
"P24","Muy buena",0.337,0.179,0.283,0.403,0.27,0
"P24","Buena",0.221,0.504,0.246,0.242,0.264,0.245
"P24","Ni buena ni mala",0.297,0.234,0.451,0.207,0.348,0.675
"P24","Mala",0.086,0.066,0.014,0.124,0.074,0.05
"P24","Muy mala",0.049,0.017,0,0.024,0.031,0
"P24","No sabe",0.01,0,0.006,0,0.013,0.03
"P25","Muy buena",0.114,0.053,0.127,0.253,0.13,0
"P25","Buena",0.183,0.36,0.179,0.215,0.315,0.35
"P25","Ni buena ni mala",0.365,0.332,0.515,0.31,0.332,0.571
"P25","Mala",0.195,0.188,0.123,0.164,0.139,0.03
"P25","Muy mala",0.134,0.061,0.015,0.05,0.076,0.049
"P25","No sabe",0.009,0.006,0.041,0.008,0.008,0
"P26","Muy buena",0.062,0.098,0.09,0.072,0.008,0
"P26","Buena",0.183,0.144,0.182,0.168,0.159,0
"P26","Ni buena ni mala",0.241,0.268,0.285,0.266,0.303,0.199
"P26","Mala",0.298,0.338,0.332,0.398,0.298,0.771
"P26","Muy mala",0.213,0.141,0.091,0.096,0.23,0.03
"P26","No sabe",0.003,0.011,0.02,0,0.002,0
"P27","Muy buena",0.117,0.138,0.072,0.111,0.039,0
"P27","Buena",0.158,0.114,0.198,0.131,0.096,0
"P27","Ni buena ni mala",0.326,0.396,0.505,0.429,0.503,0.95
"P27","Mala",0.18,0.237,0.156,0.251,0.142,0
"P27","Muy mala",0.192,0.098,0.05,0.064,0.143,0.05
"P27","No sabe",0.027,0.017,0.019,0.014,0.077,0
"P28","Muy buena",0.124,0.08,0.129,0.25,0.212,0.106
"P28","Buena",0.087,0.229,0.153,0.172,0.273,0.294
"P28","Ni buena ni mala",0.249,0.256,0.318,0.305,0.321,0.094
"P28","Mala",0.255,0.271,0.277,0.192,0.091,0.506
"P28","Muy mala",0.268,0.149,0.106,0.074,0.09,0
"P28","No sabe",0.017,0.015,0.017,0.007,0.013,0
"P29","Muy buena",0.044,0.049,0.162,0.546,0.65,0.301
"P29","Buena",0.023,0.078,0.086,0.191,0.158,0.106
"P29","Ni buena ni mala",0.069,0.122,0.147,0.041,0.06,0.094
"P29","Mala",0.289,0.308,0.277,0.15,0.081,0
"P29","Muy mala",0.559,0.438,0.326,0.069,0.051,0.499
"P29","No sabe",0.016,0.005,0.002,0.003,0,0
"P30","Muy buena",0.223,0.098,0.054,0.026,0.006,0.468
"P30","Buena",0.346,0.232,0.124,0.011,0.002,0
"P30","Ni buena ni mala",0.205,0.307,0.423,0.023,0.008,0
"P30","Mala",0.113,0.235,0.325,0.546,0.077,0.388
"P30","Muy mala",0.098,0.128,0.074,0.394,0.883,0.144
"P30","No sabe",0.015,0,0,0,0.024,0
"P31","Muy buena",0.054,0.02,0.128,0.349,0.239,0.051
"P31","Buena",0.039,0.079,0.081,0.315,0.409,0.251
"P31","Ni buena ni mala",0.083,0.248,0.357,0.186,0.189,0.093
"P31","Mala",0.239,0.301,0.142,0.124,0.042,0
"P31","Muy mala",0.567,0.347,0.289,0.023,0.119,0.605
"P31","No sabe",0.018,0.005,0.003,0.003,0.002,0
"P32","Muy buena",0.701,0.314,0.126,0.011,0.006,0.095
"P32","Buena",0.174,0.448,0.16,0.042,0.021,0.031
"P32","Ni buena ni mala",0.032,0.145,0.538,0.147,0,0.466
"P32","Mala",0.056,0.017,0.132,0.452,0.025,0.357
"P32","Muy mala",0.022,0.076,0.044,0.338,0.942,0.051
"P32","No sabe",0.015,0,0,0.01,0.006,0
"P33","Muy buena",0.503,0.202,0.048,0.019,0.002,0.466
"P33","Buena",0.314,0.513,0.263,0.049,0.01,0.126
"P33","Ni buena ni mala",0.142,0.237,0.473,0.057,0.01,0
"P33","Mala",0.024,0.019,0.188,0.485,0.021,0.358
"P33","Muy mala",0.017,0.029,0.028,0.385,0.951,0.05
"P33","No sabe",0,0,0,0.005,0.006,0
"P34","Muy buena",0.41,0.107,0.03,0,0.002,0
"P34","Buena",0.303,0.357,0.094,0.038,0.008,0.095
"P34","Ni buena ni mala",0.26,0.444,0.667,0.196,0.031,0.498
"P34","Mala",0.012,0.04,0.136,0.444,0.106,0.249
"P34","Muy mala",0.01,0.033,0.016,0.306,0.831,0.05
"P34","No sabe",0.005,0.019,0.057,0.016,0.022,0.108
"P35","Muy buena",0.692,0.331,0.163,0.027,0.023,0.031
"P35","Buena",0.164,0.395,0.254,0.033,0.002,0
"P35","Ni buena ni mala",0.103,0.166,0.443,0.237,0.037,0.467
"P35","Mala",0.017,0.079,0.099,0.365,0.062,0.248
"P35","Muy mala",0.02,0.029,0.03,0.304,0.843,0.146
"P35","No sabe",0.004,0,0.011,0.034,0.033,0.108
"P36","Muy buena",0.228,0.048,0.126,0.042,0.027,0
"P36","Buena",0.274,0.257,0.152,0.082,0.04,0
"P36","Ni buena ni mala",0.413,0.544,0.572,0.381,0.264,0.702
"P36","Mala",0.045,0.119,0.103,0.289,0.164,0.249
"P36","Muy mala",0.035,0.032,0.041,0.185,0.475,0.049
"P36","No sabe",0.005,0,0.006,0.021,0.03,0
"P37","Muy buena",0.282,0.056,0.016,0,0,0
"P37","Buena",0.266,0.206,0.039,0.008,0.003,0
"P37","Ni buena ni mala",0.36,0.573,0.587,0.109,0.035,0.702
"P37","Mala",0.041,0.055,0.206,0.479,0.038,0.249
"P37","Muy mala",0.042,0.093,0.117,0.373,0.912,0.049
"P37","No sabe",0.009,0.017,0.035,0.031,0.012,0
"P38","Muy buena",0.202,0.082,0.015,0,0.002,0
"P38","Buena",0.249,0.092,0.041,0.032,0.009,0
"P38","Ni buena ni mala",0.449,0.589,0.68,0.265,0.152,0.704
"P38","Mala",0.027,0.057,0.119,0.402,0.164,0.247
"P38","Muy mala",0.029,0.126,0.031,0.247,0.597,0.049
"P38","No sabe",0.044,0.054,0.114,0.054,0.076,0
