"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Si","0.257","0.254","0.259","0.152","0.281","0.252","0.31","0.352","0.258","0.2","0.238","0.417","0.361","0.094","0.353","0.189","0.257","0"
"No","0.437","0.432","0.443","0.615","0.424","0.407","0.318","0.329","0.432","0.505","0.432","0.378","0.325","0.632","0.359","0.504","0.437","0"
"No sabe","0.306","0.314","0.298","0.233","0.295","0.341","0.372","0.319","0.31","0.295","0.33","0.205","0.314","0.274","0.288","0.307","0.306","0"
