"var","categoria","Al gobierno provincial que se fue","Al gobierno provincial vigente","Al gobierno nacional que se fue","Al gobierno nacional que vigente","No sabe"
"P09","Siempre",0.239,0.168,0.114,0.243,0.244
"P09","Casi siempre",0.354,0.564,0.361,0.278,0.354
"P09","Casi nunca",0.291,0.134,0.385,0.381,0.283
"P09","Nunca, pero esta es una excepción",0.116,0.134,0.14,0.098,0.119
"P10","Muy buena",0.223,0.189,0.172,0.13,0.224
"P10","Buena",0.243,0.253,0.252,0.409,0.287
"P10","Ni buena ni mala",0.42,0.462,0.362,0.401,0.283
"P10","Mala",0.078,0,0.106,0.053,0.084
"P10","Muy mala",0.024,0.096,0.066,0.003,0.013
"P10","No sabe",0.012,0,0.042,0.004,0.109
"P11","Muy buena",0.353,0.127,0.294,0.346,0.255
"P11","Buena",0.309,0.343,0.263,0.229,0.346
"P11","Ni buena ni mala",0.24,0.327,0.259,0.324,0.358
"P11","Mala",0.05,0.046,0.093,0.097,0.016
"P11","Muy mala",0.027,0.157,0.076,0,0.016
"P11","No sabe",0.021,0,0.015,0.004,0.009
"P12","Muy de acuerdo",0.173,0.111,0.138,0.094,0.192
"P12","De acuerdo",0.172,0.083,0.195,0.068,0.164
"P12","Ni de acuerdo ni en desacuerdo",0.199,0.239,0.142,0.184,0.086
"P12","En desacuerdo",0.157,0.157,0.193,0.148,0.308
"P12","Muy en desacuerdo",0.146,0.212,0.152,0.35,0.103
"P12","No sabe",0.153,0.198,0.18,0.156,0.147
"P15","Muy de acuerdo",0.625,0.251,0.626,0.361,0.48
"P15","De acuerdo",0.138,0.39,0.07,0.204,0.202
"P15","Ni de acuerdo ni en desacuerdo",0.155,0.221,0.207,0.239,0.206
"P15","En desacuerdo",0.063,0.132,0.067,0.12,0.058
"P15","Muy en desacuerdo",0.013,0.006,0,0,0.027
"P15","No sabe",0.006,0,0.03,0.076,0.027
"P17","Muy de acuerdo",0.701,0.371,0.714,0.385,0.493
"P17","De acuerdo",0.144,0.355,0.117,0.157,0.226
"P17","Ni de acuerdo ni en desacuerdo",0.104,0.11,0.153,0.325,0.158
"P17","En desacuerdo",0.02,0.117,0.002,0.106,0.043
"P17","Muy en desacuerdo",0.015,0.013,0.003,0,0.022
"P17","No sabe",0.016,0.034,0.011,0.027,0.058
"P18","Si",0.717,0.476,0.591,0.65,0.663
"P18","No",0.095,0.347,0.262,0.06,0.132
"P18","No sabe",0.188,0.177,0.147,0.29,0.205
"P19","Si",0.51,0.362,0.443,0.466,0.503
"P19","No",0.169,0.437,0.253,0.205,0.096
"P19","No sabe",0.321,0.201,0.304,0.329,0.401
"P22","Muy de acuerdo",0.367,0.259,0.534,0,0.121
"P22","De acuerdo",0.162,0.304,0.241,0.072,0.098
"P22","Ni de acuerdo ni en desacuerdo",0.15,0.115,0.181,0.08,0.204
"P22","En desacuerdo",0.144,0.218,0.017,0.274,0.272
"P22","Muy en desacuerdo",0.16,0.104,0.019,0.574,0.273
"P22","No sabe",0.017,0,0.008,0,0.032
"P23","Muy de acuerdo",0.321,0.231,0.494,0,0.049
"P23","De acuerdo",0.179,0.188,0.184,0.074,0.112
"P23","Ni de acuerdo ni en desacuerdo",0.151,0.204,0.247,0.048,0.138
"P23","En desacuerdo",0.146,0.206,0.019,0.252,0.291
"P23","Muy en desacuerdo",0.193,0.171,0.025,0.626,0.342
"P23","No sabe",0.01,0,0.031,0,0.068
"P24","Muy buena",0.336,0.115,0.212,0.313,0.29
"P24","Buena",0.275,0.479,0.295,0.189,0.285
"P24","Ni buena ni mala",0.302,0.192,0.348,0.344,0.315
"P24","Mala",0.063,0.153,0.08,0.116,0.066
"P24","Muy mala",0.021,0.061,0.048,0.022,0.033
"P24","No sabe",0.003,0,0.017,0.016,0.011
"P25","Muy buena",0.102,0.303,0.077,0.244,0.277
"P25","Buena",0.216,0.178,0.311,0.288,0.291
"P25","Ni buena ni mala",0.394,0.381,0.313,0.344,0.332
"P25","Mala",0.196,0.039,0.168,0.11,0.026
"P25","Muy mala",0.076,0.083,0.129,0.014,0.051
"P25","No sabe",0.016,0.016,0.002,0,0.023
"P26","Muy buena",0.044,0.225,0.061,0.071,0.142
"P26","Buena",0.127,0.267,0.234,0.201,0.268
"P26","Ni buena ni mala",0.202,0.267,0.383,0.451,0.34
"P26","Mala",0.415,0.148,0.185,0.239,0.157
"P26","Muy mala",0.207,0.093,0.122,0.038,0.086
"P26","No sabe",0.005,0,0.015,0,0.007
"P27","Muy buena",0.08,0.234,0.103,0.104,0.155
"P27","Buena",0.129,0.299,0.102,0.133,0.27
"P27","Ni buena ni mala",0.415,0.205,0.472,0.492,0.337
"P27","Mala",0.212,0.193,0.15,0.171,0.06
"P27","Muy mala",0.144,0.035,0.14,0.042,0.079
"P27","No sabe",0.02,0.034,0.033,0.058,0.099
"P28","Muy buena",0.165,0.051,0.057,0.369,0.1
"P28","Buena",0.152,0.414,0.129,0.165,0.247
"P28","Ni buena ni mala",0.281,0.196,0.264,0.249,0.432
"P28","Mala",0.23,0.187,0.291,0.14,0.123
"P28","Muy mala",0.168,0.109,0.23,0.029,0.092
"P28","No sabe",0.004,0.043,0.029,0.048,0.006
"P29","Muy buena",0.239,0.321,0.011,0.731,0.324
"P29","Buena",0.077,0.118,0.077,0.147,0.174
"P29","Ni buena ni mala",0.084,0.054,0.096,0.037,0.13
"P29","Mala",0.242,0.202,0.263,0.071,0.257
"P29","Muy mala",0.348,0.305,0.549,0.014,0.109
"P29","No sabe",0.01,0,0.004,0,0.006
"P30","Muy buena",0.116,0.211,0.151,0,0.037
"P30","Buena",0.182,0.176,0.28,0.019,0.09
