"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P09","Siempre",0.212,0.226,0.208,0.208,0.415,0.213
"P09","Casi siempre",0.364,0.453,0.286,0.292,0.28,0.463
"P09","Casi nunca",0.319,0.228,0.368,0.263,0.276,0.128
"P09","Nunca, pero esta es una excepción",0.105,0.093,0.138,0.237,0.029,0.196
"P10","Muy buena",0.23,0.187,0.112,0.27,0.028,0.296
"P10","Buena",0.254,0.362,0.255,0.101,0.387,0.326
"P10","Ni buena ni mala",0.375,0.333,0.548,0.421,0.403,0.316
"P10","Mala",0.074,0.064,0.066,0.164,0.029,0.044
"P10","Muy mala",0.042,0.024,0.004,0.026,0.09,0
"P10","No sabe",0.025,0.03,0.015,0.018,0.063,0.018
"P11","Muy buena",0.361,0.312,0.237,0.28,0.123,0.424
"P11","Buena",0.316,0.358,0.214,0.237,0.456,0.292
"P11","Ni buena ni mala",0.215,0.257,0.387,0.366,0.15,0.257
"P11","Mala",0.062,0.05,0.064,0.08,0.031,0.027
"P11","Muy mala",0.042,0.019,0.031,0.037,0.208,0
"P11","No sabe",0.004,0.004,0.067,0,0.032,0
"P12","Muy de acuerdo",0.181,0.074,0.2,0.118,0.032,0
"P12","De acuerdo",0.161,0.165,0.136,0.229,0.163,0.064
"P12","Ni de acuerdo ni en desacuerdo",0.178,0.238,0.138,0.228,0.263,0.027
"P12","En desacuerdo",0.175,0.172,0.215,0.117,0,0.126
"P12","Muy en desacuerdo",0.144,0.197,0.219,0.105,0.031,0.409
"P12","No sabe",0.161,0.154,0.092,0.203,0.511,0.374
"P16","Al gobierno provincial que se fue",0.674,0.581,0.541,0.55,0.796,0.224
"P16","Al gobierno provincial vigente",0.022,0.132,0.062,0.092,0.029,0
"P16","Al gobierno nacional que se fue",0.2,0.087,0.214,0.171,0,0.321
"P16","Al gobierno nacional que vigente",0.049,0.109,0.106,0.133,0,0.35
"P16","No sabe",0.055,0.091,0.077,0.054,0.175,0.105
"P17","Muy de acuerdo",0.8,0.48,0.428,0.423,0.296,0.408
"P17","De acuerdo",0.105,0.298,0.221,0.114,0.106,0.188
"P17","Ni de acuerdo ni en desacuerdo",0.062,0.172,0.295,0.176,0.304,0.289
"P17","En desacuerdo",0.021,0.027,0.018,0.123,0.216,0
"P17","Muy en desacuerdo",0.006,0.009,0.002,0.088,0.078,0
"P17","No sabe",0.006,0.014,0.036,0.076,0,0.115
"P18","Si",0.707,0.744,0.553,0.529,0.647,0.789
"P18","No",0.127,0.125,0.193,0.133,0.131,0.04
"P18","No sabe",0.166,0.131,0.254,0.338,0.222,0.171
"P19","Si",0.487,0.572,0.431,0.367,0.641,0.744
"P19","No",0.227,0.13,0.153,0.199,0.26,0.064
"P19","No sabe",0.286,0.298,0.416,0.434,0.099,0.192
"P22","Muy de acuerdo",0.422,0.183,0.274,0.374,0.085,0
"P22","De acuerdo",0.183,0.223,0.126,0.041,0.126,0.555
"P22","Ni de acuerdo ni en desacuerdo",0.113,0.138,0.254,0.278,0.141,0.079
"P22","En desacuerdo",0.121,0.215,0.157,0.151,0.137,0
"P22","Muy en desacuerdo",0.146,0.235,0.182,0.115,0.511,0.366
"P22","No sabe",0.015,0.006,0.007,0.041,0,0
"P23","Muy de acuerdo",0.389,0.101,0.211,0.385,0.112,0
"P23","De acuerdo",0.176,0.216,0.125,0.142,0.032,0.124
"P23","Ni de acuerdo ni en desacuerdo",0.141,0.196,0.212,0.137,0.138,0.368
"P23","En desacuerdo",0.121,0.171,0.167,0.203,0.136,0.029
"P23","Muy en desacuerdo",0.167,0.307,0.231,0.133,0.582,0.339
"P23","No sabe",0.006,0.009,0.054,0,0,0.14
"P24","Muy buena",0.287,0.295,0.317,0.278,0.537,0.366
"P24","Buena",0.281,0.361,0.243,0.264,0,0.459
"P24","Ni buena ni mala",0.317,0.251,0.331,0.355,0.212,0.088
"P24","Mala",0.076,0.037,0.089,0.098,0.129,0.087
"P24","Muy mala",0.031,0.051,0.011,0.005,0.092,0
"P24","No sabe",0.008,0.005,0.009,0,0.03,0
"P25","Muy buena",0.115,0.114,0.153,0.202,0.067,0.112
"P25","Buena",0.235,0.32,0.222,0.177,0,0.501
"P25","Ni buena ni mala",0.351,0.339,0.442,0.408,0.632,0.275
"P25","Mala",0.185,0.152,0.13,0.156,0.111,0.112
"P25","Muy mala",0.109,0.06,0.01,0.057,0.161,0
"P25","No sabe",0.005,0.015,0.043,0,0.029,0
"P26","Muy buena",0.066,0.023,0.097,0.063,0.03,0
"P26","Buena",0.144,0.219,0.199,0.216,0.04,0.141
"P26","Ni buena ni mala",0.233,0.286,0.358,0.233,0.306,0.512
"P26","Mala",0.37,0.304,0.259,0.282,0.177,0.093
"P26","Muy mala",0.186,0.165,0.069,0.198,0.447,0.112
"P26","No sabe",0.001,0.003,0.018,0.008,0,0.142
"P27","Muy buena",0.113,0.059,0.098,0.082,0.03,0.029
"P27","Buena",0.115,0.207,0.193,0.098,0.147,0.142
"P27","Ni buena ni mala",0.412,0.401,0.434,0.457,0.195,0.487
"P27","Mala",0.187,0.218,0.196,0.119,0.273,0.088
"P27","Muy mala",0.157,0.089,0.014,0.186,0.326,0.112
"P27","No sabe",0.016,0.026,0.065,0.058,0.029,0.142
"P28","Muy buena",0.138,0.187,0.179,0.063,0.408,0.19
"P28","Buena",0.143,0.2,0.267,0.103,0.079,0.045
"P28","Ni buena ni mala",0.272,0.307,0.259,0.282,0.233,0.563
"P28","Mala",0.247,0.16,0.226,0.262,0,0.06
"P28","Muy mala",0.19,0.138,0.052,0.266,0.25,0
"P28","No sabe",0.01,0.008,0.017,0.024,0.03,0.142
"P29","Muy buena",0.181,0.342,0.345,0.251,0.426,0.282
"P29","Buena",0.088,0.141,0.088,0.031,0.03,0
"P29","Ni buena ni mala",0.056,0.134,0.128,0.111,0.113,0.113
"P29","Mala",0.263,0.105,0.213,0.305,0.096,0.155
"P29","Muy mala",0.401,0.276,0.226,0.302,0.335,0.45
"P29","No sabe",0.011,0.002,0,0,0,0
"P30","Muy buena",0.12,0.07,0.094,0.249,0.031,0
"P30","Buena",0.22,0.112,0.136,0.123,0.088,0.28
"P30","Ni buena ni mala",0.195,0.156,0.223,0.202,0.113,0.029
"P30","Mala",0.187,0.282,0.294,0.258,0.033,0.409
"P30","Muy mala",0.276,0.38,0.221,0.168,0.453,0.282
"P30","No sabe",0.002,0,0.032,0,0.282,0
"P31","Muy buena",0.118,0.093,0.18,0.2,0.223,0.227
"P31","Buena",0.124,0.301,0.181,0.083,0.282,0.081
"P31","Ni buena ni mala",0.144,0.23,0.301,0.118,0.033,0.428
"P31","Mala",0.211,0.129,0.132,0.229,0.096,0
"P31","Muy mala",0.399,0.247,0.174,0.37,0.366,0.264
"P31","No sabe",0.004,0,0.032,0,0,0
"P32","Muy buena",0.38,0.198,0.248,0.429,0.119,0
"P32","Buena",0.197,0.259,0.049,0.033,0,0.515
"P32","Ni buena ni mala",0.133,0.074,0.2,0.196,0.145,0.111
"P32","Mala",0.082,0.118,0.232,0.162,0,0.03
"P32","Muy mala",0.204,0.351,0.239,0.18,0.736,0.344
"P32","No sabe",0.004,0,0.032,0,0,0
"P33","Muy buena",0.269,0.062,0.202,0.381,0.031,0.095
"P33","Buena",0.306,0.176,0.174,0.065,0.033,0.448
"P33","Ni buena ni mala",0.137,0.26,0.235,0.11,0.2,0.111
"P33","Mala",0.089,0.116,0.169,0.27,0,0.03
"P33","Muy mala",0.196,0.386,0.22,0.174,0.736,0.316
"P33","No sabe",0.003,0,0,0,0,0
"P34","Muy buena",0.214,0.042,0.093,0.296,0.031,0.095
"P34","Buena",0.208,0.172,0.195,0.118,0,0.141
"P34","Ni buena ni mala",0.307,0.293,0.328,0.222,0.273,0.357
"P34","Mala",0.086,0.129,0.153,0.231,0,0.319
"P34","Muy mala",0.167,0.318,0.211,0.133,0.696,0.088
"P34","No sabe",0.018,0.046,0.02,0,0,0
"P35","Muy buena",0.421,0.138,0.246,0.334,0.088,0.095
"P35","Buena",0.176,0.208,0.133,0.059,0,0.418
"P35","Ni buena ni mala",0.141,0.201,0.235,0.265,0.185,0.14
"P35","Mala",0.067,0.125,0.156,0.209,0,0.145
"P35","Muy mala",0.183,0.31,0.198,0.133,0.727,0.202
"P35","No sabe",0.012,0.018,0.032,0,0,0
"P36","Muy buena",0.137,0.07,0.063,0.232,0.03,0.133
"P36","Buena",0.203,0.156,0.17,0.114,0.072,0.213
"P36","Ni buena ni mala",0.435,0.41,0.481,0.253,0.627,0.42
"P36","Mala",0.09,0.191,0.156,0.242,0,0.101
"P36","Muy mala",0.124,0.173,0.106,0.159,0.271,0.133
"P36","No sabe",0.011,0,0.024,0,0,0
"P37","Muy buena",0.154,0.008,0.053,0.197,0,0
"P37","Buena",0.166,0.139,0.057,0.143,0.039,0.111
"P37","Ni buena ni mala",0.335,0.334,0.451,0.083,0.341,0.362
"P37","Mala",0.104,0.116,0.197,0.3,0,0.034
"P37","Muy mala",0.224,0.38,0.23,0.247,0.62,0.493
"P37","No sabe",0.017,0.023,0.012,0.03,0,0
"P38","Muy buena",0.13,0.011,0.034,0.057,0.031,0
"P38","Buena",0.137,0.085,0.096,0.116,0,0.035
"P38","Ni buena ni mala",0.454,0.342,0.457,0.277,0.405,0.585
"P38","Mala",0.08,0.216,0.154,0.299,0.033,0.183
"P38","Muy mala",0.157,0.225,0.173,0.205,0.531,0.052
"P38","No sabe",0.042,0.121,0.086,0.046,0,0.145
