"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"Rodrigo de Loredo","Positiva",0.424,0.426,0.423,0.396,0.398,0.458,0.479,0.384,0.427,0.46,0.413,0.433,0.191,0.569,0.465,0.347,0.63,0.747,0.485,0.266
"Rodrigo de Loredo","Neutra",0.314,0.3,0.327,0.349,0.307,0.299,0.304,0.369,0.316,0.26,0.305,0.321,0.307,0.303,0.261,0.369,0.274,0.152,0.272,0.177
"Rodrigo de Loredo","Negativa",0.221,0.241,0.201,0.224,0.252,0.197,0.174,0.175,0.224,0.258,0.247,0.201,0.448,0.095,0.207,0.238,0.06,0.086,0.238,0.527
"Rodrigo de Loredo","No sabe",0.041,0.033,0.049,0.031,0.043,0.046,0.043,0.072,0.033,0.022,0.035,0.045,0.054,0.033,0.067,0.046,0.036,0.015,0.005,0.03
"Martín Llaryora","Positiva",0.417,0.428,0.407,0.441,0.42,0.411,0.386,0.468,0.396,0.395,0.428,0.409,0.548,0.364,0.455,0.61,0.265,0.191,0.191,0.287
"Martín Llaryora","Neutra",0.262,0.237,0.284,0.201,0.256,0.29,0.313,0.251,0.273,0.257,0.233,0.283,0.193,0.305,0.189,0.219,0.33,0.333,0.342,0.202
"Martín Llaryora","Negativa",0.302,0.322,0.284,0.342,0.304,0.28,0.279,0.259,0.31,0.334,0.319,0.29,0.244,0.315,0.283,0.155,0.381,0.473,0.464,0.488
"Martín Llaryora","No sabe",0.019,0.013,0.025,0.016,0.02,0.019,0.022,0.022,0.021,0.014,0.02,0.018,0.015,0.016,0.073,0.016,0.024,0.003,0.003,0.023
"Juan Schiaretti","Positiva",0.431,0.431,0.431,0.378,0.444,0.465,0.42,0.539,0.415,0.348,0.392,0.46,0.426,0.444,0.581,0.611,0.33,0.349,0.228,0.131
"Juan Schiaretti","Neutra",0.217,0.207,0.227,0.232,0.192,0.215,0.262,0.182,0.214,0.254,0.234,0.205,0.169,0.239,0.178,0.18,0.279,0.243,0.343,0.137
"Juan Schiaretti","Negativa",0.337,0.349,0.326,0.381,0.345,0.312,0.295,0.255,0.356,0.391,0.358,0.321,0.399,0.299,0.22,0.199,0.377,0.38,0.417,0.724
"Juan Schiaretti","No sabe",0.015,0.013,0.016,0.009,0.019,0.008,0.023,0.024,0.015,0.007,0.016,0.014,0.006,0.018,0.021,0.01,0.014,0.028,0.012,0.008
"Luis Juez","Positiva",0.43,0.421,0.438,0.346,0.392,0.494,0.54,0.447,0.412,0.433,0.391,0.458,0.159,0.596,0.316,0.352,0.712,0.629,0.389,0.204
"Luis Juez","Neutra",0.185,0.186,0.184,0.264,0.176,0.165,0.13,0.196,0.221,0.133,0.179,0.19,0.148,0.193,0.165,0.198,0.14,0.19,0.218,0.09
"Luis Juez","Negativa",0.365,0.376,0.356,0.374,0.408,0.32,0.315,0.324,0.353,0.42,0.409,0.333,0.681,0.192,0.453,0.426,0.135,0.178,0.393,0.698
"Luis Juez","No sabe",0.02,0.017,0.022,0.016,0.024,0.021,0.015,0.033,0.014,0.014,0.021,0.019,0.012,0.019,0.066,0.024,0.013,0.003,0,0.008
"Aurelio García Elorrio","Positiva",0.246,0.288,0.207,0.177,0.254,0.262,0.295,0.253,0.232,0.256,0.273,0.226,0.169,0.276,0.315,0.254,0.213,0.207,0.709,0.224
"Aurelio García Elorrio","Neutra",0.374,0.342,0.404,0.362,0.371,0.399,0.361,0.362,0.38,0.378,0.36,0.384,0.374,0.381,0.338,0.41,0.403,0.388,0.149,0.202
"Aurelio García Elorrio","Negativa",0.229,0.248,0.212,0.293,0.239,0.195,0.172,0.217,0.228,0.242,0.254,0.211,0.299,0.191,0.208,0.182,0.228,0.25,0.132,0.46
"Aurelio García Elorrio","No sabe",0.151,0.122,0.177,0.168,0.136,0.144,0.172,0.168,0.16,0.124,0.113,0.179,0.158,0.152,0.139,0.154,0.156,0.155,0.01,0.114
"Patricia Bullrich","Positiva",0.429,0.458,0.401,0.41,0.365,0.491,0.52,0.382,0.449,0.451,0.447,0.415,0.144,0.606,0.387,0.339,0.705,0.619,0.51,0.181
"Patricia Bullrich","Neutra",0.149,0.133,0.166,0.162,0.167,0.142,0.101,0.197,0.146,0.109,0.138,0.158,0.132,0.135,0.214,0.188,0.072,0.121,0.093,0.082
"Patricia Bullrich","Negativa",0.406,0.4,0.41,0.419,0.449,0.353,0.358,0.393,0.392,0.433,0.395,0.414,0.707,0.247,0.349,0.455,0.211,0.233,0.377,0.729
"Patricia Bullrich","No sabe",0.016,0.009,0.023,0.009,0.019,0.014,0.021,0.028,0.013,0.007,0.02,0.013,0.017,0.012,0.05,0.018,0.012,0.027,0.02,0.008
"Martín Lousteau","Positiva",0.278,0.268,0.288,0.143,0.278,0.34,0.365,0.272,0.253,0.313,0.268,0.285,0.111,0.36,0.494,0.22,0.41,0.509,0.394,0.17
"Martín Lousteau","Neutra",0.332,0.312,0.349,0.333,0.325,0.345,0.326,0.364,0.327,0.306,0.32,0.341,0.327,0.347,0.237,0.353,0.371,0.327,0.309,0.239
"Martín Lousteau","Negativa",0.327,0.377,0.281,0.415,0.33,0.274,0.284,0.301,0.334,0.344,0.345,0.315,0.496,0.241,0.171,0.336,0.196,0.112,0.297,0.542
