"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.052,0.019,0.025,0.017,0.034,0.01
"P19","Votaría en blanco",0.032,0.02,0.037,0.034,0.025,0.047
"P19","No sabe",0.025,0.05,0.082,0.085,0.06,0.13
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.317,0.163,0.165,0.376,0.465,0.228
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.35,0.503,0.458,0.294,0.14,0.378
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.211,0.176,0.122,0.058,0.031,0.071
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.008,0.023,0.1,0.079,0.176,0.149
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.038,0.034,0.014,0.034,0.046,0.01
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.022,0.012,0.03,0.018,0.035,0
"P20","Votaría en blanco",0,0.018,0.034,0.03,0.036,0.075
"P20","No sabe",0.054,0.071,0.077,0.111,0.071,0.089
"P21","Lo votaría",0.447,0.176,0.211,0.309,0.373,0.257
"P21","Puede que lo vote",0.052,0.129,0.203,0.22,0.295,0.261
"P21","Nunca lo votaría",0.482,0.683,0.586,0.471,0.332,0.372
"P21","No sabe",0.019,0.012,0,0,0,0.11
"P22","Lo votaría",0.457,0.486,0.408,0.295,0.145,0.399
"P22","Puede que lo vote",0.266,0.182,0.256,0.238,0.184,0.362
"P22","Nunca lo votaría",0.258,0.32,0.336,0.467,0.671,0.129
"P22","No sabe",0.019,0.012,0,0,0,0.11
"P23","Lo votaría",0.215,0.214,0.166,0.338,0.349,0.269
"P23","Puede que lo vote",0.147,0.145,0.124,0.152,0.237,0.194
"P23","Nunca lo votaría",0.619,0.628,0.71,0.51,0.414,0.401
"P23","No sabe",0.019,0.013,0,0,0,0.136
"P24","Lo votaría",0.327,0.209,0.131,0.064,0.074,0.152
"P24","Puede que lo vote",0.126,0.238,0.293,0.14,0.075,0
"P24","Nunca lo votaría",0.528,0.541,0.576,0.794,0.851,0.684
"P24","No sabe",0.019,0.012,0,0.002,0,0.164
"P25","Muy buena",0.206,0.095,0.13,0.24,0.342,0.286
"P25","Buena",0.055,0.189,0.138,0.236,0.174,0.027
"P25","Ni buena ni mala",0.265,0.306,0.339,0.317,0.28,0.407
"P25","Mala",0.202,0.219,0.17,0.079,0.077,0.021
"P25","Muy mala",0.247,0.171,0.179,0.104,0.112,0.015
"P25","No sabe",0.025,0.02,0.044,0.024,0.015,0.244
"P26","Muy buena",0.154,0.144,0.086,0.266,0.258,0.172
"P26","Buena",0.114,0.135,0.14,0.179,0.229,0.054
"P26","Ni buena ni mala",0.104,0.153,0.221,0.187,0.177,0.363
"P26","Mala",0.105,0.19,0.215,0.243,0.135,0.134
"P26","Muy mala",0.516,0.356,0.328,0.125,0.186,0.125
"P26","No sabe",0.007,0.022,0.01,0,0.015,0.152
"P27","Muy buena",0.494,0.331,0.272,0.188,0.143,0.394
"P27","Buena",0.218,0.287,0.249,0.2,0.146,0.088
"P27","Ni buena ni mala",0.127,0.241,0.233,0.266,0.238,0.145
"P27","Mala",0.058,0.075,0.123,0.303,0.227,0.205
"P27","Muy mala",0.103,0.049,0.095,0.035,0.24,0
