"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Llaryora","Juez","De Loredo","Quinteros"
"A Luis Juez por Juntos por el Cambio",0.331,0.325,0.337,0.257,0.294,0.367,0.489,0.309,0.309,0.364,0.097,0.481,0.235,0.186,0.681,0.542,0.263
"A Daniel Passerini por Hacemos por Cordoba",0.31,0.306,0.314,0.436,0.297,0.237,0.256,0.34,0.318,0.286,0.507,0.236,0.284,0.515,0.105,0.125,0.103
"Al candidato del frente de todos",0.08,0.087,0.073,0.051,0.072,0.112,0.097,0.096,0.075,0.076,0.188,0.033,0.023,0.089,0.007,0.047,0.011
"Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.078,0.105,0.05,0.051,0.118,0.063,0.035,0.099,0.074,0.07,0.014,0.071,0.239,0.076,0.04,0.085,0.095
"A  Juan Pablo Quinteros por Encuentro Vecinal",0.062,0.066,0.06,0.051,0.065,0.076,0.054,0.056,0.066,0.062,0.023,0.064,0.149,0.048,0.061,0.057,0.449
"Al candidato del frente de izquierda",0.041,0.044,0.037,0.077,0.041,0.021,0.013,0.014,0.053,0.043,0.068,0.02,0,0.011,0.01,0.044,0.013
"Votaría en blanco",0.024,0.023,0.025,0,0.029,0.048,0.013,0.022,0.018,0.031,0.027,0.02,0.04,0.017,0.016,0.025,0.024
"No sabe",0.074,0.044,0.104,0.077,0.084,0.076,0.043,0.064,0.087,0.068,0.076,0.075,0.03,0.058,0.08,0.075,0.042
