var,categoria,Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio,Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba,A los candidatos a gobernador e intendente del Frente de Todos,A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei,A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba,A los candidatos a gobernador e intendente del Frente de Izquierda,Votaría en blanco,No sabe
P46,No sabe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131
P47,Lo votaría,0.159,0.696,0.151,0.061,0.123,0.046,0.039,0.119
P47,Puede que lo vote,0.141,0.165,0.415,0.153,0.238,0.055,0.232,0.154
P47,Nunca lo votaría,0.7,0.139,0.434,0.786,0.639,0.899,0.729,0.596
P47,No sabe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131
P48,Lo votaría,0.569,0.122,0.073,0.084,0.201,0.183,0.279,0.145
P48,Puede que lo vote,0.282,0.097,0.144,0.189,0.239,0.068,0.123,0.199
P48,Nunca lo votaría,0.149,0.781,0.783,0.727,0.56,0.749,0.598,0.525
P48,No sabe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131
P49,Lo votaría,0.181,0.037,0.098,0.037,0.435,0.065,0.088,0.069
P49,Puede que lo vote,0.266,0.268,0.169,0.319,0.365,0.095,0.164,0.218
P49,Nunca lo votaría,0.553,0.695,0.733,0.644,0.2,0.84,0.748,0.582
P49,No sabe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131
P50,Lo votaría,0.032,0.167,0.297,0.015,0.102,0.0,0.055,0.05
P50,Puede que lo vote,0.093,0.337,0.38,0.078,0.12,0.15,0.282,0.144
P50,Nunca lo votaría,0.875,0.496,0.323,0.907,0.778,0.85,0.663,0.675
P50,No sabe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131
P51,Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio,0.91,0.024,0.077,0.291,0.347,0.094,0.377,0.334
P51,Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba,0.019,0.946,0.042,0.011,0.033,0.0,0.0,0.097
P51,A los candidatos a gobernador e intendente del Frente de Todos,0.01,0.02,0.86,0.015,0.025,0.0,0.0,0.0
P51,A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei,0.019,0.003,0.008,0.67,0.011,0.0,0.0,0.033
P51,A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba,0.02,0.003,0.005,0.013,0.551,0.0,0.0,0.026
P51,A los candidatos a gobernador e intendente del Frente de Izquierda,0.006,0.0,0.0,0.0,0.033,0.86,0.078,0.014
P51,Votaría en blanco,0.008,0.002,0.0,0.0,0.0,0.0,0.545,0.018
P51,No sabe,0.008,0.002,0.008,0.0,0.0,0.046,0.0,0.478
