"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.499,0.612,0.572,0.652,0.593
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.316,0.309,0.377,0.284,0.124
"P12","No sabe",0.185,0.079,0.051,0.064,0.283
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.505,0.492,0.607,0.479,0.587
"P13","A Martín Llaryora por Hacemos por Córdoba",0.331,0.328,0.217,0.247,0.176
"P13","Al candidato del Frente de Todos",0.003,0.014,0.006,0.024,0
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.013,0.051,0.037,0.014,0
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.01,0.009,0.029,0.182,0.009
"P13","Al candidato del Frente de Izquierda",0.021,0,0.002,0.014,0.167
"P13","Votaría en blanco",0.057,0.016,0.027,0.04,0.016
"P13","No sabe",0.06,0.09,0.075,0,0.045
"P15","A Luis Juez por Juntos por el Cambio",0.484,0.558,0.561,0.433,0.501
"P15","A Martín Llaryora por Hacemos por Córdoba",0.37,0.333,0.268,0.32,0.178
"P15","Al candidato del Frente de Todos",0.016,0.011,0.002,0.026,0
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.02,0.037,0.035,0,0.023
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.032,0.017,0.052,0.069,0.014
"P15","Al candidato del Frente de Izquierda",0.013,0,0.002,0.015,0.135
"P15","Votaría en blanco",0.014,0.007,0.006,0.11,0.05
"P15","No sabe",0.051,0.037,0.074,0.027,0.099
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.592,0.588,0.682,0.474,0.623
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.269,0.279,0.187,0.278,0.028
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0,0.009,0.005,0.028,0.023
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.046,0.06,0.03,0,0.028
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.032,0.014,0.02,0.129,0.163
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.014,0,0,0,0
"P17","Votaría en blanco",0.012,0.016,0.013,0,0
"P17","No sabe",0.035,0.034,0.063,0.091,0.135
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.581,0.65,0.632,0.505,0.722
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.263,0.201,0.158,0.278,0.014
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0,0.013,0.009,0.028,0
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.009,0.05,0.037,0,0
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.014,0.01,0.034,0.099,0.161
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.023,0,0,0.015,0
"P18","Votaría en blanco",0.027,0.033,0.037,0.037,0.024
"P18","No sabe",0.083,0.043,0.093,0.038,0.079
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.56,0.593,0.736,0.422,0.505
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.307,0.244,0.109,0.248,0.017
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.006,0.021,0.001,0,0
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.009,0.074,0.037,0,0.04
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.026,0.017,0.027,0.104,0.292
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.015,0.002,0,0,0.017
"P19","Votaría en blanco",0.029,0.011,0.035,0.049,0
"P19","No sabe",0.048,0.038,0.055,0.177,0.129
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.547,0.586,0.642,0.456,0.61
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.309,0.248,0.107,0.257,0.017
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.013,0.018,0.005,0,0
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0,0.048,0.043,0,0
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.016,0.018,0.028,0.132,0.269
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.015,0.002,0,0,0
"P20","Votaría en blanco",0.025,0.036,0.079,0,0.028
"P20","No sabe",0.075,0.044,0.096,0.155,0.076
"P21","Lo votaría",0.544,0.534,0.455,0.58,0.431
"P21","Puede que lo vote",0.239,0.309,0.337,0.149,0.256
"P21","Nunca lo votaría",0.213,0.137,0.168,0.176,0.313
"P21","No sabe",0.004,0.02,0.04,0.095,0
"P22","Lo votaría",0.4,0.21,0.19,0.295,0.04
"P22","Puede que lo vote",0.091,0.229,0.098,0.181,0.057
"P22","Nunca lo votaría",0.509,0.543,0.692,0.431,0.903
"P22","No sabe",0,0.018,0.02,0.093,0
"P23","Lo votaría",0.412,0.444,0.517,0.224,0.257
"P23","Puede que lo vote",0.202,0.266,0.257,0.265,0.273
"P23","Nunca lo votaría",0.386,0.259,0.21,0.445,0.425
"P23","No sabe",0,0.031,0.016,0.066,0.045
"P24","Lo votaría",0.065,0.052,0.062,0.06,0
"P24","Puede que lo vote",0.194,0.093,0.109,0.134,0.046
"P24","Nunca lo votaría",0.741,0.841,0.813,0.771,0.954
"P24","No sabe",0,0.014,0.016,0.035,0
"P25","Muy buena",0.419,0.447,0.431,0.157,0.218
"P25","Buena",0.145,0.288,0.29,0.307,0.233
"P25","Ni buena ni mala",0.297,0.227,0.225,0.298,0.261
"P25","Mala",0.108,0.005,0.046,0.105,0.256
"P25","Muy mala",0.031,0.012,0.003,0.133,0.032
"P25","No sabe",0,0.021,0.005,0,0
"P26","Muy buena",0.34,0.38,0.392,0.036,0.138
"P26","Buena",0.249,0.301,0.344,0.327,0.185
"P26","Ni buena ni mala",0.186,0.114,0.12,0.11,0.132
"P26","Mala",0.124,0.147,0.11,0.303,0.44
"P26","Muy mala",0.094,0.046,0.032,0.224,0.045
"P26","No sabe",0.007,0.012,0.002,0,0.06
"P27","Muy buena",0.24,0.199,0.192,0.104,0
"P27","Buena",0.252,0.156,0.124,0.092,0.134
"P27","Ni buena ni mala",0.227,0.335,0.31,0.128,0.427
"P27","Mala",0.192,0.223,0.228,0.393,0.168
"P27","Muy mala",0.081,0.078,0.141,0.283,0.21
"P27","No sabe",0.008,0.009,0.005,0,0.061
"P28","Muy buena",0.175,0.164,0.191,0.155,0.026
"P28","Buena",0.145,0.17,0.182,0.191,0.153
"P28","Ni buena ni mala",0.327,0.477,0.361,0.356,0.638
"P28","Mala",0.102,0.08,0.077,0.118,0
"P28","Muy mala",0.063,0.021,0.076,0.18,0.082
"P28","No sabe",0.188,0.088,0.113,0,0.101
"P29","Muy buena",0.034,0.052,0.013,0.07,0
"P29","Buena",0.066,0.019,0.019,0.071,0
"P29","Ni buena ni mala",0.102,0.098,0.059,0.239,0.359
"P29","Mala",0.184,0.158,0.194,0.146,0.102
"P29","Muy mala",0.513,0.644,0.69,0.474,0.539
"P29","No sabe",0.101,0.029,0.025,0,0
"P30","Muy buena",0.046,0.019,0.002,0.071,0
"P30","Buena",0,0.019,0.015,0,0
"P30","Ni buena ni mala",0.055,0.036,0.033,0.07,0.309
"P30","Mala",0.271,0.115,0.151,0.109,0.153
"P30","Muy mala",0.609,0.801,0.797,0.75,0.538
"P30","No sabe",0.019,0.01,0.002,0,0
"P31","Muy buena",0.202,0.523,0.345,0,0.046
"P31","Buena",0.264,0.274,0.355,0.21,0.238
"P31","Ni buena ni mala",0.221,0.083,0.168,0.214,0.207
"P31","Mala",0.12,0.032,0.074,0.325,0.077
"P31","Muy mala",0.193,0.078,0.058,0.251,0.386
"P31","No sabe",0,0.01,0,0,0.046
"P32","Muy buena",0.393,0.151,0.121,0.076,0.157
"P32","Buena",0.291,0.331,0.361,0.292,0.168
"P32","Ni buena ni mala",0.163,0.394,0.287,0.111,0.288
"P32","Mala",0.038,0.076,0.16,0.31,0.067
"P32","Muy mala",0.088,0.026,0.063,0.211,0.274
"P32","No sabe",0.027,0.022,0.008,0,0.046
"P33","Muy buena",0.144,0.019,0.005,0,0
"P33","Buena",0.068,0.06,0.062,0.038,0.273
"P33","Ni buena ni mala",0.116,0.141,0.072,0.076,0.26
"P33","Mala",0.232,0.23,0.184,0.386,0.122
"P33","Muy mala",0.413,0.533,0.675,0.5,0.345
"P33","No sabe",0.027,0.017,0.002,0,0
"P34","Muy buena",0.324,0.451,0.72,0.031,0.139
"P34","Buena",0.207,0.194,0.155,0.245,0.542
"P34","Ni buena ni mala",0.138,0.178,0.037,0.22,0.132
"P34","Mala",0.172,0.062,0.043,0.241,0.124
"P34","Muy mala",0.105,0.092,0.042,0.239,0.063
"P34","No sabe",0.054,0.023,0.003,0.024,0
"P35","Muy buena",0.297,0.201,0.151,0.039,0.057
"P35","Buena",0.18,0.244,0.178,0.222,0.119
"P35","Ni buena ni mala",0.211,0.269,0.343,0.341,0.147
"P35","Mala",0.128,0.144,0.184,0.171,0.446
"P35","Muy mala",0.13,0.132,0.138,0.227,0.231
"P35","No sabe",0.054,0.01,0.006,0,0
"P36","Muy buena",0.097,0.125,0.126,0.039,0
"P36","Buena",0.117,0.116,0.158,0.151,0.022
"P36","Ni buena ni mala",0.332,0.443,0.404,0.259,0.389
"P36","Mala",0.2,0.149,0.169,0.172,0.376
"P36","Muy mala",0.196,0.148,0.112,0.379,0.213
"P36","No sabe",0.058,0.019,0.031,0,0
"P37","Muy buena",0.214,0.124,0.127,0.26,0.181
"P37","Buena",0.19,0.225,0.315,0.286,0.324
"P37","Ni buena ni mala",0.316,0.368,0.346,0.153,0.448
"P37","Mala",0.076,0.16,0.147,0.094,0.047
"P37","Muy mala",0.128,0.076,0.054,0.207,0
"P37","No sabe",0.076,0.047,0.011,0,0
"P38","Muy buena",0.079,0.057,0.082,0.039,0.417
"P38","Buena",0.264,0.169,0.228,0.317,0.21
"P38","Ni buena ni mala",0.361,0.433,0.345,0.338,0.326
"P38","Mala",0.074,0.09,0.135,0.068,0.047
"P38","Muy mala",0.068,0.149,0.147,0.238,0
"P38","No sabe",0.154,0.102,0.063,0,0
"P39","Muy buena",0.11,0.088,0.117,0.44,0.105
"P39","Buena",0.166,0.192,0.134,0.313,0.192
"P39","Ni buena ni mala",0.444,0.383,0.358,0.178,0.335
"P39","Mala",0.109,0.114,0.183,0.069,0.321
"P39","Muy mala",0.057,0.113,0.144,0,0
"P39","No sabe",0.114,0.11,0.064,0,0.047
"P42","A Rodrigo De Loredo por Juntos por el Cambio",0.696,0.646,0.742,0.658,0.802
"P42","A Daniel Passerini por Hacemos por Cordoba",0.211,0.157,0.134,0.208,0
"P42","Al candidato del frente de todos",0.057,0.033,0.044,0,0.079
"P42","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0,0.019,0.022,0,0
"P42","A  Juan Pablo Quinteros por Encuentro Vecinal",0.008,0.035,0.011,0.032,0.119
"P42","Al candidato del frente de izquierda",0,0.004,0,0.07,0
"P42","Votaría en blanco",0.009,0.023,0.013,0,0
"P42","No sabe",0.019,0.083,0.034,0.032,0
"P44","A Luis Juez por Juntos por el Cambio",0.594,0.665,0.641,0.447,0.365
"P44","A Daniel Passerini por Hacemos por Cordoba",0.219,0.168,0.149,0.334,0
"P44","Al candidato del frente de todos",0.047,0.024,0.003,0,0
"P44","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.013,0.033,0.051,0,0.067
"P44","A  Juan Pablo Quinteros por Encuentro Vecinal",0.047,0.058,0.046,0.076,0.163
"P44","Al candidato del frente de izquierda",0,0,0,0.071,0.037
"P44","Votaría en blanco",0.027,0.013,0.042,0,0.138
"P44","No sabe",0.053,0.039,0.068,0.072,0.23
"P46","Lo votaría",0.632,0.627,0.649,0.683,0.767
"P46","Puede que lo vote",0.213,0.249,0.25,0.067,0.115
"P46","Nunca lo votaría",0.149,0.091,0.092,0.25,0.118
"P46","No sabe",0.006,0.033,0.009,0,0
"P47","Lo votaría",0.328,0.161,0.145,0.479,0
"P47","Puede que lo vote",0.135,0.246,0.148,0.068,0.048
"P47","Nunca lo votaría",0.531,0.549,0.697,0.453,0.952
"P47","No sabe",0.006,0.044,0.01,0,0
"P48","Lo votaría",0.449,0.544,0.513,0.279,0.07
"P48","Puede que lo vote",0.318,0.218,0.264,0.273,0.556
"P48","Nunca lo votaría",0.227,0.19,0.213,0.448,0.374
"P48","No sabe",0.006,0.048,0.01,0,0
"P49","Lo votaría",0.24,0.109,0.117,0,0.088
"P49","Puede que lo vote",0.204,0.261,0.285,0.361,0.399
"P49","Nunca lo votaría",0.543,0.594,0.584,0.639,0.513
"P49","No sabe",0.013,0.036,0.014,0,0
"P50","Lo votaría",0.03,0.008,0.031,0,0.27
"P50","Puede que lo vote",0.111,0.105,0.132,0.246,0
"P50","Nunca lo votaría",0.837,0.85,0.824,0.754,0.73
"P50","No sabe",0.022,0.037,0.013,0,0
"P51","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio",0.661,0.727,0.792,0.502,0.806
"P51","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.168,0.167,0.11,0.226,0
"P51","A los candidatos a gobernador e intendente del Frente de Todos",0,0.011,0.009,0,0
"P51","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0,0.008,0.007,0,0
"P51","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.073,0.038,0.025,0.081,0
"P51","A los candidatos a gobernador e intendente del Frente de Izquierda",0.024,0,0.003,0.08,0.049
"P51","Votaría en blanco",0.022,0.012,0.019,0,0.049
"P51","No sabe",0.052,0.037,0.035,0.111,0.096
"P52","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.681,0.609,0.687,0.441,0.631
"P52","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.172,0.176,0.098,0.223,0.104
"P52","A los candidatos a gobernador e intendente del Frente de Todos",0,0.034,0.003,0,0
"P52","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0,0.025,0.023,0,0
"P52","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.038,0.034,0.056,0.081,0.074
"P52","A los candidatos a gobernador e intendente del Frente de Izquierda",0.014,0.016,0,0.079,0
"P52","Votaría en blanco",0.018,0.026,0.034,0.064,0.084
"P52","No sabe",0.077,0.08,0.099,0.112,0.107
