"var","categoria","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba","A los candidatos  a gobernador y vicegobernador del Frente de Todos","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba","A los candidatos a gobernador y vicegobernador del Frente de Izquierda","Votaría en blanco","No sabe"
"P07","Del Frente de Todos y el peronismo",0.066,0.396,0.851,0.021,0.083,0.26,0.202,0.116
"P07","De Cambiemos",0.608,0.278,0.029,0.129,0.296,0.021,0.155,0.192
"P07","De los Liberales libertarios",0.191,0.101,0.013,0.681,0.167,0.053,0.238,0.106
"P07","De la Izquierda",0.021,0.013,0.05,0.023,0.075,0.532,0.007,0.02
"P07","Otros",0.045,0.076,0.032,0.077,0.336,0.094,0.153,0.083
"P07","No sabe",0.069,0.136,0.025,0.069,0.043,0.04,0.245,0.483
"P08","A Alberto Fernández",0.299,0.15,0.088,0.112,0,0.204,0.077,0.152
"P08","A Sergio Massa",0.175,0.202,0.182,0.592,0.417,0.117,0.263,0.2
"P08","A algún candidato del peronismo",0.515,0.336,0.119,0.296,0.437,0.097,0.304,0.238
"P08","A algún candidato del kirchnerismo",0.011,0.312,0.611,0,0.146,0.582,0.356,0.41
"P09","A Alberto Fernández",0.222,0.077,0.044,0.112,0,0.102,0,0.033
"P09","A Sergio Massa",0.136,0.162,0.131,0.084,0.113,0,0.105,0.164
"P09","A algún candidato del peronismo",0.539,0.276,0.009,0.296,0.389,0.07,0.31,0.195
"P09","A Cristina Fernández de Kirchner",0.103,0.485,0.816,0.508,0.498,0.828,0.585,0.608
"P10","A Horacio Rodriguez Larreta",0.197,0.243,0,0.23,0.213,1,0.204,0.137
"P10","A Mauricio Macri",0.287,0.371,0.401,0.444,0.137,0,0.373,0.198
"P10","A Patricia Bullrich",0.441,0.329,0.273,0.297,0.252,0,0.423,0.482
"P10","A Facundo Manes",0.032,0.052,0.179,0,0.175,0,0,0.073
"P10","A Gerardo Morales",0.043,0.005,0.147,0.029,0.223,0,0,0.11
"P11","A Juntos por el Cambio",0.644,0.132,0.023,0.084,0.15,0.025,0.116,0.13
"P11","Al Frente de Todos",0.062,0.145,0.747,0.012,0.042,0.062,0.043,0.035
"P11","A Hacemos por Córdoba",0.1,0.582,0.051,0.17,0.068,0.031,0.199,0.198
"P11","A los liberales libertarios de Milei",0.08,0.029,0.07,0.665,0.07,0.109,0.023,0.056
"P11","A Encuentro Vecinal Córdoba",0.021,0.007,0.007,0.007,0.554,0.022,0.018,0.033
"P11","Al Frente de Izquierda",0.015,0.013,0.012,0.05,0.03,0.679,0.162,0.088
"P11","No sabe",0.078,0.092,0.09,0.012,0.086,0.072,0.439,0.46
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.63,0.529,0.759,0.604,0.839,0,0.827,0.629
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.331,0.112,0.122,0.333,0.032,0.619,0.048,0.181
"P12","No sabe",0.039,0.359,0.119,0.063,0.129,0.381,0.125,0.19
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.669,0.089,0.017,0.139,0.19,0.028,0.174,0.18
"P13","A Martín Llaryora por Hacemos por Córdoba",0.11,0.863,0.143,0.02,0.063,0.054,0.375,0.195
"P13","Al candidato del Frente de Todos",0.016,0.014,0.787,0.013,0,0.069,0.034,0.012
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.061,0.01,0.005,0.746,0.019,0.059,0.014,0.007
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.03,0.002,0.006,0.024,0.625,0.009,0.009,0.016
"P13","Al candidato del Frente de Izquierda",0.007,0.003,0,0,0.08,0.727,0.009,0
"P13","Votaría en blanco",0.035,0.003,0.008,0.034,0.007,0.034,0.262,0.035
"P13","No sabe",0.072,0.016,0.034,0.024,0.016,0.02,0.123,0.555
"P15","A Luis Juez por Juntos por el Cambio",0.729,0.111,0.026,0.122,0.076,0.036,0.047,0.078
"P15","A Martín Llaryora por Hacemos por Córdoba",0.164,0.845,0.148,0.032,0.104,0.087,0.359,0.254
"P15","Al candidato del Frente de Todos",0.006,0.013,0.772,0.002,0,0.042,0.058,0
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.033,0.007,0.013,0.796,0.007,0,0.09,0.003
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.022,0.002,0.009,0.014,0.696,0.009,0.016,0.03
"P15","Al candidato del Frente de Izquierda",0.004,0.001,0,0.006,0.085,0.796,0.009,0.007
"P15","Votaría en blanco",0.007,0.002,0.01,0.004,0.016,0.019,0.323,0.038
"P15","No sabe",0.035,0.019,0.022,0.024,0.016,0.011,0.098,0.59
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.757,0.091,0.004,0.133,0.21,0.022,0.033,0.16
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.076,0.86,0.038,0.016,0.015,0,0.055,0.044
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.008,0.008,0.934,0.016,0,0.048,0.012,0.004
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.051,0.012,0.008,0.817,0.038,0.063,0,0
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.018,0.012,0.003,0.003,0.708,0.01,0,0.012
