"var","categoria","A Juntos por el Cambio","Al Frente de Todos","A Hacemos por Córdoba","A los liberales libertarios de Milei","A Encuentro Vecinal Córdoba","Al Frente de Izquierda","No sabe"
"P21","No sabe",0.007,0.004,0.018,0.087,0.067,0.029,0.124
"P22","Lo votaría",0.177,0.363,0.622,0.081,0.068,0.053,0.228
"P22","Puede que lo vote",0.139,0.258,0.17,0.272,0.181,0.446,0.293
"P22","Nunca lo votaría",0.677,0.375,0.191,0.629,0.708,0.48,0.359
"P22","No sabe",0.007,0.004,0.017,0.018,0.043,0.021,0.12
"P23","Lo votaría",0.524,0.194,0.133,0.205,0.209,0.093,0.26
"P23","Puede que lo vote",0.246,0.121,0.147,0.213,0.124,0.197,0.17
"P23","Nunca lo votaría",0.216,0.675,0.696,0.533,0.638,0.689,0.437
"P23","No sabe",0.014,0.01,0.024,0.049,0.029,0.021,0.133
"P24","Lo votaría",0.077,0.358,0.096,0.039,0.031,0.048,0.053
"P24","Puede que lo vote",0.096,0.227,0.193,0.112,0.107,0.222,0.16
"P24","Nunca lo votaría",0.823,0.411,0.696,0.843,0.851,0.714,0.745
"P24","No sabe",0.004,0.004,0.015,0.006,0.011,0.016,0.042
"P25","Muy buena",0.456,0.132,0.139,0.197,0.114,0.005,0.17
"P25","Buena",0.207,0.122,0.14,0.211,0.139,0.21,0.171
"P25","Ni buena ni mala",0.272,0.227,0.362,0.336,0.418,0.402,0.25
"P25","Mala",0.039,0.176,0.138,0.121,0.241,0.166,0.125
"P25","Muy mala",0.006,0.329,0.18,0.096,0.073,0.173,0.168
"P25","No sabe",0.02,0.014,0.041,0.039,0.015,0.044,0.116
"P26","Muy buena",0.415,0.079,0.072,0.189,0.174,0.028,0.194
"P26","Buena",0.286,0.153,0.116,0.165,0.111,0.216,0.122
"P26","Ni buena ni mala",0.173,0.119,0.173,0.285,0.177,0.136,0.214
"P26","Mala",0.078,0.127,0.261,0.219,0.401,0.186,0.203
"P26","Muy mala",0.039,0.514,0.349,0.136,0.137,0.322,0.224
"P26","No sabe",0.009,0.008,0.029,0.006,0,0.112,0.043
"P27","Muy buena",0.11,0.245,0.49,0.118,0.094,0.118,0.102
"P27","Buena",0.163,0.281,0.217,0.153,0.12,0.188,0.269
"P27","Ni buena ni mala",0.296,0.202,0.124,0.259,0.458,0.2,0.263
"P27","Mala",0.261,0.145,0.08,0.296,0.163,0.126,0.216
"P27","Muy mala",0.162,0.123,0.061,0.164,0.158,0.258,0.11
"P27","No sabe",0.008,0.004,0.028,0.01,0.007,0.11,0.04
"P28","Muy buena",0.151,0.115,0.102,0.14,0.436,0.116,0.057
"P28","Buena",0.176,0.131,0.105,0.103,0.177,0.147,0.136
"P28","Ni buena ni mala",0.411,0.278,0.423,0.282,0.334,0.229,0.321
"P28","Mala",0.084,0.141,0.086,0.179,0.039,0.138,0.131
"P28","Muy mala",0.098,0.249,0.159,0.138,0,0.278,0.102
"P28","No sabe",0.08,0.086,0.125,0.158,0.014,0.092,0.253
"P29","Muy buena",0.04,0.108,0.03,0.023,0.037,0.111,0.006
"P29","Buena",0.024,0.313,0.189,0.048,0.04,0.14,0.063
"P29","Ni buena ni mala",0.077,0.242,0.207,0.129,0.289,0.14,0.142
"P29","Mala",0.13,0.116,0.225,0.189,0.173,0.328,0.157
"P29","Muy mala",0.707,0.201,0.303,0.572,0.461,0.264,0.545
"P29","No sabe",0.022,0.02,0.046,0.039,0,0.017,0.087
"P30","Muy buena",0.038,0.57,0.232,0.041,0.071,0.09,0.077
"P30","Buena",0.004,0.092,0.157,0.038,0,0.182,0.034
"P30","Ni buena ni mala",0.04,0.066,0.083,0.069,0.15,0.095,0.137
"P30","Mala",0.091,0.098,0.139,0.169,0.153,0.139,0.131
"P30","Muy mala",0.822,0.161,0.379,0.68,0.626,0.482,0.584
"P30","No sabe",0.005,0.013,0.01,0.003,0,0.012,0.037
"P31","Muy buena",0.402,0.074,0.084,0.104,0.074,0.024,0.039
"P31","Buena",0.258,0.171,0.137,0.18,0.096,0.187,0.189
"P31","Ni buena ni mala",0.138,0.076,0.142,0.294,0.204,0.066,0.15
"P31","Mala",0.064,0.107,0.235,0.172,0.261,0.103,0.19
"P31","Muy mala",0.135,0.569,0.39,0.247,0.365,0.576,0.365
"P31","No sabe",0.003,0.003,0.012,0.003,0,0.044,0.067
"P32","Muy buena",0.187,0.087,0.038,0.013,0.168,0.024,0.057
"P32","Buena",0.364,0.135,0.129,0.136,0.1,0.111,0.127
"P32","Ni buena ni mala",0.278,0.145,0.303,0.259,0.29,0.211,0.317
"P32","Mala",0.093,0.127,0.211,0.21,0.108,0.139,0.114
