"var","categoria","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo","A Luis Juez con el apoyo de Horacio Rodríguez Larreta","No sabe"
"P10","A Horacio Rodriguez Larreta",0.15,0.167,0.327
"P10","A Mauricio Macri",0.348,0.31,0.266
"P10","A Patricia Bullrich",0.414,0.48,0.219
"P10","A Facundo Manes",0.026,0.02,0.015
"P10","A Gerardo Morales",0.062,0.023,0.173
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.83,0.518,0.295
"P13","A Martín Llaryora por Hacemos por Córdoba",0.1,0.134,0.381
"P13","Al candidato del Frente de Todos",0.002,0.052,0.007
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.034,0.076,0.017
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.015,0.026,0.024
"P13","Al candidato del Frente de Izquierda",0.002,0.011,0
"P13","Votaría en blanco",0.006,0.092,0.015
"P13","No sabe",0.011,0.091,0.261
"P15","A Luis Juez por Juntos por el Cambio",0.619,0.901,0.289
"P15","A Martín Llaryora por Hacemos por Córdoba",0.23,0.074,0.51
"P15","Al candidato del Frente de Todos",0.014,0,0.016
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.047,0.002,0
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.038,0.009,0.025
"P15","Al candidato del Frente de Izquierda",0.001,0.003,0
"P15","Votaría en blanco",0.012,0.004,0.025
"P15","No sabe",0.039,0.007,0.135
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.771,0.874,0.327
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.113,0.051,0.518
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.008,0.003,0.009
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.034,0.041,0.024
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.022,0.002,0.023
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0,0.004,0.009
"P17","Votaría en blanco",0.015,0.002,0.015
"P17","No sabe",0.037,0.023,0.075
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.816,0.631,0.254
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.083,0.042,0.533
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.008,0.005,0.019
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.063,0.1,0.009
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.006,0.032,0.015
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0,0.01,0
"P18","Votaría en blanco",0.01,0.06,0.032
"P18","No sabe",0.014,0.12,0.138
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.763,0.916,0.321
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.093,0.025,0.538
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.004,0.002,0.01
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.054,0.006,0.017
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.017,0.02,0.027
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.002,0,0.01
"P19","Votaría en blanco",0.04,0.017,0.018
"P19","No sabe",0.027,0.014,0.059
