"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Llaryora","Juez","De Loredo","Quinteros"
"Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio",0.411,0.399,0.423,0.379,0.368,0.441,0.506,0.322,0.428,0.438,0.068,0.621,0.284,0.189,0.855,0.685,0.448
"Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.307,0.286,0.327,0.448,0.308,0.257,0.239,0.382,0.296,0.281,0.533,0.204,0.27,0.551,0.057,0.094,0.03
"A los candidatos a gobernador e intendente del Frente de Todos",0.097,0.114,0.081,0.103,0.08,0.105,0.125,0.155,0.075,0.089,0.237,0.03,0.075,0.115,0.02,0.015,0.016
"A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.058,0.076,0.041,0.035,0.082,0.054,0.03,0.061,0.055,0.06,0.03,0.052,0.142,0.061,0.039,0.082,0.042
"A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.042,0.044,0.041,0,0.056,0.05,0.036,0.028,0.042,0.049,0.019,0.035,0.086,0.03,0.008,0.05,0.421
"A los candidatos a gobernador e intendente del Frente de Izquierda",0.026,0.028,0.024,0.035,0.035,0.02,0.003,0.007,0.048,0.017,0.063,0.009,0,0.02,0.008,0,0.018
"Votaría en blanco",0.016,0.016,0.014,0,0.015,0.023,0.021,0.012,0.013,0.019,0.023,0.009,0.024,0.006,0.006,0.033,0
"No sabe",0.043,0.037,0.049,0,0.056,0.05,0.04,0.033,0.043,0.047,0.027,0.04,0.119,0.028,0.007,0.041,0.025
