"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"A Alberto Fernández",0.108,0.082,0.132,0.122,0.131,0.091,0.056,0.153,0.09,0.085,0.07,0.138,0.103,0.154,0.043,0.133,0.098,0.08,0.035,0.042
"A Sergio Massa",0.123,0.142,0.106,0.115,0.104,0.083,0.233,0.112,0.165,0.081,0.13,0.117,0.121,0.119,0.18,0.135,0.143,0.063,0.132,0.033
"A algún candidato del peronismo",0.255,0.263,0.247,0.302,0.255,0.273,0.161,0.328,0.272,0.158,0.239,0.268,0.183,0.412,0.423,0.306,0.365,0,0.204,0.05
"A Cristina Fernández de Kirchner",0.514,0.513,0.515,0.461,0.51,0.553,0.55,0.407,0.473,0.676,0.561,0.477,0.593,0.315,0.354,0.426,0.394,0.857,0.629,0.875
