"var","categoria","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba","A los candidatos a gobernador e intendente del Frente de Todos","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba","A los candidatos a gobernador e intendente del Frente de Izquierda","Votaría en blanco","No sabe"
"P07","Del Frente de Todos y el peronismo",0.06,0.559,0.873,0,0.104,0.184,0.165,0.141
"P07","De Cambiemos",0.656,0.192,0.032,0.085,0.301,0.157,0.57,0.464
"P07","De los Liberales libertarios",0.196,0.09,0.01,0.832,0.203,0,0.051,0.103
"P07","De la Izquierda",0.018,0.019,0.016,0.03,0.032,0.526,0,0.036
"P07","Otros",0.03,0.071,0.064,0.053,0.224,0.046,0.079,0.05
"P07","No sabe",0.04,0.069,0.005,0,0.136,0.087,0.135,0.206
"P08","A Alberto Fernández",0.214,0.132,0.08,0,0,0,0,0.246
"P08","A Sergio Massa",0.049,0.168,0.174,0,0.433,0.353,0,0.102
"P08","A algún candidato del peronismo",0.584,0.3,0.049,0,0.101,0.182,0.518,0.44
"P08","A algún candidato del kirchnerismo",0.153,0.4,0.697,0,0.466,0.465,0.482,0.212
"P09","A Alberto Fernández",0.214,0.054,0.03,0,0,0,0,0.166
"P09","A Sergio Massa",0.049,0.104,0.133,0,0.217,0,0,0.102
"P09","A algún candidato del peronismo",0.584,0.231,0.014,0,0.101,0,0.518,0.445
"P09","A Cristina Fernández de Kirchner",0.153,0.611,0.823,0,0.682,1,0.482,0.287
"P10","A Horacio Rodriguez Larreta",0.21,0.252,0,0,0.157,0.281,0.119,0.171
"P10","A Mauricio Macri",0.23,0.316,0.853,0.358,0.175,0.391,0.202,0.219
"P10","A Patricia Bullrich",0.505,0.343,0.147,0.642,0.556,0,0.52,0.525
"P10","A Facundo Manes",0.029,0.069,0,0,0.071,0.328,0.087,0.053
"P10","A Gerardo Morales",0.026,0.02,0,0,0.041,0,0.072,0.032
"P11","A Juntos por el Cambio",0.743,0.091,0.026,0.228,0.263,0.033,0.456,0.305
"P11","Al Frente de Todos",0.056,0.137,0.777,0,0.025,0.177,0,0.065
"P11","A Hacemos por Córdoba",0.077,0.66,0.045,0.098,0.033,0.028,0.078,0.219
"P11","A los liberales libertarios de Milei",0.062,0.04,0.044,0.536,0.118,0.083,0.084,0.054
"P11","A Encuentro Vecinal Córdoba",0.013,0.01,0,0.02,0.348,0.039,0,0.032
"P11","Al Frente de Izquierda",0.006,0.011,0.085,0,0.025,0.553,0.11,0.017
"P11","No sabe",0.043,0.051,0.023,0.118,0.188,0.087,0.272,0.308
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.69,0.236,0.734,0.563,0.342,1,0.229,0.334
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.28,0.119,0.266,0.437,0.658,0,0.684,0.625
"P12","No sabe",0.03,0.645,0,0,0,0,0.087,0.041
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.826,0.058,0.029,0.201,0.141,0.119,0.219,0.276
"P13","A Martín Llaryora por Hacemos por Córdoba",0.054,0.883,0.065,0.118,0.098,0.038,0,0.207
"P13","Al candidato del Frente de Todos",0.015,0.022,0.861,0.024,0.049,0.055,0,0.028
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.032,0.007,0.013,0.61,0,0,0,0.022
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.02,0.004,0.005,0.009,0.517,0,0.033,0.03
"P13","Al candidato del Frente de Izquierda",0.011,0.007,0.014,0,0.015,0.68,0,0.008
"P13","Votaría en blanco",0.012,0.002,0,0.038,0.119,0.087,0.474,0.028
"P13","No sabe",0.03,0.017,0.013,0,0.061,0.021,0.274,0.401
"P15","A Luis Juez por Juntos por el Cambio",0.722,0.109,0.091,0.241,0.306,0.186,0.377,0.336
"P15","A Martín Llaryora por Hacemos por Córdoba",0.133,0.813,0.12,0.154,0.115,0.037,0,0.252
"P15","Al candidato del Frente de Todos",0.011,0.028,0.72,0.007,0.025,0.055,0,0
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.045,0.013,0.039,0.589,0,0,0.051,0.022
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.042,0.006,0,0,0.485,0,0.033,0.041
"P15","Al candidato del Frente de Izquierda",0.007,0.01,0.014,0,0,0.635,0,0.017
"P15","Votaría en blanco",0.011,0.005,0.006,0.009,0.011,0.087,0.239,0.066
"P15","No sabe",0.029,0.016,0.01,0,0.058,0,0.3,0.266
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.856,0.069,0.096,0.239,0.348,0.223,0.377,0.327
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.063,0.77,0.075,0.053,0.125,0.038,0,0.194
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.014,0.056,0.774,0,0.025,0.055,0,0
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.026,0.017,0.025,0.559,0.016,0,0.052,0.022
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.012,0.014,0.005,0.018,0.398,0,0.033,0.032
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.005,0.015,0.014,0,0,0.663,0.054,0.008
"P17","Votaría en blanco",0.004,0.021,0,0.095,0,0.021,0.372,0.045
"P17","No sabe",0.02,0.038,0.011,0.036,0.088,0,0.112,0.372
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.854,0.062,0.023,0.092,0.225,0.118,0.241,0.172
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.027,0.79,0.129,0.051,0.084,0.038,0,0.157
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.018,0.059,0.802,0,0.025,0.055,0,0.01
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.055,0.009,0,0.708,0,0.039,0.055,0.008
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.01,0.012,0.008,0.009,0.553,0,0.033,0.027
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.005,0.024,0.021,0,0.015,0.708,0.054,0.022
"P18","Votaría en blanco",0.01,0.017,0,0.025,0.019,0.021,0.501,0.059
"P18","No sabe",0.021,0.027,0.017,0.115,0.079,0.021,0.116,0.545
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.826,0.05,0.032,0.275,0.294,0.14,0.322,0.317
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.035,0.815,0.142,0,0.068,0.066,0.055,0.078
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.013,0.052,0.774,0,0.049,0,0.054,0
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.066,0.015,0,0.628,0.041,0,0,0.036
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.014,0.011,0.013,0,0.491,0,0.033,0.014
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.002,0.003,0.039,0,0.025,0.773,0.054,0.008
