"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P21","Nunca lo votaría",0.639,0.549,0.418,0.023
"P21","No sabe",0,0,0,0.737
"P22","Lo votaría",0.4,0.423,0.263,0.142
"P22","Puede que lo vote",0.298,0.306,0.187,0.058
"P22","Nunca lo votaría",0.302,0.271,0.55,0.063
"P22","No sabe",0,0,0,0.737
"P23","Lo votaría",0.46,0.134,0.294,0.108
"P23","Puede que lo vote",0.052,0.297,0.192,0
"P23","Nunca lo votaría",0.488,0.569,0.514,0.058
"P23","No sabe",0,0,0,0.834
"P25","Muy buena",0.255,0.184,0.246,0.314
"P25","Buena",0.056,0.24,0.179,0
"P25","Ni buena ni mala",0.201,0.187,0.352,0
"P25","Mala",0.191,0.17,0.091,0.099
"P25","Muy mala",0.284,0.173,0.101,0
"P25","No sabe",0.013,0.046,0.031,0.587
"P26","Muy buena",0.205,0.153,0.215,0.21
"P26","Buena",0.091,0.17,0.204,0.103
"P26","Ni buena ni mala",0.098,0.17,0.197,0
"P26","Mala",0.131,0.149,0.191,0.1
"P26","Muy mala",0.429,0.344,0.18,0
"P26","No sabe",0.046,0.014,0.013,0.587
"P27","Muy buena",0.304,0.234,0.216,0.271
"P27","Buena",0.291,0.281,0.172,0.102
"P27","Ni buena ni mala",0.153,0.232,0.246,0
"P27","Mala",0.108,0.147,0.209,0.04
"P27","Muy mala",0.131,0.066,0.146,0
"P27","No sabe",0.013,0.04,0.011,0.587
"P28","Muy buena",0.09,0.146,0.135,0.164
"P28","Buena",0.092,0.177,0.136,0.211
"P28","Ni buena ni mala",0.28,0.302,0.39,0
"P28","Mala",0.148,0.084,0.109,0.039
"P28","Muy mala",0.285,0.16,0.123,0
"P28","No sabe",0.105,0.131,0.107,0.586
"P29","Muy buena",0.141,0.04,0.03,0.165
"P29","Buena",0.229,0.241,0.079,0.151
"P29","Ni buena ni mala",0.184,0.251,0.135,0.06
"P29","Mala",0.139,0.196,0.176,0.039
"P29","Muy mala",0.265,0.241,0.552,0
"P29","No sabe",0.042,0.031,0.028,0.585
"P30","Muy buena",0.547,0.338,0.079,0.061
"P30","Buena",0.06,0.13,0.061,0.207
"P30","Ni buena ni mala",0.101,0.071,0.069,0.107
"P30","Mala",0.027,0.139,0.135,0.039
"P30","Muy mala",0.265,0.317,0.65,0
"P30","No sabe",0,0.005,0.006,0.586
"P31","Muy buena",0.116,0.104,0.2,0.061
"P31","Buena",0.049,0.162,0.217,0.208
"P31","Ni buena ni mala",0.121,0.14,0.157,0.06
"P31","Mala",0.081,0.1,0.169,0.086
"P31","Muy mala",0.629,0.494,0.247,0
"P31","No sabe",0.004,0,0.01,0.585
