"var","categoria","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba","A los candidatos  a gobernador y vicegobernador del Frente de Todos","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba","A los candidatos a gobernador y vicegobernador del Frente de Izquierda","Votaría en blanco","No sabe"
"P07","Del Frente de Todos y el peronismo",0.046,0.468,0.905,0.032,0.058,0.237,0.207,0.101
"P07","De Cambiemos",0.638,0.226,0.04,0.116,0.337,0.051,0.277,0.215
"P07","De los Liberales libertarios",0.192,0.096,0.014,0.71,0.154,0,0.186,0.093
"P07","De la Izquierda",0.014,0.016,0.017,0.026,0.067,0.559,0.007,0.012
"P07","Otros",0.038,0.088,0.004,0.059,0.35,0.098,0.084,0.122
"P07","No sabe",0.072,0.106,0.02,0.057,0.034,0.055,0.239,0.457
"P08","A Alberto Fernández",0.116,0.18,0.095,0.333,0,0.072,0.139,0.046
"P08","A Sergio Massa",0.303,0.182,0.206,0.153,0.52,0.339,0.187,0.25
"P08","A algún candidato del peronismo",0.581,0.331,0.067,0.292,0.216,0.05,0.342,0.398
"P08","A algún candidato del kirchnerismo",0,0.307,0.632,0.222,0.264,0.539,0.332,0.306
"P09","A Alberto Fernández",0.313,0.051,0.065,0.333,0,0.072,0,0
"P09","A Sergio Massa",0.087,0.148,0.157,0.153,0.304,0,0,0.201
"P09","A algún candidato del peronismo",0.562,0.252,0.014,0.292,0.216,0,0.481,0.444
"P09","A Cristina Fernández de Kirchner",0.038,0.549,0.764,0.222,0.48,0.928,0.519,0.355
"P10","A Horacio Rodriguez Larreta",0.185,0.331,0.148,0.045,0.156,0.733,0.24,0.183
"P10","A Mauricio Macri",0.291,0.392,0.781,0.557,0.149,0.133,0.137,0.215
"P10","A Patricia Bullrich",0.474,0.229,0.071,0.365,0.308,0,0.555,0.408
"P10","A Facundo Manes",0.023,0.045,0,0,0.104,0,0.068,0.114
"P10","A Gerardo Morales",0.027,0.003,0,0.033,0.283,0.134,0,0.08
"P11","A Juntos por el Cambio",0.681,0.115,0.017,0.088,0.147,0.035,0.284,0.091
"P11","Al Frente de Todos",0.059,0.147,0.709,0.006,0.028,0.086,0.084,0.025
"P11","A Hacemos por Córdoba",0.065,0.598,0.111,0.174,0.162,0.027,0.181,0.189
"P11","A los liberales libertarios de Milei",0.09,0.031,0.081,0.67,0.078,0.035,0.05,0.051
"P11","A Encuentro Vecinal Córdoba",0.022,0.01,0.004,0.006,0.513,0.031,0.02,0.033
"P11","Al Frente de Izquierda",0.007,0.036,0.012,0.031,0.02,0.742,0.06,0.109
"P11","No sabe",0.076,0.063,0.066,0.025,0.052,0.044,0.321,0.502
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.599,0.486,0.601,0.91,0.534,0.583,0.781,0.625
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.361,0.067,0.164,0.045,0.328,0,0.165,0.16
