"var","categoria","A Rodrigo De Loredo por Juntos por el Cambio","A Martín Llaryora por Hacemos por Córdoba","Al candidato del Frente de Todos","Al candidato de los liberales libertarios con el apoyo de Javier Milei","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba","Al candidato del Frente de Izquierda","Votaría en blanco","No sabe"
"P07","Del Frente de Todos y el peronismo",0.052,0.377,0.826,0.027,0.043,0.241,0.1,0.083
"P07","De Cambiemos",0.654,0.256,0.039,0.097,0.214,0.128,0.319,0.244
"P07","De los Liberales libertarios",0.208,0.108,0.019,0.692,0.206,0.008,0.086,0.057
"P07","De la Izquierda",0.009,0.026,0.051,0.043,0.057,0.524,0.057,0.029
"P07","Otros",0.03,0.086,0.05,0.086,0.328,0.063,0.103,0.11
"P07","No sabe",0.047,0.147,0.015,0.055,0.152,0.036,0.335,0.477
"P08","A Alberto Fernández",0.379,0.135,0.086,0.322,0.107,0.212,0.151,0.182
"P08","A Sergio Massa",0.081,0.231,0.187,0.107,0.298,0.167,0.143,0.117
"P08","A algún candidato del peronismo",0.517,0.329,0.109,0.513,0.449,0.069,0.299,0.209
"P08","A algún candidato del kirchnerismo",0.023,0.305,0.618,0.058,0.146,0.552,0.407,0.492
"P09","A Alberto Fernández",0.14,0.087,0.041,0.289,0,0.138,0,0.036
"P09","A Sergio Massa",0.044,0.16,0.148,0,0.191,0.045,0,0.091
"P09","A algún candidato del peronismo",0.509,0.26,0.022,0.513,0.449,0.073,0.442,0.261
"P09","A Cristina Fernández de Kirchner",0.307,0.493,0.789,0.198,0.36,0.744,0.558,0.612
"P10","A Horacio Rodriguez Larreta",0.188,0.244,0.06,0.08,0.085,0.288,0.394,0.169
"P10","A Mauricio Macri",0.294,0.387,0.558,0.487,0.127,0,0.177,0.405
"P10","A Patricia Bullrich",0.424,0.3,0.27,0.417,0.472,0.04,0.346,0.392
"P10","A Facundo Manes",0.034,0.034,0.112,0.016,0.295,0.036,0.052,0
"P10","A Gerardo Morales",0.06,0.035,0,0,0.021,0.636,0.031,0.034
"P11","A Juntos por el Cambio",0.68,0.117,0.058,0.107,0.14,0.049,0.313,0.188
"P11","Al Frente de Todos",0.062,0.14,0.726,0.003,0.034,0.019,0.057,0.024
"P11","A Hacemos por Córdoba",0.098,0.563,0.036,0.129,0.093,0,0.01,0.067
"P11","A los liberales libertarios de Milei",0.066,0.041,0.069,0.712,0.16,0.032,0.052,0.043
"P11","A Encuentro Vecinal Córdoba",0.015,0.021,0.011,0.002,0.482,0.078,0,0.027
"P11","Al Frente de Izquierda",0.007,0.023,0.041,0.023,0.004,0.761,0.071,0.092
"P11","No sabe",0.072,0.095,0.059,0.024,0.087,0.061,0.497,0.559
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.723,0.414,0.05,0.452,0.449,0.297,0.107,0.104
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.227,0.278,0.904,0.503,0.407,0.703,0.841,0.422
"P12","No sabe",0.05,0.308,0.046,0.045,0.144,0,0.052,0.474
"P15","A Luis Juez por Juntos por el Cambio",0.65,0.111,0.093,0.182,0.197,0.077,0.482,0.25
"P15","A Martín Llaryora por Hacemos por Córdoba",0.178,0.854,0.063,0.042,0.042,0.017,0,0.06
"P15","Al candidato del Frente de Todos",0.009,0.011,0.8,0,0.005,0,0.039,0.012
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.063,0.006,0.02,0.734,0.055,0,0.039,0.003
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.035,0.001,0,0.009,0.667,0,0.009,0.014
"P15","Al candidato del Frente de Izquierda",0.003,0,0.003,0.015,0.005,0.906,0.014,0.009
"P15","Votaría en blanco",0.016,0.003,0.012,0.012,0,0,0.335,0.021
"P15","No sabe",0.046,0.014,0.009,0.006,0.029,0,0.082,0.631
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.765,0.117,0.068,0.187,0.257,0.083,0.41,0.282
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.082,0.738,0.047,0.024,0.016,0.024,0.029,0.05
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.005,0.038,0.817,0.004,0.014,0,0.022,0.033
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.052,0.007,0.018,0.753,0.068,0,0.128,0.031
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.024,0.007,0,0.006,0.595,0.105,0.009,0.007
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.003,0.005,0.026,0.016,0.007,0.779,0.035,0.007
"P17","Votaría en blanco",0.017,0.035,0.012,0.004,0.007,0.009,0.264,0.041
