"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.497,0.448,0.521,0.371,0.421,0.453
"P05","Bastante",0.272,0.368,0.249,0.125,0.355,0.319
"P05","Poco",0.194,0.127,0.174,0.103,0.05,0.025
"P05","Nada",0.018,0.048,0.056,0.383,0.102,0.104
"P05","No sabe",0.019,0.009,0,0.018,0.072,0.099
"P06","Siempre",0.197,0.241,0.168,0.034,0.242,0.107
"P06","Casi siempre",0.317,0.392,0.243,0.445,0.26,0.249
"P06","Casi nunca",0.383,0.263,0.4,0.414,0.25,0.158
"P06","Nunca, pero esta es una excepción",0.103,0.104,0.189,0.107,0.248,0.486
"P10","Unión por la Patria",0.768,0.133,0.103,0.035,0.034,0
"P10","Juntos por el Cambio",0.052,0.69,0.068,0.009,0.166,0.237
"P10","De los Liberales libertarios",0.031,0.097,0.72,0,0.213,0.345
"P10","De la Izquierda",0.013,0.017,0.026,0.433,0.239,0
"P10","Hacemos por nuestro país",0.015,0,0.028,0.052,0.338,0
"P10","En blanco",0.026,0.017,0.005,0,0.01,0.206
"P10","No sabe",0.095,0.046,0.05,0.471,0,0.212
"P26","Totalmente seguro.",0.763,0.621,0.681,0.414,0.379,0.584
"P26","Bastante seguro",0.127,0.325,0.211,0.275,0.352,0.204
"P26","Algo seguro",0.051,0.046,0.097,0.249,0.032,0.032
"P26","Para nada seguro",0.059,0.008,0.011,0.062,0.237,0.18
"P27","Tiene Decidido que va a ir a votar.",0.959,0.892,0.894,0.686,0.804,0.794
"P27","Tiene dudas sobre si va a ir a  votar",0.035,0.094,0.079,0.259,0.196,0.19
"P27","Tiene Decidido que no va a ir a votar",0.006,0.014,0.027,0.055,0,0.016
"P28","Si",0.528,0.49,0.304,0.161,0.294,0.671
"P28","No",0.472,0.51,0.696,0.839,0.706,0.329
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.641,0.038,0.139,0.161,0.126,0.048
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.084,0.735,0.142,0.343,0.335,0.45
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.185,0.157,0.71,0.292,0.413,0.292
"P17_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.075,0,0.002,0.189,0,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.047,0.007,0,0.126,0
"P17_imputada","En blanco",0.015,0.023,0,0.015,0,0.21
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.621,0.029,0.161,0.202,0.062,0.369
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.199,0.69,0.277,0.323,0.077,0.584
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.117,0.207,0.556,0.048,0.377,0
"P20_imputada","El candidato a gobernador de la Izquierda",0.042,0.032,0,0.411,0.269,0.025
"P20_imputada","En blanco",0.021,0.042,0.006,0.016,0.215,0.022
"P23_imputada","Julio Zamora a intendente por Unión por la Patria.",0.738,0.403,0.363,0.733,0.283,0.458
"P23_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.131,0.523,0.436,0.078,0.277,0.037
"P23_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.075,0.048,0.181,0,0,0.194
"P23_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.049,0.014,0.01,0.189,0.269,0
"P23_imputada","En blanco",0.007,0.012,0.01,0,0.171,0.311
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.877,0.016,0.069,0.107,0.097,0.036
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.026,0.867,0.072,0.268,0.284,0.45
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.062,0.079,0.855,0.285,0.385,0.231
"PRESIDENTE_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.029,0,0.001,0.33,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.022,0.003,0,0.234,0
"PRESIDENTE_imputada","En blanco",0.006,0.016,0,0.01,0,0.283
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.884,0.012,0.074,0.124,0.046,0.226
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.062,0.854,0.154,0.258,0.061,0.525
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.036,0.093,0.769,0.044,0.315,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.011,0.021,0,0.563,0.248,0.015
"GOBERNADOR_imputada","En blanco",0.007,0.02,0.003,0.011,0.33,0.234
"INTENDENTE_imputada","Julio Zamora a intendente por Unión por la Patria.",0.93,0.174,0.172,0.607,0.251,0.431
"INTENDENTE_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.035,0.792,0.225,0.065,0.205,0.025
"INTENDENTE_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.021,0.019,0.592,0,0,0.164
"INTENDENTE_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.012,0.009,0.006,0.328,0.249,0
"INTENDENTE_imputada","En blanco",0.002,0.006,0.005,0,0.295,0.38
