"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Totalmente seguro.",0.675,0.708,0.641,0.637,0.627,0.73,0.736,0.59,0.672,0.759,0.668,0.723,0.732,0.724,0.734,0.704,0.64,0.666
"Bastante seguro",0.219,0.195,0.244,0.26,0.229,0.185,0.21,0.225,0.261,0.163,0.231,0.214,0.223,0.169,0.167,0.199,0.191,0.246
"Algo seguro",0.066,0.051,0.082,0.071,0.079,0.063,0.036,0.095,0.054,0.054,0.081,0.048,0.045,0.046,0.052,0.064,0.07,0.066
"Para nada seguro",0.04,0.046,0.033,0.032,0.065,0.022,0.018,0.09,0.013,0.024,0.02,0.015,0,0.061,0.047,0.033,0.099,0.022
