"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Julio Zamora a intendente por Unión por la Patria.",0.469,0.421,0.52,0.412,0.47,0.518,0.448,0.46,0.496,0.445,0.69,0.636,0.018,0.038,0.112,0.528,0.494,0.411
"Segundo Cernadas a intendente por Juntos por el Cambio",0.312,0.31,0.313,0.218,0.316,0.323,0.382,0.316,0.292,0.332,0.199,0.251,0.83,0.799,0.113,0.265,0.284,0.361
"Claudio Baumgarten a intendente por la Libertad Avanza",0.172,0.223,0.118,0.35,0.152,0.116,0.122,0.171,0.166,0.18,0.082,0.086,0.138,0.098,0.76,0.172,0.136,0.186
"Paula Akerfeld a intendenta por el Frente de Izquierda",0.027,0.025,0.028,0,0.028,0.031,0.045,0.039,0.02,0.022,0.013,0.024,0,0.062,0.013,0.026,0.06,0.014
"En blanco",0.02,0.021,0.021,0.02,0.034,0.012,0.003,0.014,0.026,0.021,0.016,0.003,0.014,0.003,0.002,0.009,0.026,0.028
