"var","categoria","Julio Zamora a intendente por Unión por la Patria.","Segundo Cernadas a intendente por Juntos por el Cambio","Claudio Baumgarten a intendente por la Libertad Avanza","Paula Akerfeld a intendenta por el Frente de Izquierda","En blanco"
"P05","Mucho",0.476,0.451,0.581,0.671,0.259
"P05","Bastante",0.269,0.359,0.243,0.15,0.49
"P05","Poco",0.196,0.14,0.106,0.096,0.075
"P05","Nada",0.039,0.048,0.064,0.083,0
"P05","No sabe",0.02,0.002,0.006,0,0.176
"P06","Siempre",0.201,0.205,0.151,0.303,0.188
"P06","Casi siempre",0.316,0.366,0.307,0.239,0.376
"P06","Casi nunca",0.353,0.329,0.35,0.375,0.252
"P06","Nunca, pero esta es una excepción",0.13,0.1,0.192,0.083,0.184
"P10","Unión por la Patria",0.612,0.117,0.146,0.221,0.034
"P10","Juntos por el Cambio",0.108,0.611,0.067,0.114,0.26
"P10","De los Liberales libertarios",0.096,0.223,0.688,0.016,0.203
"P10","De la Izquierda",0.036,0.015,0.034,0.285,0.07
"P10","Hacemos por nuestro país",0.017,0.003,0.043,0.352,0
"P10","En blanco",0.029,0.002,0,0,0.191
"P10","No sabe",0.102,0.029,0.022,0.012,0.242
"P16","Si",0.466,0.491,0.259,0.784,0.7
"P16","No",0.534,0.509,0.741,0.216,0.3
"P26","Totalmente seguro.",0.684,0.638,0.766,0.663,0.311
"P26","Bastante seguro",0.189,0.288,0.172,0.049,0.484
"P26","Algo seguro",0.076,0.061,0.055,0.051,0.015
"P26","Para nada seguro",0.051,0.013,0.007,0.237,0.19
"P27","Tiene Decidido que va a ir a votar.",0.926,0.902,0.889,0.681,0.954
"P27","Tiene dudas sobre si va a ir a  votar",0.059,0.094,0.088,0.235,0.028
"P27","Tiene Decidido que no va a ir a votar",0.015,0.004,0.023,0.084,0.018
"P28","Si",0.495,0.466,0.261,0.308,0.466
"P28","No",0.505,0.534,0.739,0.692,0.534
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.722,0.041,0.044,0.16,0.034
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.108,0.74,0.033,0.104,0.081
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.096,0.189,0.905,0.062,0.066
"P13_imputada","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.039,0.006,0,0.369,0
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.018,0.022,0,0.305,0.469
"P13_imputada","En blanco",0.017,0.002,0.018,0,0.35
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.344,0.094,0.184,0.546,0.062
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.256,0.544,0.32,0.088,0.515
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.288,0.342,0.496,0.344,0.055
"P17_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.059,0.002,0,0.022,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.04,0.013,0,0,0.022
"P17_imputada","En blanco",0.013,0.005,0,0,0.346
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.361,0.059,0.175,0.415,0.389
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.341,0.523,0.422,0.083,0.177
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.192,0.4,0.403,0.088,0.039
"P20_imputada","El candidato a gobernador de la Izquierda",0.062,0.007,0,0.414,0
"P20_imputada","En blanco",0.044,0.011,0,0,0.395
"P23_imputada","Julio Zamora a intendente por Unión por la Patria.",1,0,0,0,0
"P23_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0,1,0,0,0
"P23_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0,0,1,0,0
"P23_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0,0,0,1,0
"P23_imputada","En blanco",0,0,0,0,1
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.697,0.044,0.042,0.361,0.034
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.117,0.78,0.079,0.104,0.34
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.132,0.168,0.879,0.303,0.04
"PRESIDENTE_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.029,0.001,0,0.232,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.018,0.005,0,0,0.236
"PRESIDENTE_imputada","En blanco",0.007,0.002,0,0,0.35
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.703,0.025,0.039,0.275,0.197
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.158,0.78,0.108,0.071,0.121
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.088,0.188,0.853,0.104,0.024
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.03,0.003,0,0.55,0
"GOBERNADOR_imputada","En blanco",0.021,0.004,0,0,0.658
