"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.509,0.466,0.538,0.42,0.421,0.469,0.175
"P05","Bastante",0.266,0.37,0.251,0.134,0.355,0.295,0.301
"P05","Poco",0.189,0.122,0.166,0.107,0.05,0.026,0.255
"P05","Nada",0.016,0.037,0.045,0.315,0.102,0.108,0.243
"P05","No sabe",0.02,0.005,0,0.024,0.072,0.102,0.026
"P06","Siempre",0.204,0.25,0.173,0.047,0.242,0.111,0.051
"P06","Casi siempre",0.327,0.405,0.252,0.362,0.26,0.257,0.195
"P06","Casi nunca",0.367,0.251,0.393,0.478,0.25,0.129,0.557
"P06","Nunca, pero esta es una excepción",0.102,0.094,0.182,0.113,0.248,0.503,0.197
"P10","Unión por la Patria",0.814,0.133,0.105,0.049,0.034,0,0.068
"P10","Juntos por el Cambio",0.054,0.719,0.069,0.013,0.166,0.24,0.053
"P10","De los Liberales libertarios",0.033,0.095,0.732,0,0.213,0.348,0.038
"P10","De la Izquierda",0.014,0.017,0.024,0.589,0.239,0,0.028
"P10","Hacemos por nuestro país",0.016,0,0.028,0.073,0.338,0,0
"P10","En blanco",0.015,0.018,0.005,0,0.01,0.197,0.092
"P10","No sabe",0.054,0.018,0.037,0.276,0,0.215,0.721
"P16","Si",0.33,0.491,0.531,0.765,0.938,0.871,0.851
"P16","No",0.67,0.509,0.469,0.235,0.062,0.129,0.149
"P17","Sergio Massa a presidente por Unión por la Patria.",0.749,0.034,0.14,0.247,0.126,0.048,0.057
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.037,0.753,0.142,0.075,0.335,0.45,0.18
"P17","Javier Milei a presidente por la Libertad Avanza",0.126,0.125,0.712,0.367,0.413,0.292,0.12
"P17","Myriam Bregman a presidenta por el Frente de Izquierda",0.078,0,0,0.288,0,0,0.005
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.05,0.002,0,0.126,0,0.015
"P17","En blanco",0,0.024,0,0.023,0,0.028,0.046
"P17","No sabe",0.01,0.014,0.004,0,0,0.182,0.577
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.619,0.023,0.164,0.29,0.02,0.076,0
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.127,0.67,0.236,0.107,0.062,0.584,0.338
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.118,0.206,0.541,0.069,0.377,0,0.17
"P20","El candidato a gobernador de la Izquierda",0.046,0.006,0,0.511,0.269,0,0
"P20","En blanco",0.024,0.045,0.006,0.023,0.176,0.022,0
"P20","No sabe",0.066,0.05,0.053,0,0.096,0.318,0.492
"P23","Julio Zamora a intendente por Unión por la Patria.",0.666,0.383,0.362,0.617,0.246,0.458,0.621
"P23","Segundo Cernadas a intendente por Juntos por el Cambio",0.091,0.537,0.412,0.112,0.234,0.037,0.271
"P23","Claudio Baumgarten a intendente por la Libertad Avanza",0.083,0.05,0.186,0,0,0.194,0
"P23","Paula Akerfeld a intendenta por el Frente de Izquierda",0.055,0.015,0.011,0.271,0.27,0,0
"P23","En blanco",0.008,0.013,0.01,0,0.171,0.311,0
"P23","No sabe",0.097,0.002,0.019,0,0.079,0,0.108
"P26","Totalmente seguro.",0.769,0.63,0.689,0.562,0.379,0.577,0.335
"P26","Bastante seguro",0.126,0.321,0.209,0.373,0.352,0.207,0.218
"P26","Algo seguro",0.052,0.044,0.096,0.05,0.032,0.033,0.245
"P26","Para nada seguro",0.053,0.005,0.006,0.015,0.237,0.183,0.202
"P27","Tiene Decidido que va a ir a votar.",0.964,0.894,0.903,0.643,0.804,0.807,0.754
"P27","Tiene dudas sobre si va a ir a  votar",0.031,0.092,0.075,0.283,0.196,0.193,0.192
"P27","Tiene Decidido que no va a ir a votar",0.005,0.014,0.022,0.074,0,0,0.054
"P28","Si",0.536,0.494,0.307,0.221,0.294,0.685,0.228
"P28","No",0.464,0.506,0.693,0.779,0.706,0.315,0.772
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.923,0.014,0.068,0.15,0.097,0.036,0.039
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.01,0.878,0.071,0.064,0.284,0.455,0.128
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.037,0.058,0.858,0.34,0.385,0.234,0.086
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.027,0,0,0.431,0,0,0.004
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.023,0.001,0,0.234,0,0.011
"PRESIDENTE","En blanco",0,0.017,0,0.015,0,0.152,0.044
"PRESIDENTE","No sabe",0.003,0.01,0.002,0,0,0.123,0.688
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.887,0.009,0.075,0.168,0.016,0.053,0
