"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.504,0.447,0.253
"P05","Bastante",0.298,0.142,0.097
"P05","Poco",0.149,0.189,0.422
"P05","Nada",0.035,0.187,0.228
"P05","No sabe",0.014,0.035,0
"P06","Siempre",0.195,0.285,0.15
"P06","Casi siempre",0.341,0.254,0.079
"P06","Casi nunca",0.342,0.367,0.189
"P06","Nunca, pero esta es una excepción",0.122,0.094,0.582
"P10","Unión por la Patria",0.384,0.084,0.348
"P10","Juntos por el Cambio",0.269,0.244,0.265
"P10","De los Liberales libertarios",0.233,0.286,0.032
"P10","De la Izquierda",0.035,0.016,0.146
"P10","Hacemos por nuestro país",0.016,0.076,0
"P10","En blanco",0.015,0.032,0.104
"P10","No sabe",0.048,0.262,0.105
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.38,0.14,0.127
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.286,0.338,0.274
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.246,0.236,0.363
"P13","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.016,0.08,0.112
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.027,0.076,0
"P13","En blanco",0.017,0.047,0
"P13","No sabe",0.028,0.083,0.124
"P16","Si",0.433,0.654,0.793
"P16","No",0.567,0.346,0.207
"P17","Sergio Massa a presidente por Unión por la Patria.",0.243,0.237,0.277
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.357,0.188,0.27
"P17","Javier Milei a presidente por la Libertad Avanza",0.299,0.452,0.453
"P17","Myriam Bregman a presidenta por el Frente de Izquierda",0.032,0,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.028,0.008,0
"P17","En blanco",0.009,0,0
"P17","No sabe",0.032,0.115,0
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.224,0.141,0.025
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.35,0.209,0.724
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.282,0.184,0.251
"P20","El candidato a gobernador de la Izquierda",0.029,0.223,0
"P20","En blanco",0.04,0,0
"P20","No sabe",0.075,0.243,0
"P23","Julio Zamora a intendente por Unión por la Patria.",0.476,0.319,0.55
"P23","Segundo Cernadas a intendente por Juntos por el Cambio",0.348,0.292,0.037
"P23","Claudio Baumgarten a intendente por la Libertad Avanza",0.072,0.23,0.198
"P23","Paula Akerfeld a intendenta por el Frente de Izquierda",0.032,0.117,0.166
"P23","En blanco",0.033,0,0
"P23","No sabe",0.039,0.042,0.049
"P26","Totalmente seguro.",0.729,0.121,0.465
"P26","Bastante seguro",0.193,0.549,0.053
"P26","Algo seguro",0.044,0.217,0.43
"P26","Para nada seguro",0.034,0.113,0.052
"P28","Si",0.476,0.15,0.037
"P28","No",0.524,0.85,0.963
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.37,0.249,0.332
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.315,0.298,0.274
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.254,0.34,0.32
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.021,0,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.013,0.004,0
"PRESIDENTE","En blanco",0.008,0.007,0
"PRESIDENTE","No sabe",0.019,0.102,0.074
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.36,0.185,0.095
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.313,0.338,0.68
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.249,0.146,0.151
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.017,0.152,0
"GOBERNADOR","En blanco",0.023,0.007,0
"GOBERNADOR","No sabe",0.038,0.172,0.074
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria.",0.474,0.321,0.468
"INTENDENTE","Segundo Cernadas a intendente por Juntos por el Cambio",0.309,0.376,0.082
"INTENDENTE","Claudio Baumgarten a intendente por la Libertad Avanza",0.157,0.178,0.198
"INTENDENTE","Paula Akerfeld a intendenta por el Frente de Izquierda",0.019,0.076,0.144
"INTENDENTE","En blanco",0.019,0.006,0
"INTENDENTE","No sabe",0.022,0.043,0.108
"CORTA_PRESIDENTE","Si",0.129,0.442,0.415
"CORTA_PRESIDENTE","No",0.871,0.558,0.585
"CORTA_GOBERNADOR","Si",0.194,0.307,0.44
"CORTA_GOBERNADOR","No",0.806,0.693,0.56
"CORTA_INTENDENTE","Si",0.253,0.465,0.466
"CORTA_INTENDENTE","No",0.747,0.535,0.534
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.393,0.168,0.144
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.293,0.356,0.274
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.247,0.253,0.449
"P13_imputada","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.023,0.1,0.112
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.027,0.076,0
"P13_imputada","En blanco",0.017,0.047,0.021
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.243,0.237,0.277
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.374,0.276,0.27
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.3,0.48,0.453
"P17_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.035,0,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.027,0.007,0
"P17_imputada","En blanco",0.021,0,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.257,0.162,0.025
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.388,0.373,0.724
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.283,0.214,0.251
"P20_imputada","El candidato a gobernador de la Izquierda",0.029,0.251,0
"P20_imputada","En blanco",0.043,0,0
