"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Si",0.185,0.183,0.186,0.254,0.171,0.15,0.198,0.276,0.148,0.142,0.241,0.108,0.111,0.134,0.124,0.168,0.21,0.188
"No",0.815,0.817,0.814,0.746,0.829,0.85,0.802,0.724,0.852,0.858,0.759,0.892,0.889,0.866,0.876,0.832,0.79,0.812
