"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Mucho",0.453,0.499,0.409,0.468,0.473,0.385,0.477,0.486,0.437,0.439,0.482,0.564,0.476,0.373,0.675,0.438,0.45,0.471
"Bastante",0.277,0.294,0.26,0.276,0.259,0.308,0.283,0.167,0.29,0.395,0.292,0.285,0.307,0.366,0.173,0.304,0.277,0.249
"Poco",0.178,0.13,0.224,0.149,0.175,0.217,0.176,0.193,0.199,0.124,0.184,0.134,0.212,0.163,0.049,0.161,0.156,0.205
"Nada",0.058,0.053,0.063,0.06,0.053,0.068,0.052,0.11,0.032,0.036,0.035,0.017,0.005,0.098,0.07,0.067,0.083,0.037
"No sabe",0.034,0.024,0.044,0.047,0.04,0.022,0.012,0.044,0.042,0.006,0.007,0,0,0,0.033,0.03,0.034,0.038
