"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Sergio Massa a presidente por Unión por la Patria.",0.348,0.329,0.367,0.238,0.373,0.345,0.41,0.317,0.366,0.357,0.455,0.678,0.09,0.037,0.015,0.384,0.342,0.319
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.314,0.276,0.352,0.178,0.272,0.41,0.411,0.302,0.303,0.34,0.271,0.224,0.811,0.7,0.072,0.293,0.289,0.344
"Javier Milei a presidente por la Libertad Avanza",0.288,0.356,0.221,0.527,0.304,0.192,0.148,0.328,0.287,0.25,0.217,0.096,0.099,0.255,0.858,0.275,0.289,0.3
"Myriam Bregman a presidenta por el Frente de Izquierda",0.02,0.016,0.024,0,0.03,0.023,0.013,0.021,0.017,0.023,0.021,0.002,0,0,0.053,0.012,0.047,0.016
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.015,0.016,0.014,0.039,0.013,0.008,0.003,0.009,0.018,0.016,0.019,0,0,0.005,0.002,0.023,0.013,0.008
"En blanco",0.015,0.007,0.022,0.018,0.008,0.022,0.015,0.023,0.009,0.014,0.017,0,0,0.003,0,0.013,0.02,0.013
