"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.497,0.347,0.45,0.365,0.429,0.184
"P05","Bastante",0.319,0.376,0.317,0.095,0.166,0.197
"P05","Poco",0.175,0.173,0.2,0.244,0.297,0.247
"P05","Nada",0,0.079,0.033,0.296,0,0.352
"P05","No sabe",0.009,0.025,0,0,0.108,0.02
"P06","Siempre",0.245,0.21,0.167,0.19,0.621,0.097
"P06","Casi siempre",0.33,0.42,0.249,0.287,0.075,0.335
"P06","Casi nunca",0.341,0.302,0.414,0.406,0.141,0.333
"P06","Nunca, pero esta es una excepción",0.084,0.068,0.17,0.117,0.163,0.235
"P10","Unión por la Patria",0.62,0.093,0.154,0.177,0.466,0.154
"P10","Juntos por el Cambio",0.074,0.572,0.175,0.034,0.386,0.145
"P10","De los Liberales libertarios",0.137,0.211,0.546,0,0.02,0.146
"P10","De la Izquierda",0.057,0.024,0.071,0.2,0.025,0
"P10","Hacemos por nuestro país",0.003,0.035,0,0.358,0,0.054
"P10","En blanco",0.022,0.014,0.01,0,0.103,0.016
"P10","No sabe",0.087,0.051,0.044,0.231,0,0.485
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.678,0.086,0.097,0.226,0.165,0.162
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.032,0.575,0.216,0.034,0.405,0.157
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.225,0.198,0.554,0,0.053,0.162
"P13","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.048,0.011,0.008,0.382,0.025,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.006,0.011,0.084,0.358,0.332,0.064
"P13","En blanco",0.011,0.053,0,0,0.02,0.104
