"var","categoria","Si","No"
"P05","Mucho",0.392,0.534
"P05","Bastante",0.287,0.279
"P05","Poco",0.226,0.134
"P05","Nada",0.081,0.039
"P05","No sabe",0.014,0.014
"P06","Siempre",0.187,0.206
"P06","Casi siempre",0.253,0.346
"P06","Casi nunca",0.418,0.32
"P06","Nunca, pero esta es una excepción",0.142,0.128
"P10","Unión por la Patria",0.191,0.43
"P10","Juntos por el Cambio",0.23,0.268
"P10","De los Liberales libertarios",0.306,0.199
"P10","De la Izquierda",0.049,0.027
"P10","Hacemos por nuestro país",0.033,0.02
"P10","En blanco",0.033,0.015
"P10","No sabe",0.158,0.041
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.15,0.447
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.233,0.308
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.322,0.206
"P13","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.037,0.013
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.081,0.003
"P13","En blanco",0.059,0.009
"P13","No sabe",0.118,0.014
"P16","Si",1,0.244
"P16","No",0,0.756
"P17","Sergio Massa a presidente por Unión por la Patria.",0.172,0.366
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.282,0.384
"P17","Javier Milei a presidente por la Libertad Avanza",0.396,0.163
"P17","Myriam Bregman a presidenta por el Frente de Izquierda",0.017,0.045
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.035,0.002
"P17","En blanco",0.018,0.002
"P17","No sabe",0.08,0.038
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.169,0.276
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.315,0.382
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.327,0.197
"P20","El candidato a gobernador de la Izquierda",0.052,0.037
"P20","En blanco",0.044,0.014
"P20","No sabe",0.093,0.094
"P23","Julio Zamora a intendente por Unión por la Patria.",0.498,0.393
"P23","Segundo Cernadas a intendente por Juntos por el Cambio",0.291,0.397
"P23","Claudio Baumgarten a intendente por la Libertad Avanza",0.064,0.141
"P23","Paula Akerfeld a intendenta por el Frente de Izquierda",0.061,0.025
"P23","En blanco",0.032,0.027
"P23","No sabe",0.054,0.017
"P26","Totalmente seguro.",0.501,0.74
"P26","Bastante seguro",0.322,0.181
"P26","Algo seguro",0.12,0.046
"P26","Para nada seguro",0.057,0.033
"P27","Tiene Decidido que va a ir a votar.",0.841,0.931
"P27","Tiene dudas sobre si va a ir a  votar",0.134,0.058
"P27","Tiene Decidido que no va a ir a votar",0.025,0.011
"P28","Si",0.383,0.465
"P28","No",0.617,0.535
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.159,0.437
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.286,0.305
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.395,0.211
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.017,0.02
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.032,0.003
"PRESIDENTE","En blanco",0.025,0.005
"PRESIDENTE","No sabe",0.086,0.019
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.155,0.418
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.318,0.309
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.326,0.21
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.059,0.015
"GOBERNADOR","En blanco",0.044,0.012
"GOBERNADOR","No sabe",0.098,0.036
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria.",0.497,0.446
"INTENDENTE","Segundo Cernadas a intendente por Juntos por el Cambio",0.289,0.309
"INTENDENTE","Claudio Baumgarten a intendente por la Libertad Avanza",0.062,0.206
"INTENDENTE","Paula Akerfeld a intendenta por el Frente de Izquierda",0.063,0.013
"INTENDENTE","En blanco",0.032,0.012
"INTENDENTE","No sabe",0.057,0.014
"CORTA_PRESIDENTE","Si",0.442,0.061
"CORTA_PRESIDENTE","No",0.558,0.939
"CORTA_GOBERNADOR","Si",0.607,0.086
"CORTA_GOBERNADOR","No",0.393,0.914
