"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P05","Mucho",0.739,0.432,0.386,0.358
"P05","Bastante",0.143,0.39,0.268,0.259
"P05","Poco",0.081,0.13,0.256,0.185
"P05","Nada",0.01,0.042,0.067,0.1
"P05","No sabe",0.027,0.006,0.023,0.098
"P10","Unión por la Patria",0.409,0.4,0.362,0.182
"P10","Juntos por el Cambio",0.277,0.286,0.206,0.191
"P10","De los Liberales libertarios",0.209,0.196,0.259,0.281
"P10","De la Izquierda",0.025,0.057,0.041,0.059
"P10","Hacemos por nuestro país",0.021,0.004,0.021,0.027
"P10","En blanco",0.011,0.01,0.017,0.141
"P10","No sabe",0.048,0.047,0.094,0.119
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.4,0.394,0.405,0.294
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.331,0.328,0.186,0.182
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.215,0.191,0.275,0.331
"P13","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.005,0.025,0.03,0.019
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.027,0.018,0.016,0.041
"P13","En blanco",0.009,0.012,0.006,0.058
"P13","No sabe",0.013,0.032,0.082,0.075
"P16","Si",0.481,0.443,0.472,0.435
"P16","No",0.519,0.557,0.528,0.565
"P17","Sergio Massa a presidente por Unión por la Patria.",0.352,0.164,0.265,0.135
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.282,0.372,0.272,0.181
"P17","Javier Milei a presidente por la Libertad Avanza",0.285,0.342,0.344,0.523
"P17","Myriam Bregman a presidenta por el Frente de Izquierda",0.005,0.038,0.016,0.06
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.059,0.009,0.027,0.009
"P17","En blanco",0.008,0.013,0.011,0
"P17","No sabe",0.009,0.062,0.065,0.092
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.269,0.229,0.226,0.16
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.334,0.423,0.29,0.186
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.224,0.212,0.335,0.393
"P20","El candidato a gobernador de la Izquierda",0.036,0.035,0.047,0.038
"P20","En blanco",0.094,0.007,0.013,0.043
"P20","No sabe",0.043,0.094,0.089,0.18
"P23","Julio Zamora a intendente por Unión por la Patria.",0.524,0.47,0.471,0.623
"P23","Segundo Cernadas a intendente por Juntos por el Cambio",0.27,0.322,0.357,0.235
"P23","Claudio Baumgarten a intendente por la Libertad Avanza",0.074,0.173,0.063,0.059
"P23","Paula Akerfeld a intendenta por el Frente de Izquierda",0.07,0.016,0.021,0.016
"P23","En blanco",0.035,0.004,0.021,0.041
"P23","No sabe",0.027,0.015,0.067,0.026
"P26","Totalmente seguro.",0.653,0.721,0.602,0.672
"P26","Bastante seguro",0.232,0.185,0.272,0.139
"P26","Algo seguro",0.072,0.074,0.091,0.075
"P26","Para nada seguro",0.043,0.02,0.035,0.114
"P27","Tiene Decidido que va a ir a votar.",0.883,0.94,0.912,0.867
"P27","Tiene dudas sobre si va a ir a  votar",0.104,0.056,0.078,0.053
"P27","Tiene Decidido que no va a ir a votar",0.013,0.004,0.01,0.08
"P28","Si",0.598,0.463,0.316,0.289
"P28","No",0.402,0.537,0.684,0.711
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.427,0.346,0.394,0.281
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.303,0.345,0.23,0.19
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.225,0.228,0.29,0.398
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.005,0.023,0.014,0.035
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.027,0.019,0.013,0.003
"PRESIDENTE","En blanco",0.005,0.009,0.006,0.012
"PRESIDENTE","No sabe",0.008,0.03,0.053,0.081
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.388,0.371,0.385,0.291
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.329,0.362,0.237,0.199
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.194,0.181,0.281,0.345
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.02,0.022,0.026,0.021
"GOBERNADOR","En blanco",0.046,0.022,0.007,0.032
"GOBERNADOR","No sabe",0.023,0.042,0.064,0.112
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria.",0.507,0.475,0.487,0.471
"INTENDENTE","Segundo Cernadas a intendente por Juntos por el Cambio",0.298,0.321,0.263,0.208
"INTENDENTE","Claudio Baumgarten a intendente por la Libertad Avanza",0.131,0.158,0.172,0.227
"INTENDENTE","Paula Akerfeld a intendenta por el Frente de Izquierda",0.031,0.015,0.016,0.013
"INTENDENTE","En blanco",0.018,0.021,0.012,0.026
"INTENDENTE","No sabe",0.015,0.01,0.05,0.055
"CORTA_PRESIDENTE","Si",0.195,0.133,0.17,0.161
"CORTA_PRESIDENTE","No",0.805,0.867,0.83,0.839
"CORTA_GOBERNADOR","Si",0.269,0.169,0.234,0.261
"CORTA_GOBERNADOR","No",0.731,0.831,0.766,0.739
"CORTA_INTENDENTE","Si",0.28,0.238,0.358,0.321
"CORTA_INTENDENTE","No",0.72,0.762,0.642,0.679
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.405,0.4,0.444,0.309
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.338,0.337,0.208,0.214
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.216,0.191,0.289,0.354
"P13_imputada","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.005,0.042,0.036,0.024
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.027,0.018,0.016,0.041
"P13_imputada","En blanco",0.009,0.012,0.007,0.058
