"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Sergio Massa a presidente por Unión por la Patria.",0.24,0.273,0.208,0.09,0.285,0.217,0.317,0.2,0.274,0.235,0.236,0.618,0.275,0.073,0.024,0.296,0.138,0.228
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.34,0.273,0.404,0.257,0.242,0.485,0.46,0.334,0.297,0.408,0.353,0.252,0.677,0.51,0.14,0.34,0.367,0.33
"Javier Milei a presidente por la Libertad Avanza",0.346,0.39,0.305,0.517,0.413,0.235,0.163,0.401,0.37,0.254,0.318,0.126,0.048,0.405,0.718,0.296,0.397,0.373
"Myriam Bregman a presidenta por el Frente de Izquierda",0.03,0.026,0.033,0,0.053,0.015,0.023,0.033,0.018,0.041,0.039,0.004,0,0,0.11,0.015,0.078,0.023
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.023,0.019,0.028,0.089,0.007,0.016,0.007,0,0.039,0.028,0.032,0,0,0.006,0.008,0.033,0.016,0.017
"En blanco",0.021,0.019,0.022,0.047,0,0.032,0.03,0.032,0.002,0.034,0.022,0,0,0.006,0,0.02,0.004,0.029
