"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Si",0.324,0.305,0.343,0.323,0.351,0.329,0.253,0.386,0.32,0.269,0.434,0.203,0.049,0.257,0.154,0.351,0.312,0.306
"No",0.676,0.695,0.657,0.677,0.649,0.671,0.747,0.614,0.68,0.731,0.566,0.797,0.951,0.743,0.846,0.649,0.688,0.694
