"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Myriam Bregman a presidenta por el Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.533,0.435,0.499,0.353,0.451,0.157
"P05","Bastante",0.268,0.357,0.228,0.299,0.51,0.42
"P05","Poco",0.174,0.131,0.184,0.199,0.039,0.041
"P05","Nada",0.009,0.063,0.089,0.03,0,0.225
"P05","No sabe",0.016,0.014,0,0.119,0,0.157
"P06","Siempre",0.223,0.21,0.154,0.043,0.324,0.094
"P06","Casi siempre",0.298,0.405,0.255,0.415,0.374,0.294
"P06","Casi nunca",0.375,0.289,0.385,0.323,0.274,0.279
"P06","Nunca, pero esta es una excepción",0.104,0.096,0.206,0.219,0.028,0.333
"P10","Unión por la Patria",0.803,0.12,0.07,0.158,0.407,0
"P10","Juntos por el Cambio",0.042,0.713,0.049,0.024,0.046,0.027
"P10","De los Liberales libertarios",0.051,0.078,0.668,0,0.195,0
"P10","De la Izquierda",0.018,0.013,0.048,0.453,0.099,0.02
"P10","Hacemos por nuestro país",0.007,0.001,0.045,0.304,0.176,0
"P10","En blanco",0.024,0.003,0.004,0,0.02,0.738
"P10","No sabe",0.055,0.072,0.116,0.061,0.057,0.215
"P16","Si",0.317,0.523,0.592,0.721,0.856,0.756
"P16","No",0.683,0.477,0.408,0.279,0.144,0.244
"P26","Totalmente seguro.",0.761,0.6,0.679,0.514,0.301,0.649
"P26","Bastante seguro",0.117,0.33,0.225,0.126,0.542,0.044
"P26","Algo seguro",0.075,0.064,0.056,0.09,0.079,0
"P26","Para nada seguro",0.047,0.006,0.04,0.27,0.078,0.307
"P27","Tiene Decidido que va a ir a votar.",0.93,0.899,0.872,1,0.973,0.929
"P27","Tiene dudas sobre si va a ir a  votar",0.056,0.089,0.107,0,0.027,0.044
"P27","Tiene Decidido que no va a ir a votar",0.014,0.012,0.021,0,0,0.027
"P28","Si",0.517,0.439,0.33,0.531,0.607,0.532
"P28","No",0.483,0.561,0.67,0.469,0.393,0.468
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.916,0.03,0.078,0.516,0,0.154
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.013,0.823,0.082,0,0.449,0.325
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.05,0.058,0.75,0.011,0.056,0
"P13_imputada","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.009,0.024,0.028,0.473,0,0.02
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.009,0.028,0.041,0,0.495,0
"P13_imputada","En blanco",0.003,0.037,0.021,0,0,0.501
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",1,0,0,0,0,0
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0
"P17_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0,0,0,1,0,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0,1,0
"P17_imputada","En blanco",0,0,0,0,0,1
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.686,0.04,0.103,0.357,0.139,0.559
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.086,0.714,0.275,0.371,0.196,0.301
