"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Axel Kicillof a gobernador por Unión por la Patria.",0.209,0.24,0.178,0.095,0.263,0.202,0.198,0.103,0.25,0.261,0.191,0.582,0,0.05,0.091,0.295,0.093,0.181
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.34,0.295,0.386,0.252,0.217,0.524,0.431,0.255,0.381,0.373,0.357,0.203,0.772,0.326,0.324,0.278,0.524,0.318
"Carolina Piparo a gobernadora por la Libertad Avanza",0.278,0.369,0.188,0.384,0.337,0.173,0.201,0.361,0.245,0.24,0.258,0.215,0.212,0.441,0.433,0.199,0.252,0.361
"El candidato a gobernador de la Izquierda",0.046,0.024,0.069,0.061,0.058,0.012,0.059,0.079,0.029,0.036,0.042,0,0,0.1,0.012,0.072,0.066,0.015
"En blanco",0.033,0.012,0.053,0.077,0.035,0.015,0.012,0.011,0.067,0.01,0.059,0,0,0,0.009,0.037,0.009,0.039
"No sabe",0.094,0.06,0.126,0.131,0.09,0.074,0.099,0.191,0.028,0.08,0.093,0,0.016,0.083,0.131,0.119,0.056,0.086
