"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.545,0.433,0.551,0.511,0.294,0.168
"P05","Bastante",0.286,0.355,0.253,0.066,0.38,0.214
"P05","Poco",0.149,0.152,0.167,0.185,0.18,0.239
"P05","Nada",0.003,0.047,0.029,0.238,0,0.354
"P05","No sabe",0.017,0.013,0,0,0.146,0.025
"P06","Siempre",0.208,0.223,0.16,0.172,0.394,0.084
"P06","Casi siempre",0.33,0.407,0.247,0.317,0.315,0.249
"P06","Casi nunca",0.357,0.279,0.402,0.387,0.105,0.398
"P06","Nunca, pero esta es una excepción",0.105,0.091,0.191,0.124,0.186,0.269
"P10","Unión por la Patria",0.792,0.117,0.127,0.105,0.296,0.161
"P10","Juntos por el Cambio",0.055,0.659,0.099,0.036,0.249,0.121
"P10","De los Liberales libertarios",0.043,0.153,0.662,0,0.128,0.136
"P10","De la Izquierda",0.022,0.016,0.057,0.29,0.078,0.014
"P10","Hacemos por nuestro país",0.002,0.021,0.028,0.34,0,0.033
"P10","En blanco",0.016,0.008,0.005,0,0.249,0.06
"P10","No sabe",0.07,0.026,0.022,0.229,0,0.475
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.921,0.045,0.049,0.142,0.115,0.128
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.008,0.781,0.107,0.025,0.26,0.135
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.056,0.102,0.78,0,0.029,0.146
"P13","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.011,0.006,0.005,0.541,0.014,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.005,0.041,0.292,0.409,0.04
"P13","En blanco",0.003,0.031,0,0,0.173,0.064
"P13","No sabe",0,0.03,0.018,0,0,0.487
"P16","Si",0.268,0.506,0.516,0.804,0.734,0.855
"P16","No",0.732,0.494,0.484,0.196,0.266,0.145
"P17","Sergio Massa a presidente por Unión por la Patria.",0.713,0.055,0.126,0.293,0.19,0.198
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.062,0.637,0.253,0.055,0.356,0.172
"P17","Javier Milei a presidente por la Libertad Avanza",0.165,0.239,0.615,0.448,0.032,0.132
"P17","Myriam Bregman a presidenta por el Frente de Izquierda",0.046,0.037,0,0.186,0,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.003,0.007,0,0,0.401,0.078
"P17","En blanco",0,0.014,0,0.018,0.021,0.008
"P17","No sabe",0.011,0.011,0.006,0,0,0.412
"P20","Axel Kicillof a gobernador por Unión por la Patria.",1,0,0,0,0,0
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0,0
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0,0
"P20","El candidato a gobernador de la Izquierda",0,0,0,1,0,0
"P20","En blanco",0,0,0,0,1,0
"P20","No sabe",0,0,0,0,0,1
