"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Si",0.442,0.472,0.411,0.347,0.406,0.508,0.524,0.485,0.437,0.406,0.473,0.454,0.571,0.437,0.35,0.514,0.404,0.399
"No",0.558,0.528,0.589,0.653,0.594,0.492,0.476,0.515,0.563,0.594,0.527,0.546,0.429,0.563,0.65,0.486,0.596,0.601
