"var","categoria","Julio Zamora a intendente por Unión por la Patria.","Segundo Cernadas a intendente por Juntos por el Cambio","Claudio Baumgarten a intendente por la Libertad Avanza","Paula Akerfeld a intendenta por el Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.396,0.407,0.366,0.592,0.362,0.192
"P05","Bastante",0.272,0.377,0.361,0.221,0.295,0.324
"P05","Poco",0.23,0.14,0.113,0.122,0.179,0.484
"P05","Nada",0.085,0.074,0.13,0.065,0,0
"P05","No sabe",0.017,0.002,0.03,0,0.164,0
"P06","Siempre",0.213,0.175,0.148,0.494,0.343,0.15
"P06","Casi siempre",0.313,0.341,0.568,0.187,0.063,0.133
"P06","Casi nunca",0.328,0.396,0.216,0.254,0.362,0.633
"P06","Nunca, pero esta es una excepción",0.146,0.088,0.068,0.065,0.232,0.084
"P10","Unión por la Patria",0.322,0.085,0.342,0.327,0.061,0.436
"P10","Juntos por el Cambio",0.201,0.468,0.224,0.088,0.396,0.148
"P10","De los Liberales libertarios",0.217,0.371,0.352,0.025,0.098,0.071
"P10","De la Izquierda",0.071,0.022,0.016,0.186,0,0
"P10","Hacemos por nuestro país",0.027,0,0,0.374,0,0.13
"P10","En blanco",0.033,0.004,0,0,0,0.037
"P10","No sabe",0.129,0.05,0.066,0,0.445,0.178
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.331,0.062,0.201,0.265,0.061,0.548
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.238,0.461,0.151,0.088,0.122,0.016
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.232,0.365,0.579,0.066,0.098,0.141
"P13","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.049,0.012,0,0.207,0,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.035,0.046,0,0.374,0.373,0.13
"P13","En blanco",0.033,0.004,0.069,0,0.346,0
"P13","No sabe",0.082,0.05,0,0,0,0.165
"P17","Sergio Massa a presidente por Unión por la Patria.",0.318,0.091,0.184,0.546,0.062,0.598
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.22,0.549,0.32,0.088,0.515,0.129
"P17","Javier Milei a presidente por la Libertad Avanza",0.299,0.348,0.496,0.344,0.055,0.041
"P17","Myriam Bregman a presidenta por el Frente de Izquierda",0.055,0.002,0,0.022,0,0.014
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.037,0.005,0,0,0.022,0.129
"P17","En blanco",0.013,0.005,0,0,0,0
"P17","No sabe",0.058,0,0,0,0.346,0.089
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.32,0.058,0.175,0.415,0.043,0.26
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.317,0.487,0.29,0.083,0.078,0.098
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.203,0.399,0.403,0.088,0.039,0.039
"P20","El candidato a gobernador de la Izquierda",0.058,0.007,0,0.414,0,0
"P20","En blanco",0.047,0.002,0,0,0.395,0
"P20","No sabe",0.055,0.047,0.132,0,0.445,0.603
"P26","Totalmente seguro.",0.585,0.68,0.613,0.625,0.085,0.155
"P26","Bastante seguro",0.272,0.203,0.202,0.043,0.55,0.268
"P26","Algo seguro",0.109,0.098,0.185,0.05,0.02,0.175
"P26","Para nada seguro",0.034,0.019,0,0.282,0.345,0.402
"P27","Tiene Decidido que va a ir a votar.",0.896,0.902,0.678,0.627,1,0.854
"P27","Tiene dudas sobre si va a ir a  votar",0.075,0.095,0.27,0.283,0,0.116
"P27","Tiene Decidido que no va a ir a votar",0.029,0.003,0.052,0.09,0,0.03
"P28","Si",0.464,0.466,0.155,0.311,0.606,0.31
"P28","No",0.536,0.534,0.845,0.689,0.394,0.69
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.318,0.091,0.184,0.546,0.062,0.598
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.22,0.549,0.32,0.088,0.515,0.129
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.299,0.348,0.496,0.344,0.055,0.041
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.055,0.002,0,0.022,0,0.014
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.037,0.005,0,0,0.022,0.129
"PRESIDENTE","En blanco",0.013,0.005,0,0,0,0
"PRESIDENTE","No sabe",0.058,0,0,0,0.346,0.089
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.32,0.058,0.175,0.415,0.043,0.26
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.317,0.487,0.29,0.083,0.078,0.098
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.203,0.399,0.403,0.088,0.039,0.039
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.058,0.007,0,0.414,0,0
"GOBERNADOR","En blanco",0.047,0.002,0,0,0.395,0
"GOBERNADOR","No sabe",0.055,0.047,0.132,0,0.445,0.603
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria.",1,0,0,0,0,0
"INTENDENTE","Segundo Cernadas a intendente por Juntos por el Cambio",0,1,0,0,0,0
"INTENDENTE","Claudio Baumgarten a intendente por la Libertad Avanza",0,0,1,0,0,0
"INTENDENTE","Paula Akerfeld a intendenta por el Frente de Izquierda",0,0,0,1,0,0
"INTENDENTE","En blanco",0,0,0,0,1,0
"INTENDENTE","No sabe",0,0,0,0,0,1
