"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Si",0.489,0.48,0.499,0.465,0.484,0.534,0.458,0.601,0.474,0.399,0.575,0.358,0.314,0.481,0.317,0.512,0.496,0.467
"No",0.511,0.52,0.501,0.535,0.516,0.466,0.542,0.399,0.526,0.601,0.425,0.642,0.686,0.519,0.683,0.488,0.504,0.533
