"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Pablo Guillermo Mirolo por el Partido Frente Renovador “Hay Alternativa”",0.244,0.281,0.209,0.307,0.233,0.17,0.197,0.288,0.216,0.151,0.256,0.221,0.283
"Silvia Noemí Sayago por el Frente Cívico",0.414,0.41,0.418,0.432,0.453,0.302,0.412,0.39,0.473,0.375,0.498,0.193,0.149
"Facundo José Perez Carletti por Juntos, dentro de la interna de juntos por el cambio",0.113,0.118,0.107,0.098,0.061,0.182,0.21,0.125,0.072,0.155,0.071,0.315,0.276
"Marcelo Lugones por Cambia Santiago, dentro de la interna de juntos por el cambio",0.059,0.049,0.068,0.016,0.028,0.214,0.05,0.048,0.046,0.123,0.02,0.217,0.197
"José María Robledo por Voces Libertarias, dentro de la interna de Unite por la libertad y la dignidad",0.022,0.04,0.005,0.032,0.019,0.016,0.007,0.01,0.032,0.039,0.013,0.021,0.028
"Luciano Antonio Pavan por Cruzada Santiagueña dentro de la interna de Unite por la libertad y la dignidad",0.011,0.001,0.021,0,0.015,0.034,0,0.018,0,0.013,0.014,0.005,0
"Marianella Lezama Hid por Libres del Sur",0.008,0.003,0.014,0,0.023,0,0.004,0.008,0.008,0.01,0.01,0,0
"Guillermo Daniel Suarez Melean por el Frente Patriótico Laborista",0.011,0.013,0.009,0,0.028,0.004,0,0.01,0.015,0.005,0.013,0,0
"Alguno de los candidatos de la izquierda",0.023,0.003,0.042,0.019,0.025,0.013,0.045,0.03,0.012,0.023,0.022,0,0.043
"En blanco o anularía",0.095,0.082,0.107,0.096,0.115,0.065,0.075,0.073,0.126,0.106,0.083,0.028,0.024
