"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Alberto Fernandez","Muy buena",0.464,0.384,0.538,0.417,0.488,0.485,0.494,0.496,0.498,0.287,0.574,0.113,0.127
"Alberto Fernandez","Buena",0.129,0.159,0.102,0.165,0.119,0.064,0.157,0.151,0.1,0.119,0.141,0.06,0.226
"Alberto Fernandez","Ni buena ni mala",0.193,0.188,0.198,0.269,0.201,0.104,0.078,0.204,0.183,0.176,0.191,0.124,0.298
"Alberto Fernandez","Mala",0.085,0.107,0.064,0.074,0.074,0.128,0.085,0.065,0.096,0.127,0.044,0.264,0.259
"Alberto Fernandez","Muy mala",0.102,0.137,0.07,0.047,0.089,0.188,0.177,0.047,0.104,0.281,0.036,0.364,0.09
"Alberto Fernandez","No sabe",0.027,0.025,0.028,0.028,0.029,0.031,0.009,0.037,0.019,0.01,0.014,0.075,0
"CFK","Muy buena",0.478,0.359,0.588,0.551,0.434,0.493,0.377,0.549,0.437,0.329,0.596,0.084,0.312
"CFK","Buena",0.139,0.191,0.091,0.121,0.177,0.036,0.232,0.137,0.165,0.093,0.166,0.021,0
"CFK","Ni buena ni mala",0.167,0.171,0.163,0.18,0.185,0.134,0.121,0.18,0.175,0.105,0.163,0.15,0.073
"CFK","Mala",0.064,0.099,0.033,0.054,0.057,0.101,0.065,0.059,0.074,0.064,0.041,0.154,0.282
"CFK","Muy mala",0.137,0.159,0.116,0.075,0.131,0.222,0.205,0.058,0.135,0.4,0.033,0.544,0.26
"CFK","No sabe",0.015,0.021,0.009,0.019,0.016,0.014,0,0.017,0.014,0.009,0.001,0.047,0.073
"Horacio Rodriguez Larreta","Muy buena",0.118,0.13,0.106,0.074,0.06,0.2,0.297,0.129,0.077,0.163,0.064,0.461,0.034
"Horacio Rodriguez Larreta","Buena",0.105,0.146,0.068,0.091,0.117,0.164,0.023,0.081,0.127,0.143,0.11,0.127,0.08
"Horacio Rodriguez Larreta","Ni buena ni mala",0.468,0.434,0.499,0.579,0.472,0.198,0.538,0.485,0.515,0.314,0.49,0.302,0.679
"Horacio Rodriguez Larreta","Mala",0.122,0.124,0.12,0.073,0.151,0.2,0.059,0.149,0.07,0.142,0.131,0,0.135
"Horacio Rodriguez Larreta","Muy mala",0.12,0.12,0.12,0.107,0.12,0.167,0.083,0.095,0.119,0.201,0.139,0.06,0.072
"Horacio Rodriguez Larreta","No sabe",0.067,0.046,0.087,0.076,0.08,0.071,0,0.061,0.092,0.037,0.066,0.05,0
"Mauricio Macri","Muy buena",0.08,0.064,0.095,0.064,0.071,0.105,0.115,0.08,0.06,0.121,0.042,0.317,0
"Mauricio Macri","Buena",0.073,0.085,0.06,0.095,0.036,0.09,0.091,0.062,0.062,0.129,0.043,0.247,0
"Mauricio Macri","Ni buena ni mala",0.236,0.215,0.256,0.234,0.217,0.252,0.28,0.246,0.251,0.175,0.201,0.298,0.255
"Mauricio Macri","Mala",0.348,0.363,0.335,0.394,0.376,0.305,0.191,0.383,0.351,0.227,0.423,0.019,0.412
"Mauricio Macri","Muy mala",0.223,0.259,0.19,0.184,0.232,0.217,0.323,0.191,0.224,0.327,0.247,0.119,0.261
"Mauricio Macri","No sabe",0.04,0.014,0.064,0.029,0.068,0.031,0,0.038,0.052,0.021,0.044,0,0.072
