"var","categoria","Pablo Guillermo Mirolo por el Partido Frente Renovador “Hay Alternativa”","Silvia Noemí Sayago por el Frente Cívico","Facundo José Perez Carletti por Juntos, dentro de la interna de juntos por el cambio","Marcelo Lugones por Cambia Santiago, dentro de la interna de juntos por el cambio","José María Robledo por Voces Libertarias, dentro de la interna de Unite por la libertad y la dignidad","Luciano Antonio Pavan por Cruzada Santiagueña dentro de la interna de Unite por la libertad y la dignidad","Marianella Lezama Hid por Libres del Sur","Guillermo Daniel Suarez Melean por el Frente Patriótico Laborista","Alguno de los candidatos de la izquierda","En blanco o anularía"
"P07","Si",0.701,0.794,0.891,0.666,0.536,0.601,1,0.29,0.69,0.603
"P07","Puede ser",0.23,0.176,0.044,0.253,0.464,0.399,0,0.355,0.163,0.223
"P07","No",0.069,0.03,0.065,0.081,0,0,0,0.355,0.147,0.174
"P08","Si",0.818,0.926,0.864,0.691,0.831,0.543,1,0.486,0.291,0.894
"P08","No",0.182,0.074,0.136,0.309,0.169,0.457,0,0.514,0.709,0.106
"P09","Muy buena",0.429,0.581,0.388,0.214,0,0.94,0.825,0.354,0.812,0.26
"P09","Buena",0.165,0.164,0.088,0,0,0,0,0,0.107,0.092
"P09","Ni buena ni mala",0.176,0.199,0.117,0.026,0.156,0,0.175,0.354,0.055,0.436
"P09","Mala",0.13,0.022,0.218,0.186,0.113,0,0,0.129,0,0.053
"P09","Muy mala",0.078,0.01,0.185,0.482,0.731,0.06,0,0,0.026,0.115
"P09","No sabe",0.022,0.024,0.004,0.092,0,0,0,0.163,0,0.044
"P10","Muy buena",0.495,0.592,0.479,0.103,0,0.94,0.82,0.344,0.558,0.213
"P10","Buena",0.13,0.177,0.025,0.013,0,0,0,0,0.366,0.234
"P10","Ni buena ni mala",0.163,0.177,0.043,0.218,0.157,0,0,0,0,0.323
"P10","Mala",0.094,0.007,0.187,0.125,0.053,0,0.18,0.345,0.051,0.055
"P10","Muy mala",0.118,0.024,0.266,0.541,0.79,0.06,0,0.148,0.025,0.138
"P10","No sabe",0,0.023,0,0,0,0,0,0.163,0,0.037
"P11","Muy buena",0.06,0.078,0.121,0.215,0,0,0,0,0,0.046
"P11","Buena",0.075,0.035,0.168,0.148,0.097,0,0,0.143,0.364,0.007
"P11","Ni buena ni mala",0.321,0.192,0.228,0.154,0.259,0.447,0,0,0.415,0.264
"P11","Mala",0.381,0.417,0.324,0.173,0.139,0.472,0.474,0.345,0.025,0.212
"P11","Muy mala",0.149,0.218,0.13,0.31,0.505,0.081,0.526,0.346,0.196,0.404
"P11","No sabe",0.014,0.06,0.029,0,0,0,0,0.166,0,0.067
"P12","Muy buena",0.11,0.111,0.215,0.284,0.036,0,0,0,0,0.008
"P12","Buena",0.115,0.089,0.119,0.12,0.184,0,0,0,0,0.145
"P12","Ni buena ni mala",0.472,0.559,0.413,0.185,0.253,0.405,0.111,0.401,0.225,0.442
"P12","Mala",0.174,0.109,0.077,0.283,0.053,0,0,0,0,0.099
"P12","Muy mala",0.084,0.101,0.106,0.092,0.089,0.595,0.889,0.401,0.124,0.185
"P12","No sabe",0.045,0.031,0.07,0.036,0.385,0,0,0.198,0.651,0.121
