"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P05","Tengo trabajo estable",0.351,0.484,0.661,0.574
"P05","Realizo changas o trabajos de vez en cuando",0.29,0.207,0.06,0.143
"P05","No tengo trabajo",0.182,0.103,0.124,0.097
"P05","Soy jubilado o pensionado",0.177,0.206,0.155,0.186
"P06","1",0.322,0.219,0.273,0.12
"P06","2",0.064,0.017,0.045,0.042
"P06","3",0.047,0.04,0.067,0.021
"P06","4",0.057,0.042,0.033,0.038
"P06","5",0.219,0.185,0.215,0.129
"P06","6",0.021,0.083,0.047,0.066
"P06","7",0.054,0.079,0.143,0.179
"P06","8",0.041,0.04,0.035,0.096
"P06","9",0.175,0.295,0.142,0.309
"P07","1",0.474,0.348,0.29,0.544
"P07","2",0.071,0.029,0.077,0.07
"P07","3",0.047,0.041,0.049,0.058
"P07","4",0.062,0.019,0.055,0.035
"P07","5",0.149,0.245,0.203,0.108
"P07","6",0.011,0.049,0.037,0.02
"P07","7",0.018,0.019,0.113,0.038
"P07","8",0.003,0.058,0.028,0.026
"P07","9",0.165,0.192,0.148,0.101
"P08","1",0.467,0.493,0.566,0.69
"P08","2",0.029,0.022,0.027,0.024
"P08","3",0.013,0.004,0.011,0.031
"P08","4",0.086,0.02,0.012,0.02
"P08","5",0.104,0.131,0.133,0.058
"P08","6",0.003,0.029,0.002,0.007
"P08","7",0.029,0.01,0.027,0.015
"P08","8",0,0.037,0.031,0.015
"P08","9",0.269,0.254,0.191,0.14
"P11","A Alberto Fernández",0.752,0.073,0.037,0.114
"P11","A Sergio Massa",0.124,0.857,0.111,0.154
"P11","A algún candidato del peronismo",0.049,0.025,0.651,0.067
"P11","A algún candidato del kirchnerismo",0.075,0.045,0.201,0.665
"P15","Lo votaría",0.626,0.597,0.525,0.837
"P15","Puede que lo vote",0.155,0.245,0.1,0.068
"P15","Nunca lo votaría",0.133,0.138,0.316,0.021
"P15","No sabe",0.086,0.02,0.059,0.074
"P16","Lo votaría",0.298,0.33,0.239,0.318
"P16","Puede que lo vote",0.232,0.337,0.291,0.424
"P16","Nunca lo votaría",0.311,0.226,0.347,0.13
"P16","No sabe",0.159,0.107,0.123,0.128
"P17","Lo votaría",0.164,0.093,0.188,0.041
"P17","Puede que lo vote",0.153,0.219,0.148,0.08
"P17","Nunca lo votaría",0.492,0.611,0.569,0.822
"P17","No sabe",0.191,0.077,0.095,0.057
"P18","Lo votaría",0.153,0.053,0.073,0.005
"P18","Puede que lo vote",0.105,0.101,0.158,0.056
"P18","Nunca lo votaría",0.465,0.714,0.639,0.857
"P18","No sabe",0.277,0.132,0.13,0.082
"P19","Lo votaría",0.344,0.637,0.152,0.266
"P19","Puede que lo vote",0.31,0.193,0.358,0.47
"P19","Nunca lo votaría",0.236,0.16,0.397,0.207
"P19","No sabe",0.11,0.01,0.093,0.057
"P20","Lo votaría",0.072,0.085,0.082,0.036
"P20","Puede que lo vote",0.209,0.197,0.161,0.119
"P20","Nunca lo votaría",0.475,0.522,0.622,0.641
"P20","No sabe",0.244,0.196,0.135,0.204
"P21","Lo votaría",0.076,0.05,0.104,0.012
"P21","Puede que lo vote",0.102,0.073,0.103,0.037
"P21","Nunca lo votaría",0.629,0.763,0.723,0.876
"P21","No sabe",0.193,0.114,0.07,0.075
"P22","Lo votaría",0.073,0.008,0.049,0.007
"P22","Puede que lo vote",0.099,0.099,0.105,0.028
"P22","Nunca lo votaría",0.516,0.707,0.684,0.703
"P22","No sabe",0.312,0.186,0.162,0.262
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.062,0.002,0.105,0.025
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.038,0.043,0.029,0.004
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.045,0.037,0.104,0.024
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.434,0.069,0.025,0.021
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.302,0.314,0.467,0.796
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.08,0.423,0.105,0.12
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.002,0.04,0.03,0.003
"P23","A los candidatos de la izquierda",0.004,0.008,0.003,0.003
"P23","Otros candidatos",0.033,0.064,0.132,0.004
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.096,0.023,0.133,0.02
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.059,0.036,0.059,0.025
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.555,0.109,0.107,0.146
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.127,0.714,0.462,0.639
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.07,0.087,0.085,0.034
"P24","A los candidatos de la izquierda",0.024,0.023,0.027,0.04
"P24","Otros candidatos",0.069,0.008,0.127,0.096
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.78,0.796,0.599,0.926
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.099,0.007,0.09,0.009
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.01,0.085,0.095,0.005
"P26","A los candidatos de la izquierda",0.017,0.018,0.013,0.018
"P26","Otro candidato",0.094,0.094,0.203,0.042
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.237,0.274,0.302,0.235
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.666,0.546,0.459,0.742
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.008,0.092,0.099,0.005
"P28","A los candidatos de la izquierda",0.032,0.013,0.02,0.003
"P28","Otro candidato",0.057,0.075,0.12,0.015
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.593,0.52,0.543,0.496
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.321,0.334,0.282,0.489
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.009,0.064,0.043,0.001
"P30","A los candidatos de la izquierda",0.02,0,0.015,0.003
"P30","Otro candidato",0.057,0.082,0.117,0.011
"P31","Sergio Massa por el Frente de Todos",0.451,0.661,0.506,0.488
"P31","Patricia Bullrich por Juntos por el Cambio",0.277,0.251,0.198,0.163
"P31","Javier Milei por los liberales libertarios",0.026,0.039,0.035,0.007
"P31","Nicolás del Caño por la izquierda",0.034,0,0.02,0.028
"P31","Otro candidato",0.026,0.016,0.164,0.167
"P31","Aún no lo tengo decidido",0.186,0.033,0.077,0.147
"P33","Sergio Massa por el Frente de Todos",0.526,0.877,0.434,0.645
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.14,0.052,0.212,0.049
"P33","Javier Milei por los liberales libertarios",0.045,0.038,0.054,0.003
"P33","Nicolás del Caño por la izquierda",0.029,0,0.032,0.031
"P33","Otro candidato",0.026,0.014,0.163,0.161
"P33","Aún no lo tengo decidido",0.234,0.019,0.105,0.111
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.72,0.802,0.63,0.946
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.104,0.078,0.143,0.006
"P34","Javier Milei por los liberales libertarios",0.039,0.037,0.052,0
"P34","Nicolás del Caño por la izquierda",0.005,0.003,0.018,0.003
"P34","Otro candidato",0.018,0.064,0.106,0.02
"P34","Aún no lo tengo decidido",0.114,0.016,0.051,0.025
"P35","Sergio Massa por el Frente de Todos",0.369,0.424,0.216,0.368
"P35","Mauricio Macri por Juntos por el Cambio",0.323,0.508,0.463,0.37
