"var","categoria","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos","Javier Milei presidente – José Luis Espert  gobernador por los liberales","A los candidatos de la izquierda","Otro candidato"
"P13","A Horacio Rodriguez Larreta",0.165,0.262,0.387,0.352,0.464
"P13","A Mauricio Macri",0.37,0.236,0.152,0.589,0.223
"P13","A Patricia Bullrich",0.43,0.462,0.37,0,0.085
"P13","A Facundo Manes",0.023,0.028,0.085,0.059,0.157
"P13","A Gerardo Morales",0.012,0.012,0.006,0,0.071
"P14","Seguro lo votaria",0.18,0.102,0.454,0.393,0.062
"P14","Quizás lo votaría",0.33,0.362,0.342,0,0.352
"P14","Nunca lo votaría",0.49,0.536,0.204,0.607,0.586
"P15","Lo votaría",0.437,0.424,0.021,0.152,0.105
"P15","Puede que lo vote",0.065,0.077,0.03,0.244,0.112
"P15","Nunca lo votaría",0.445,0.451,0.9,0.461,0.669
"P15","No sabe",0.053,0.048,0.049,0.143,0.114
"P16","Lo votaría",0.204,0.139,0.04,0.139,0.072
"P16","Puede que lo vote",0.243,0.255,0.061,0.135,0.17
"P16","Nunca lo votaría",0.467,0.508,0.816,0.553,0.596
"P16","No sabe",0.086,0.098,0.083,0.173,0.162
"P17","Lo votaría",0.218,0.208,0.124,0.005,0.196
"P17","Puede que lo vote",0.267,0.214,0.299,0.162,0.246
"P17","Nunca lo votaría",0.435,0.507,0.473,0.705,0.407
"P17","No sabe",0.08,0.071,0.104,0.128,0.151
"P18","Lo votaría",0.162,0.178,0.104,0.014,0.102
"P18","Puede que lo vote",0.213,0.246,0.265,0.019,0.202
"P18","Nunca lo votaría",0.514,0.487,0.482,0.8,0.471
"P18","No sabe",0.111,0.089,0.149,0.167,0.225
"P19","Lo votaría",0.191,0.199,0.042,0.112,0.132
"P19","Puede que lo vote",0.251,0.287,0.079,0.155,0.173
"P19","Nunca lo votaría",0.528,0.466,0.844,0.628,0.591
"P19","No sabe",0.03,0.048,0.035,0.105,0.104
"P20","Lo votaría",0.061,0.061,0.032,0.041,0.049
"P20","Puede que lo vote",0.205,0.209,0.138,0.022,0.151
"P20","Nunca lo votaría",0.578,0.546,0.63,0.759,0.521
"P20","No sabe",0.156,0.184,0.2,0.178,0.279
"P21","Lo votaría",0.12,0.12,0.549,0.026,0.084
"P21","Puede que lo vote",0.201,0.231,0.226,0.048,0.192
"P21","Nunca lo votaría",0.59,0.563,0.167,0.857,0.531
"P21","No sabe",0.089,0.086,0.058,0.069,0.193
"P22","Lo votaría",0.039,0.023,0.074,0.014,0.058
"P22","Puede que lo vote",0.078,0.112,0.078,0.06,0.117
"P22","Nunca lo votaría",0.644,0.558,0.551,0.594,0.487
"P22","No sabe",0.239,0.307,0.297,0.332,0.338
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.169,0.142,0.064,0.022,0.145
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.084,0.089,0.052,0.105,0.247
