"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Cristina Fernández de Kirchner por el Frente de Todos",0.333,0.296,0.368,0.322,0.346,0.331,0.317,0.334,0.317,0.357,0.337,0.325,0.701,0.077,0.092
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.258,0.243,0.273,0.189,0.202,0.295,0.385,0.251,0.267,0.252,0.258,0.259,0.074,0.492,0.265
"Javier Milei por los liberales libertarios",0.228,0.306,0.155,0.285,0.286,0.19,0.114,0.247,0.227,0.21,0.226,0.233,0.09,0.27,0.309
"Nicolás del Caño por la izquierda",0.026,0.02,0.031,0.048,0.03,0.016,0.01,0.015,0.027,0.035,0.026,0.026,0.019,0.007,0.031
"Otro candidato",0.092,0.094,0.09,0.115,0.073,0.101,0.099,0.071,0.106,0.093,0.091,0.093,0.062,0.111,0.153
"Aún no lo tengo decidido",0.063,0.041,0.083,0.041,0.063,0.067,0.075,0.082,0.056,0.053,0.062,0.064,0.054,0.043,0.15
