"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P05","Tengo trabajo estable",0.543,0.468,0.532,0.535,0.522,0.364
"P05","Realizo changas o trabajos de vez en cuando",0.167,0.151,0.178,0.14,0.204,0.28
"P05","No tengo trabajo",0.095,0.106,0.175,0.205,0.107,0.145
"P05","Soy jubilado o pensionado",0.195,0.275,0.115,0.12,0.167,0.211
"P06","1",0.163,0.352,0.418,0.142,0.255,0.377
"P06","2",0.047,0.067,0.068,0.084,0.064,0.054
"P06","3",0.038,0.065,0.09,0.031,0.067,0.031
"P06","4",0.032,0.089,0.063,0.081,0.111,0.05
"P06","5",0.152,0.247,0.182,0.095,0.285,0.265
"P06","6",0.062,0.034,0.049,0.064,0.057,0.058
"P06","7",0.158,0.041,0.016,0.071,0.072,0.035
"P06","8",0.079,0.023,0.022,0.133,0.02,0.038
"P06","9",0.269,0.082,0.092,0.299,0.069,0.092
"P07","1",0.5,0.16,0.17,0.157,0.144,0.293
"P07","2",0.077,0.026,0.03,0.118,0.058,0.069
"P07","3",0.051,0.031,0.01,0.032,0.019,0.036
"P07","4",0.033,0.038,0.013,0.053,0.115,0.042
"P07","5",0.135,0.253,0.132,0.342,0.273,0.231
"P07","6",0.028,0.075,0.039,0.074,0.037,0.087
"P07","7",0.046,0.068,0.118,0.042,0.062,0.04
"P07","8",0.023,0.076,0.104,0.025,0.113,0.016
"P07","9",0.107,0.273,0.384,0.157,0.179,0.186
"P08","1",0.648,0.234,0.198,0.59,0.301,0.305
"P08","2",0.024,0.034,0.025,0.038,0.015,0.033
"P08","3",0.024,0.025,0.04,0.013,0.026,0.039
"P08","4",0.026,0.02,0.032,0.016,0.015,0.008
"P08","5",0.073,0.155,0.135,0.065,0.15,0.137
"P08","6",0.01,0.017,0.014,0.024,0.042,0.038
"P08","7",0.012,0.031,0.061,0.041,0.041,0.037
"P08","8",0.015,0.039,0.037,0.07,0.047,0.021
"P08","9",0.168,0.445,0.458,0.143,0.363,0.382
"P10","Del Frente de Todos y el peronismo",0.878,0.047,0.021,0.072,0.122,0.178
"P10","De Cambiemos",0.032,0.844,0.198,0.171,0.536,0.236
"P10","De los Liberales libertarios",0.01,0.029,0.685,0.027,0.076,0.101
"P10","De la Izquierda",0.008,0.006,0.006,0.629,0.042,0.01
"P10","No sabe",0.072,0.074,0.09,0.101,0.224,0.475
"P11","A Alberto Fernández",0.119,0.235,0.222,0.075,0.061,0.21
"P11","A Sergio Massa",0.256,0.282,0.376,0.092,0.287,0.156
"P11","A algún candidato del peronismo",0.097,0.369,0.402,0.396,0.131,0.133
"P11","A algún candidato del kirchnerismo",0.528,0.114,0,0.437,0.521,0.501
"P12","A Alberto Fernández",0.064,0.214,0.222,0.075,0.04,0.266
"P12","A Sergio Massa",0.12,0.269,0.358,0.091,0.241,0.062
"P12","A algún candidato del peronismo",0.078,0.41,0.42,0.398,0.329,0.163
"P12","A Cristina Fernández de Kirchner",0.738,0.107,0,0.436,0.39,0.509
"P13","A Horacio Rodriguez Larreta",0.27,0.315,0.125,0.179,0.176,0.324
"P13","A Mauricio Macri",0.206,0.261,0.393,0.215,0.318,0.275
"P13","A Patricia Bullrich",0.186,0.374,0.464,0.606,0.429,0.294
"P13","A Facundo Manes",0.272,0.035,0.015,0,0.07,0.061
