"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P05","Tengo trabajo estable",0.559,0.449,0.55,0.445,0.571,0.352
"P05","Realizo changas o trabajos de vez en cuando",0.14,0.168,0.18,0.265,0.158,0.268
"P05","No tengo trabajo",0.091,0.11,0.156,0.167,0.125,0.203
"P05","Soy jubilado o pensionado",0.21,0.273,0.114,0.123,0.146,0.177
"P06","1",0.184,0.331,0.425,0.093,0.209,0.342
"P06","2",0.05,0.054,0.073,0.085,0.054,0.064
"P06","3",0.043,0.062,0.092,0.083,0.046,0.037
"P06","4",0.032,0.095,0.062,0.052,0.055,0.094
"P06","5",0.148,0.265,0.168,0.131,0.263,0.195
"P06","6",0.071,0.027,0.048,0.062,0.051,0.051
"P06","7",0.136,0.052,0.016,0.109,0.107,0.07
"P06","8",0.074,0.031,0.023,0.047,0.063,0.036
"P06","9",0.262,0.083,0.093,0.338,0.152,0.111
"P07","1",0.449,0.178,0.18,0.282,0.277,0.34
"P07","2",0.077,0.044,0.029,0.062,0.06,0.049
"P07","3",0.04,0.03,0.009,0.081,0.06,0.029
"P07","4",0.031,0.039,0.021,0.027,0.073,0.068
"P07","5",0.133,0.248,0.132,0.285,0.253,0.22
"P07","6",0.045,0.056,0.037,0.069,0.03,0.072
"P07","7",0.051,0.072,0.122,0.017,0.046,0.023
"P07","8",0.025,0.073,0.092,0.051,0.076,0.058
"P07","9",0.149,0.26,0.378,0.126,0.125,0.141
"P08","1",0.616,0.259,0.2,0.615,0.423,0.373
"P08","2",0.018,0.035,0.022,0.069,0.02,0.034
"P08","3",0.022,0.019,0.043,0.024,0.038,0.023
"P08","4",0.025,0.017,0.031,0.042,0.015,0.021
"P08","5",0.085,0.148,0.135,0.079,0.102,0.128
"P08","6",0.011,0.019,0.013,0.003,0.036,0.022
"P08","7",0.011,0.037,0.056,0.034,0.027,0.031
"P08","8",0.015,0.039,0.037,0.071,0.032,0.02
"P08","9",0.197,0.427,0.463,0.063,0.307,0.348
"P10","Del Frente de Todos y el peronismo",0.801,0.098,0.026,0.315,0.353,0.344
"P10","De Cambiemos",0.091,0.801,0.178,0.085,0.393,0.197
"P10","De los Liberales libertarios",0.013,0.023,0.697,0.069,0.034,0.097
"P10","De la Izquierda",0.016,0.004,0.005,0.465,0.035,0.017
"P10","No sabe",0.079,0.074,0.094,0.066,0.185,0.345
"P11","A Alberto Fernández",0.097,0.254,0.201,0.186,0.115,0.244
"P11","A Sergio Massa",0.338,0.235,0.326,0,0.038,0.067
"P11","A algún candidato del peronismo",0.087,0.286,0.358,0.299,0.077,0.121
"P11","A algún candidato del kirchnerismo",0.478,0.225,0.115,0.515,0.77,0.568
"P12","A Alberto Fernández",0.064,0.148,0.216,0.084,0.016,0.171
"P12","A Sergio Massa",0.18,0.092,0.311,0,0.014,0.023
"P12","A algún candidato del peronismo",0.072,0.306,0.358,0.127,0.133,0.104
"P12","A Cristina Fernández de Kirchner",0.684,0.454,0.115,0.789,0.837,0.702
"P13","A Horacio Rodriguez Larreta",0.216,0.318,0.134,0.347,0.196,0.244
"P13","A Mauricio Macri",0.164,0.279,0.359,0.595,0.319,0.19
"P13","A Patricia Bullrich",0.431,0.358,0.484,0.058,0.382,0.469
"P13","A Facundo Manes",0.155,0.03,0.021,0,0.095,0.063
"P13","A Gerardo Morales",0.034,0.015,0.002,0,0.008,0.034
"P14","Seguro lo votaria",0.117,0.124,0.449,0.16,0.081,0.059
"P14","Quizás lo votaría",0.32,0.357,0.448,0.512,0.246,0.335
"P14","Nunca lo votaría",0.563,0.519,0.103,0.328,0.673,0.606
"P15","Lo votaría",0.728,0.071,0.032,0.325,0.33,0.284
"P15","Puede que lo vote",0.105,0.05,0.018,0.188,0.074,0.08
"P15","Nunca lo votaría",0.117,0.837,0.905,0.326,0.555,0.473
"P15","No sabe",0.05,0.042,0.045,0.161,0.041,0.163
"P16","Lo votaría",0.299,0.057,0.024,0.172,0.118,0.097
"P16","Puede que lo vote",0.387,0.11,0.064,0.2,0.185,0.201
"P16","Nunca lo votaría",0.2,0.778,0.841,0.457,0.6,0.484
"P16","No sabe",0.114,0.055,0.071,0.171,0.097,0.218
"P17","Lo votaría",0.08,0.474,0.136,0.032,0.078,0.092
"P17","Puede que lo vote",0.142,0.332,0.338,0.155,0.228,0.234
"P17","Nunca lo votaría",0.715,0.151,0.438,0.697,0.619,0.382
"P17","No sabe",0.063,0.043,0.088,0.116,0.075,0.292
"P18","Lo votaría",0.047,0.33,0.138,0.031,0.104,0.072
"P18","Puede que lo vote",0.082,0.368,0.319,0.065,0.214,0.17
"P18","Nunca lo votaría",0.765,0.207,0.419,0.828,0.587,0.444
"P18","No sabe",0.106,0.095,0.124,0.076,0.095,0.314
"P19","Lo votaría",0.423,0.084,0.038,0.072,0.035,0.064
"P19","Puede que lo vote",0.39,0.116,0.079,0.233,0.251,0.255
"P19","Nunca lo votaría",0.17,0.769,0.858,0.597,0.662,0.501
"P19","No sabe",0.017,0.031,0.025,0.098,0.052,0.18
"P20","Lo votaría",0.047,0.083,0.05,0.03,0.038,0.027
"P20","Puede que lo vote",0.151,0.272,0.18,0.058,0.181,0.139
"P20","Nunca lo votaría",0.613,0.486,0.585,0.614,0.661,0.514
"P20","No sabe",0.189,0.159,0.185,0.298,0.12,0.32
"P21","Lo votaría",0.035,0.189,0.543,0.075,0.084,0.106
"P21","Puede que lo vote",0.075,0.352,0.245,0.048,0.21,0.219
"P21","Nunca lo votaría",0.806,0.351,0.157,0.852,0.661,0.444
"P21","No sabe",0.084,0.108,0.055,0.025,0.045,0.231
"P22","Lo votaría",0.013,0.048,0.082,0.014,0.048,0.026
"P22","Puede que lo vote",0.058,0.148,0.097,0.035,0.098,0.066
"P22","Nunca lo votaría",0.707,0.527,0.499,0.591,0.634,0.453
"P22","No sabe",0.222,0.277,0.322,0.36,0.22,0.455
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.035,0.286,0.109,0.069,0.128,0.108
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.03,0.283,0.021,0.064,0.039,0.077
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.06,0.252,0.162,0.087,0.192,0.147
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.062,0.033,0.013,0.066,0.026,0.083
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.592,0.07,0.014,0.306,0.337,0.287
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.18,0.049,0.069,0.066,0.052,0.028
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.007,0.012,0.585,0.006,0.007,0.067
"P23","A los candidatos de la izquierda",0.007,0.001,0.004,0.309,0.028,0.013
"P23","Otros candidatos",0.027,0.014,0.023,0.027,0.191,0.19
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.062,0.42,0.184,0.109,0.306,0.188
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.035,0.383,0.046,0.125,0.057,0.082
