"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P05","Tengo trabajo estable",0.561,0.484,0.516
"P05","Realizo changas o trabajos de vez en cuando",0.146,0.158,0.205
"P05","No tengo trabajo",0.091,0.126,0.14
"P05","Soy jubilado o pensionado",0.202,0.232,0.139
"P06","1",0.151,0.418,0.249
"P06","2",0.045,0.068,0.063
"P06","3",0.026,0.079,0.052
"P06","4",0.035,0.088,0.075
"P06","5",0.149,0.193,0.294
"P06","6",0.074,0.046,0.041
"P06","7",0.177,0.033,0.037
"P06","8",0.081,0.019,0.037
"P06","9",0.262,0.056,0.152
"P07","1",0.44,0.165,0.234
"P07","2",0.09,0.03,0.025
"P07","3",0.058,0.021,0.026
"P07","4",0.043,0.034,0.035
"P07","5",0.134,0.179,0.282
"P07","6",0.031,0.066,0.058
"P07","7",0.053,0.089,0.067
"P07","8",0.026,0.098,0.073
"P07","9",0.125,0.318,0.2
"P08","1",0.641,0.207,0.312
"P08","2",0.025,0.027,0.033
"P08","3",0.021,0.031,0.048
"P08","4",0.036,0.021,0.021
"P08","5",0.078,0.155,0.117
"P08","6",0.007,0.022,0.024
"P08","7",0.012,0.051,0.036
"P08","8",0.024,0.041,0.035
"P08","9",0.156,0.445,0.374
"P10","Del Frente de Todos y el peronismo",0.81,0.026,0.194
"P10","De Cambiemos",0.04,0.661,0.169
"P10","De los Liberales libertarios",0.021,0.261,0.314
"P10","De la Izquierda",0.037,0.002,0.068
"P10","No sabe",0.092,0.05,0.255
"P11","A Alberto Fernández",0.103,0.289,0.119
"P11","A Sergio Massa",0.294,0.012,0.054
"P11","A algún candidato del peronismo",0.077,0.601,0.195
"P11","A algún candidato del kirchnerismo",0.526,0.098,0.632
"P12","A Alberto Fernández",0.044,0.229,0.112
"P12","A Sergio Massa",0.133,0.011,0.011
"P12","A algún candidato del peronismo",0.077,0.657,0.128
"P12","A Cristina Fernández de Kirchner",0.746,0.103,0.749
"P13","A Horacio Rodriguez Larreta",0.229,0.251,0.377
"P13","A Mauricio Macri",0.198,0.31,0.182
"P13","A Patricia Bullrich",0.276,0.41,0.24
"P13","A Facundo Manes",0.279,0.022,0.131
"P13","A Gerardo Morales",0.018,0.007,0.07
"P14","Seguro lo votaria",0.125,0.145,0.108
"P14","Quizás lo votaría",0.335,0.358,0.281
"P14","Nunca lo votaría",0.54,0.497,0.611
"P15","Lo votaría",0.748,0.017,0.184
"P15","Puede que lo vote",0.088,0.025,0.058
"P15","Nunca lo votaría",0.084,0.942,0.648
"P15","No sabe",0.08,0.016,0.11
"P16","Lo votaría",0.296,0.013,0.09
"P16","Puede que lo vote",0.426,0.049,0.145
"P16","Nunca lo votaría",0.15,0.91,0.63
"P16","No sabe",0.128,0.028,0.135
"P17","Lo votaría",0.053,0.358,0.062
"P17","Puede que lo vote",0.126,0.376,0.249
"P17","Nunca lo votaría",0.763,0.22,0.539
"P17","No sabe",0.058,0.046,0.15
"P18","Lo votaría",0.021,0.321,0.051
"P18","Puede que lo vote",0.045,0.393,0.178
"P18","Nunca lo votaría",0.834,0.202,0.568
"P18","No sabe",0.1,0.084,0.203
"P19","Lo votaría",0.364,0.043,0.054
"P19","Puede que lo vote",0.428,0.066,0.16
"P19","Nunca lo votaría",0.174,0.871,0.673
"P19","No sabe",0.034,0.02,0.113
"P20","Lo votaría",0.047,0.072,0.035
"P20","Puede que lo vote",0.144,0.244,0.132
"P20","Nunca lo votaría",0.615,0.536,0.604
"P20","No sabe",0.194,0.148,0.229
"P21","Lo votaría",0.025,0.34,0.218
"P21","Puede que lo vote",0.055,0.35,0.196
"P21","Nunca lo votaría",0.844,0.244,0.458
"P21","No sabe",0.076,0.066,0.128
"P22","Lo votaría",0.009,0.063,0.057
"P22","Puede que lo vote",0.048,0.14,0.077
"P22","Nunca lo votaría",0.694,0.515,0.548
"P22","No sabe",0.249,0.282,0.318
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.021,0.271,0.065
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.027,0.144,0.085
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.033,0.284,0.103
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.05,0.013,0.049
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.626,0.021,0.181
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.158,0.049,0.066
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.018,0.193,0.266
"P23","A los candidatos de la izquierda",0.029,0.001,0.034
"P23","Otros candidatos",0.038,0.024,0.151
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.028,0.456,0.116
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.044,0.211,0.122
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.138,0.032,0.058
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.659,0.023,0.074
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.031,0.209,0.317
"P24","A los candidatos de la izquierda",0.045,0.023,0.074
"P24","Otros candidatos",0.055,0.046,0.239
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.852,0.011,0.151
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.02,0.566,0.045
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.028,0.3,0.353
"P26","A los candidatos de la izquierda",0.035,0.014,0.079
"P26","Otro candidato",0.065,0.109,0.372
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.244,0.389,0.159
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.637,0.142,0.201
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.028,0.344,0.36
"P28","A los candidatos de la izquierda",0.032,0.003,0.044
"P28","Otro candidato",0.059,0.122,0.236
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.448,0.337,0.184
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.433,0.312,0.169
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.022,0.268,0.364
"P30","A los candidatos de la izquierda",0.027,0.003,0.057
"P30","Otro candidato",0.07,0.08,0.226
"P31","Sergio Massa por el Frente de Todos",0.552,0.159,0.093
"P31","Patricia Bullrich por Juntos por el Cambio",0.192,0.496,0.09
"P31","Javier Milei por los liberales libertarios",0.022,0.254,0.339
"P31","Nicolás del Caño por la izquierda",0.04,0.002,0.069
"P31","Otro candidato",0.098,0.053,0.208
"P31","Aún no lo tengo decidido",0.096,0.036,0.201
"P33","Sergio Massa por el Frente de Todos",0.721,0.046,0.04
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.071,0.456,0.129
"P33","Javier Milei por los liberales libertarios",0.024,0.336,0.354
"P33","Nicolás del Caño por la izquierda",0.037,0.007,0.08
"P33","Otro candidato",0.091,0.103,0.185
"P33","Aún no lo tengo decidido",0.056,0.052,0.212
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.817,0.01,0.201
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.498,0.14
"P34","Javier Milei por los liberales libertarios",0.026,0.346,0.352
"P34","Nicolás del Caño por la izquierda",0.035,0.01,0.05
"P34","Otro candidato",0.046,0.106,0.128
"P34","Aún no lo tengo decidido",0.043,0.03,0.129
"P35","Sergio Massa por el Frente de Todos",0.396,0.335,0.063
"P35","Mauricio Macri por Juntos por el Cambio",0.398,0.3,0.05
"P35","Javier Milei por los liberales libertarios",0.026,0.264,0.375
"P35","Nicolás del Caño por la izquierda",0.047,0.003,0.078
"P35","Otro candidato",0.078,0.076,0.255
"P35","Aún no lo tengo decidido",0.055,0.022,0.179
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.84,0.066,0.214
"P36","Mauricio Macri por Juntos por el Cambio",0.08,0.843,0.092
"P36","No sabe",0.08,0.091,0.694
"P37","Alberto Fernández por el Frente de Todos",0.754,0.017,0.114
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.786,0.186
"P37","No sabe",0.197,0.197,0.7
"P38","Sergio Massa presidente por el Frente de Todos",0.897,0.007,0.053
"P38","Patricia Bullrich por Juntos por el Cambio",0.026,0.922,0.258
"P38","No sabe",0.077,0.071,0.689
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.886,0.014,0.214
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.043,0.847,0.227
"P39","No sabe",0.071,0.139,0.559
"P40","Sergio Massa presidente por el Frente de Todos",0.913,0.009,0.079
"P40","Javier Milei por los liberales libertarios",0.029,0.64,0.334
