"var","categoria","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos","Javier Milei presidente - José Luis Espert gobernador por los liberales","A los candidatos de la izquierda","Otros candidatos"
"P22","Nunca lo votaría",0.437,0.536,0.563,0.317,0.685,0.792,0.501,0.537,0.461
"P22","No sabe",0.382,0.304,0.256,0.549,0.231,0.155,0.338,0.393,0.422
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.521,0.067,0.7,0.121,0.013,0.133,0.038,0.011,0.081
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.228,0.731,0.051,0.087,0.045,0.056,0.014,0.013,0.073
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.049,0.026,0.035,0.467,0.142,0.168,0.01,0.015,0.047
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.059,0.057,0.027,0.207,0.614,0.441,0.013,0.036,0.148
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.058,0.086,0.063,0.027,0.045,0.124,0.827,0.043,0.059
"P24","A los candidatos de la izquierda",0.002,0.003,0.094,0.017,0.04,0.031,0.002,0.783,0.017
"P24","Otros candidatos",0.083,0.03,0.03,0.074,0.101,0.047,0.096,0.099,0.575
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.045,0.065,0.043,0.529,0.9,0.633,0.008,0.125,0.037
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.782,0.403,0.471,0.119,0.02,0.119,0.032,0.013,0.108
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.067,0.148,0.23,0.075,0.013,0.174,0.919,0.047,0.07
"P26","A los candidatos de la izquierda",0.007,0.028,0.034,0.056,0.018,0.003,0.016,0.689,0.008
"P26","Otro candidato",0.099,0.356,0.222,0.221,0.049,0.071,0.025,0.126,0.777
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.47,0.629,0.356,0.199,0.235,0.241,0.013,0.07,0.046
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.201,0.195,0.15,0.475,0.724,0.494,0.022,0.114,0.116
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.163,0.047,0.264,0.075,0.013,0.18,0.931,0.049,0.091
"P28","A los candidatos de la izquierda",0.007,0.021,0.009,0.059,0.005,0.004,0.003,0.647,0.012
"P28","Otro candidato",0.159,0.108,0.221,0.192,0.023,0.081,0.031,0.12,0.735
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.423,0.283,0.41,0.39,0.482,0.392,0.039,0.016,0.023
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.349,0.294,0.427,0.289,0.485,0.333,0.031,0.159,0.152
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.097,0.107,0.107,0.072,0.012,0.19,0.916,0.038,0.093
"P30","A los candidatos de la izquierda",0.004,0.024,0.015,0.05,0.002,0.017,0.001,0.673,0.024
"P30","Otro candidato",0.127,0.292,0.041,0.199,0.019,0.068,0.013,0.114,0.708
"P31","Sergio Massa por el Frente de Todos",0.214,0.202,0.222,0.4,0.475,0.471,0.024,0.122,0.141
"P31","Patricia Bullrich por Juntos por el Cambio",0.57,0.383,0.62,0.209,0.174,0.21,0.048,0.007,0.046
"P31","Javier Milei por los liberales libertarios",0.079,0.072,0.077,0.058,0.01,0.187,0.899,0.038,0.096
"P31","Nicolás del Caño por la izquierda",0.004,0.023,0.013,0.039,0.033,0.019,0.001,0.551,0.022
"P31","Otro candidato",0.071,0.196,0.031,0.114,0.165,0.048,0.008,0.119,0.405
"P31","Aún no lo tengo decidido",0.062,0.124,0.037,0.18,0.143,0.065,0.02,0.163,0.29
"P33","Sergio Massa por el Frente de Todos",0.071,0.083,0.102,0.402,0.612,0.554,0.014,0.106,0.12
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.535,0.722,0.405,0.2,0.068,0.14,0.021,0.02,0.06
"P33","Javier Milei por los liberales libertarios",0.181,0.048,0.23,0.069,0.012,0.177,0.91,0.045,0.087
"P33","Nicolás del Caño por la izquierda",0.015,0.019,0.017,0.048,0.035,0.023,0.001,0.548,0.013
"P33","Otro candidato",0.116,0.048,0.15,0.075,0.159,0.073,0.006,0.204,0.393
"P33","Aún no lo tengo decidido",0.082,0.08,0.096,0.206,0.114,0.033,0.048,0.077,0.327
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.056,0.042,0.052,0.482,0.913,0.558,0.007,0.039,0.076
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.558,0.758,0.457,0.138,0.027,0.145,0.026,0.041,0.074
"P34","Javier Milei por los liberales libertarios",0.193,0.049,0.244,0.062,0.011,0.18,0.927,0.039,0.097
"P34","Nicolás del Caño por la izquierda",0.012,0.026,0.034,0.057,0.005,0.002,0.002,0.637,0.023
"P34","Otro candidato",0.105,0.043,0.162,0.094,0.023,0.072,0.008,0.217,0.459
"P34","Aún no lo tengo decidido",0.076,0.082,0.051,0.167,0.021,0.043,0.03,0.027,0.271
"P35","Sergio Massa por el Frente de Todos",0.376,0.346,0.341,0.287,0.37,0.373,0.046,0.027,0.146
"P35","Mauricio Macri por Juntos por el Cambio",0.471,0.241,0.275,0.292,0.348,0.356,0.041,0.071,0.056
"P35","Javier Milei por los liberales libertarios",0.064,0.099,0.191,0.058,0.014,0.181,0.878,0.044,0.091
"P35","Nicolás del Caño por la izquierda",0.004,0.017,0.018,0.058,0.038,0,0.002,0.683,0.019
"P35","Otro candidato",0.044,0.211,0.129,0.089,0.134,0.041,0.016,0.165,0.467
"P35","Aún no lo tengo decidido",0.041,0.086,0.046,0.216,0.096,0.049,0.017,0.01,0.221
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.084,0.116,0.074,0.507,0.919,0.588,0.038,0.467,0.16
"P36","Mauricio Macri por Juntos por el Cambio",0.848,0.619,0.757,0.189,0.06,0.199,0.468,0.1,0.18
"P36","No sabe",0.068,0.265,0.169,0.304,0.021,0.213,0.494,0.433,0.66
"P37","Alberto Fernández por el Frente de Todos",0.032,0.08,0.03,0.619,0.715,0.545,0.034,0.334,0.116
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.754,0.857,0.734,0.153,0.042,0.138,0.404,0.142,0.227
