"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P05","Tengo trabajo estable",0.483,0.547,0.521
"P05","Realizo changas o trabajos de vez en cuando",0.139,0.183,0.167
"P05","No tengo trabajo",0.109,0.139,0.099
"P05","Soy jubilado o pensionado",0.269,0.131,0.213
"P06","1",0.332,0.403,0.185
"P06","2",0.058,0.082,0.043
"P06","3",0.062,0.081,0.035
"P06","4",0.088,0.07,0.051
"P06","5",0.237,0.189,0.178
"P06","6",0.048,0.045,0.062
"P06","7",0.055,0.028,0.146
"P06","8",0.034,0.014,0.074
"P06","9",0.086,0.088,0.226
"P07","1",0.179,0.181,0.398
"P07","2",0.033,0.028,0.079
"P07","3",0.039,0.016,0.046
"P07","4",0.053,0.017,0.041
"P07","5",0.226,0.157,0.174
"P07","6",0.084,0.045,0.032
"P07","7",0.071,0.11,0.051
"P07","8",0.066,0.105,0.047
"P07","9",0.249,0.341,0.132
"P08","1",0.316,0.171,0.561
"P08","2",0.032,0.028,0.026
"P08","3",0.032,0.031,0.032
"P08","4",0.021,0.034,0.023
"P08","5",0.124,0.163,0.092
"P08","6",0.025,0.015,0.012
"P08","7",0.037,0.052,0.022
"P08","8",0.042,0.041,0.025
"P08","9",0.371,0.465,0.207
"P10","Del Frente de Todos y el peronismo",0.163,0.048,0.655
"P10","De Cambiemos",0.699,0.315,0.108
"P10","De los Liberales libertarios",0.034,0.549,0.046
"P10","De la Izquierda",0.013,0.009,0.05
"P10","No sabe",0.091,0.079,0.141
"P11","A Alberto Fernández",0.152,0.194,0.101
"P11","A Sergio Massa",0.394,0.179,0.232
"P11","A algún candidato del peronismo",0.065,0.373,0.1
"P11","A algún candidato del kirchnerismo",0.389,0.254,0.567
"P12","A Alberto Fernández",0.118,0.156,0.041
"P12","A Sergio Massa",0.199,0.066,0.102
"P12","A algún candidato del peronismo",0.099,0.459,0.083
"P12","A Cristina Fernández de Kirchner",0.584,0.319,0.774
"P13","A Horacio Rodriguez Larreta",0.331,0.153,0.126
"P13","A Mauricio Macri",0.241,0.338,0.466
"P13","A Patricia Bullrich",0.365,0.478,0.303
"P13","A Facundo Manes",0.045,0.028,0.079
"P13","A Gerardo Morales",0.018,0.003,0.026
"P14","Seguro lo votaria",0.109,0.262,0.062
"P14","Quizás lo votaría",0.347,0.405,0.262
"P14","Nunca lo votaría",0.544,0.333,0.676
"P15","Lo votaría",0.138,0.046,0.603
"P15","Puede que lo vote",0.056,0.023,0.075
"P15","Nunca lo votaría",0.779,0.887,0.235
"P15","No sabe",0.027,0.044,0.087
"P16","Lo votaría",0.072,0.035,0.233
"P16","Puede que lo vote",0.128,0.073,0.329
"P16","Nunca lo votaría",0.751,0.848,0.298
"P16","No sabe",0.049,0.044,0.14
"P17","Lo votaría",0.4,0.183,0.043
"P17","Puede que lo vote",0.341,0.354,0.149
"P17","Nunca lo votaría",0.21,0.401,0.712
"P17","No sabe",0.049,0.062,0.096
"P18","Lo votaría",0.305,0.181,0.042
"P18","Puede que lo vote",0.326,0.347,0.076
"P18","Nunca lo votaría",0.273,0.373,0.741
"P18","No sabe",0.096,0.099,0.141
"P19","Lo votaría",0.097,0.06,0.26
"P19","Puede que lo vote",0.15,0.089,0.338
"P19","Nunca lo votaría",0.717,0.829,0.34
"P19","No sabe",0.036,0.022,0.062
"P20","Lo votaría",0.074,0.06,0.035
"P20","Puede que lo vote",0.294,0.179,0.111
"P20","Nunca lo votaría",0.482,0.618,0.625
"P20","No sabe",0.15,0.143,0.229
"P21","Lo votaría",0.174,0.466,0.05
"P21","Puede que lo vote",0.322,0.289,0.095
"P21","Nunca lo votaría",0.428,0.189,0.754
"P21","No sabe",0.076,0.056,0.101
"P22","Lo votaría",0.049,0.07,0.022
"P22","Puede que lo vote",0.142,0.109,0.046
"P22","Nunca lo votaría",0.555,0.525,0.648
"P22","No sabe",0.254,0.296,0.284
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.234,0.144,0.068
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.254,0.024,0.022
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.25,0.216,0.062
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.027,0.021,0.045
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.119,0.034,0.524
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.065,0.073,0.122
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.008,0.461,0.029
"P23","A los candidatos de la izquierda",0.009,0.006,0.032
"P23","Otros candidatos",0.034,0.021,0.096
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.401,0.279,0.091
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.307,0.071,0.054
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.062,0.047,0.102
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.136,0.027,0.495
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.03,0.488,0.046
"P24","A los candidatos de la izquierda",0.024,0.025,0.065
"P24","Otros candidatos",0.04,0.063,0.147
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.168,0.032,0.654
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.551,0.252,0.08
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.069,0.632,0.034
"P26","A los candidatos de la izquierda",0.028,0.015,0.055
"P26","Otro candidato",0.184,0.069,0.177
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.545,0.127,0.225
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.273,0.086,0.525
