"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Muy buena",0.061,0.044,0.077,0.011,0.074,0.061,0.071,0.092,0.056,0.038,0.066,0.053,0.137,0.012,0.018
"Buena",0.127,0.121,0.134,0.095,0.123,0.146,0.133,0.124,0.118,0.144,0.137,0.11,0.25,0.039,0.048
"Ni buena ni mala",0.158,0.126,0.186,0.127,0.192,0.137,0.141,0.169,0.151,0.155,0.154,0.164,0.297,0.044,0.118
"Mala",0.132,0.14,0.124,0.147,0.132,0.12,0.137,0.135,0.129,0.134,0.121,0.151,0.133,0.136,0.179
"Muy mala",0.519,0.568,0.473,0.62,0.478,0.529,0.513,0.478,0.542,0.524,0.518,0.519,0.182,0.767,0.633
"No sabe",0.003,0.001,0.006,0,0.001,0.007,0.005,0.002,0.004,0.005,0.004,0.003,0.001,0.002,0.004
