"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P06","1",0.297,0.296,0.295,0.296
"P06","2",0.053,0.117,0.076,0.045
"P06","3",0.054,0.035,0.106,0.05
"P06","4",0.06,0.034,0.047,0.105
"P06","5",0.212,0.185,0.203,0.172
"P06","6",0.053,0.034,0.032,0.042
"P06","7",0.089,0.046,0.033,0.066
"P06","8",0.045,0.038,0.048,0.048
"P06","9",0.137,0.215,0.16,0.176
"P07","1",0.271,0.326,0.313,0.309
"P07","2",0.048,0.049,0.058,0.047
"P07","3",0.037,0.023,0.039,0.039
"P07","4",0.038,0.04,0.037,0.041
"P07","5",0.204,0.172,0.18,0.164
"P07","6",0.048,0.045,0.035,0.043
"P07","7",0.077,0.033,0.039,0.051
"P07","8",0.068,0.047,0.063,0.048
"P07","9",0.209,0.265,0.236,0.258
"P08","1",0.419,0.303,0.377,0.384
"P08","2",0.034,0.029,0.024,0.023
"P08","3",0.04,0.015,0.015,0.019
"P08","4",0.022,0.013,0.035,0.028
"P08","5",0.123,0.112,0.094,0.099
"P08","6",0.02,0.017,0.023,0.018
"P08","7",0.033,0.033,0.027,0.021
"P08","8",0.032,0.027,0.041,0.028
"P08","9",0.277,0.451,0.364,0.38
"P10","Del Frente de Todos y el peronismo",0.353,0.269,0.247,0.332
"P10","De Cambiemos",0.296,0.285,0.326,0.417
"P10","De los Liberales libertarios",0.195,0.181,0.163,0.111
"P10","De la Izquierda",0.022,0.043,0.028,0.024
"P10","No sabe",0.134,0.222,0.236,0.116
"P11","A Alberto Fernández",0.105,0.318,0.273,0.129
"P11","A Sergio Massa",0.246,0.251,0.189,0.262
"P11","A algún candidato del peronismo",0.154,0.05,0.117,0.12
"P11","A algún candidato del kirchnerismo",0.495,0.381,0.421,0.489
"P12","A Alberto Fernández",0.059,0.171,0.154,0.088
"P12","A Sergio Massa",0.122,0.185,0.132,0.156
"P12","A algún candidato del peronismo",0.137,0.044,0.129,0.096
"P12","A Cristina Fernández de Kirchner",0.682,0.6,0.585,0.66
"P13","A Horacio Rodriguez Larreta",0.288,0.249,0.225,0.194
"P13","A Mauricio Macri",0.263,0.399,0.307,0.257
"P13","A Patricia Bullrich",0.362,0.284,0.402,0.481
"P13","A Facundo Manes",0.067,0.058,0.049,0.041
"P13","A Gerardo Morales",0.02,0.01,0.017,0.027
"P14","Seguro lo votaria",0.173,0.168,0.189,0.149
"P14","Quizás lo votaría",0.381,0.356,0.345,0.323
"P14","Nunca lo votaría",0.446,0.476,0.466,0.528
"P15","Lo votaría",0.31,0.246,0.223,0.291
"P15","Puede que lo vote",0.076,0.111,0.103,0.054
"P15","Nunca lo votaría",0.551,0.524,0.561,0.586
"P15","No sabe",0.063,0.119,0.113,0.069
"P16","Lo votaría",0.135,0.133,0.09,0.132
"P16","Puede que lo vote",0.212,0.153,0.157,0.182
"P16","Nunca lo votaría",0.562,0.526,0.57,0.579
"P16","No sabe",0.091,0.188,0.183,0.107
"P17","Lo votaría",0.159,0.151,0.182,0.244
"P17","Puede que lo vote",0.247,0.227,0.244,0.248
"P17","Nunca lo votaría",0.513,0.433,0.396,0.408
"P17","No sabe",0.081,0.189,0.178,0.1
"P18","Lo votaría",0.122,0.116,0.102,0.219
"P18","Puede que lo vote",0.229,0.218,0.189,0.235
"P18","Nunca lo votaría",0.536,0.438,0.482,0.423
"P18","No sabe",0.113,0.228,0.227,0.123
"P19","Lo votaría",0.152,0.16,0.104,0.181
"P19","Puede que lo vote",0.238,0.198,0.137,0.192
"P19","Nunca lo votaría",0.561,0.569,0.618,0.579
"P19","No sabe",0.049,0.073,0.141,0.048
"P20","Lo votaría",0.052,0.04,0.042,0.07
"P20","Puede que lo vote",0.188,0.165,0.126,0.215
"P20","Nunca lo votaría",0.594,0.515,0.546,0.496
"P20","No sabe",0.166,0.28,0.286,0.219
"P21","Lo votaría",0.189,0.21,0.193,0.18
"P21","Puede que lo vote",0.199,0.184,0.192,0.238
"P21","Nunca lo votaría",0.533,0.423,0.442,0.466
"P21","No sabe",0.079,0.183,0.173,0.116
"P22","Lo votaría",0.048,0.03,0.043,0.026
"P22","Puede que lo vote",0.098,0.082,0.063,0.099
"P22","Nunca lo votaría",0.599,0.513,0.538,0.542
"P22","No sabe",0.255,0.375,0.356,0.333
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.102,0.153,0.143,0.206
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.097,0.083,0.146,0.101
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.148,0.119,0.182,0.189
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.033,0.06,0.075,0.04
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.267,0.234,0.178,0.245
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.108,0.079,0.05,0.079
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.153,0.17,0.148,0.067
"P23","A los candidatos de la izquierda",0.019,0.033,0.01,0.012
"P23","Otros candidatos",0.073,0.069,0.068,0.061
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.203,0.186,0.212,0.305
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.129,0.139,0.154,0.156
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.071,0.137,0.112,0.085
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.272,0.17,0.116,0.263
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.19,0.192,0.182,0.092
"P24","A los candidatos de la izquierda",0.04,0.054,0.07,0.029
"P24","Otros candidatos",0.095,0.122,0.154,0.07
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.347,0.348,0.261,0.339
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.222,0.227,0.256,0.343
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.246,0.213,0.262,0.127
"P26","A los candidatos de la izquierda",0.028,0.053,0.034,0.021
"P26","Otro candidato",0.157,0.159,0.187,0.17
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.267,0.243,0.221,0.37
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.33,0.339,0.303,0.353
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.252,0.244,0.283,0.131
"P28","A los candidatos de la izquierda",0.02,0.027,0.023,0.018
"P28","Otro candidato",0.131,0.147,0.17,0.128
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.332,0.3,0.312,0.376
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.312,0.321,0.269,0.403
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.225,0.208,0.247,0.11
"P30","A los candidatos de la izquierda",0.018,0.045,0.024,0.014
"P30","Otro candidato",0.113,0.126,0.148,0.097
"P31","Sergio Massa por el Frente de Todos",0.276,0.284,0.2,0.338
"P31","Patricia Bullrich por Juntos por el Cambio",0.282,0.22,0.294,0.391
"P31","Javier Milei por los liberales libertarios",0.206,0.21,0.236,0.084
"P31","Nicolás del Caño por la izquierda",0.025,0.04,0.034,0.018
"P31","Otro candidato",0.133,0.104,0.101,0.074
"P31","Aún no lo tengo decidido",0.078,0.142,0.135,0.095
"P33","Sergio Massa por el Frente de Todos",0.297,0.216,0.19,0.296
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.224,0.242,0.216,0.361
"P33","Javier Milei por los liberales libertarios",0.243,0.229,0.272,0.134
"P33","Nicolás del Caño por la izquierda",0.026,0.045,0.039,0.019
"P33","Otro candidato",0.138,0.111,0.12,0.094
"P33","Aún no lo tengo decidido",0.072,0.157,0.163,0.096
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.356,0.317,0.256,0.336
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.238,0.223,0.222,0.366
"P34","Javier Milei por los liberales libertarios",0.24,0.232,0.325,0.135
"P34","Nicolás del Caño por la izquierda",0.027,0.021,0.043,0.016
"P34","Otro candidato",0.094,0.107,0.08,0.079
"P34","Aún no lo tengo decidido",0.045,0.1,0.074,0.068
"P35","Sergio Massa por el Frente de Todos",0.301,0.288,0.212,0.346
"P35","Mauricio Macri por Juntos por el Cambio",0.258,0.26,0.273,0.341
"P35","Javier Milei por los liberales libertarios",0.217,0.221,0.263,0.109
"P35","Nicolás del Caño por la izquierda",0.027,0.039,0.041,0.024
"P35","Otro candidato",0.141,0.097,0.107,0.096
"P35","Aún no lo tengo decidido",0.056,0.095,0.104,0.084
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.4,0.35,0.276,0.366
"P36","Mauricio Macri por Juntos por el Cambio",0.38,0.402,0.46,0.508
"P36","No sabe",0.22,0.248,0.264,0.126
"P37","Alberto Fernández por el Frente de Todos",0.308,0.299,0.215,0.302
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.39,0.364,0.425,0.481
"P37","No sabe",0.302,0.337,0.36,0.217
"P38","Sergio Massa presidente por el Frente de Todos",0.349,0.289,0.223,0.342
"P38","Patricia Bullrich por Juntos por el Cambio",0.447,0.43,0.534,0.546
"P38","No sabe",0.204,0.281,0.243,0.112
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.379,0.356,0.252,0.36
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.423,0.403,0.467,0.511
"P39","No sabe",0.198,0.241,0.281,0.129
"P40","Sergio Massa presidente por el Frente de Todos",0.366,0.288,0.229,0.335
"P40","Javier Milei por los liberales libertarios",0.385,0.34,0.426,0.3
"P40","No sabe",0.249,0.372,0.345,0.365
"P41","Sergio Massa por el Frente de Todos",0.353,0.278,0.239,0.332
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.404,0.388,0.481,0.487
"P41","No sabe",0.243,0.334,0.28,0.181
"P42","Sergio Massa por el Frente de Todos",0.365,0.3,0.26,0.333
"P42","Mauricio Macri por Juntos por el Cambio",0.436,0.45,0.501,0.531
"P42","No sabe",0.199,0.25,0.239,0.136
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.292,0.266,0.298,0.407
"P43","Javier Milei por los liberales libertarios",0.313,0.332,0.361,0.187
"P43","No sabe",0.395,0.402,0.341,0.406
"P44","Muy buena",0.076,0.05,0.062,0.086
"P44","Buena",0.186,0.142,0.217,0.173
"P44","Ni buena ni mala",0.184,0.201,0.086,0.159
"P44","Mala",0.101,0.11,0.106,0.08
"P44","Muy mala",0.445,0.482,0.517,0.497
"P44","No sabe",0.008,0.015,0.012,0.005
"P45","Muy buena",0.048,0.078,0.074,0.076
"P45","Buena",0.134,0.09,0.114,0.147
"P45","Ni buena ni mala",0.165,0.191,0.092,0.148
"P45","Mala",0.137,0.111,0.164,0.117
