"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P05","Tengo trabajo estable",0.534,0.489,0.517
"P05","Realizo changas o trabajos de vez en cuando",0.174,0.152,0.193
"P05","No tengo trabajo",0.089,0.126,0.146
"P05","Soy jubilado o pensionado",0.203,0.233,0.144
"P06","1",0.156,0.373,0.31
"P06","2",0.041,0.073,0.056
"P06","3",0.036,0.073,0.05
"P06","4",0.04,0.085,0.063
"P06","5",0.141,0.23,0.232
"P06","6",0.063,0.04,0.056
"P06","7",0.154,0.036,0.065
"P06","8",0.08,0.023,0.033
"P06","9",0.289,0.067,0.135
"P07","1",0.455,0.163,0.253
"P07","2",0.084,0.026,0.047
"P07","3",0.048,0.024,0.03
"P07","4",0.031,0.044,0.036
"P07","5",0.137,0.219,0.195
"P07","6",0.032,0.068,0.041
"P07","7",0.042,0.084,0.076
"P07","8",0.026,0.086,0.078
"P07","9",0.145,0.286,0.244
"P08","1",0.654,0.226,0.325
"P08","2",0.025,0.033,0.024
"P08","3",0.019,0.036,0.035
"P08","4",0.029,0.018,0.028
"P08","5",0.099,0.141,0.108
"P08","6",0.009,0.017,0.025
"P08","7",0.005,0.047,0.038
"P08","8",0.013,0.047,0.032
"P08","9",0.147,0.435,0.385
"P10","Del Frente de Todos y el peronismo",0.848,0.038,0.239
"P10","De Cambiemos",0.033,0.703,0.173
"P10","De los Liberales libertarios",0.027,0.184,0.328
"P10","De la Izquierda",0.031,0.006,0.044
"P10","No sabe",0.061,0.069,0.216
"P11","A Alberto Fernández",0.131,0.18,0.063
"P11","A Sergio Massa",0.283,0.269,0.191
"P11","A algún candidato del peronismo",0.092,0.372,0.162
"P11","A algún candidato del kirchnerismo",0.494,0.179,0.584
"P12","A Alberto Fernández",0.076,0.162,0.047
"P12","A Sergio Massa",0.139,0.191,0.079
"P12","A algún candidato del peronismo",0.079,0.417,0.164
"P12","A Cristina Fernández de Kirchner",0.706,0.23,0.71
"P13","A Horacio Rodriguez Larreta",0.553,0.288,0.118
"P13","A Mauricio Macri",0.083,0.272,0.432
"P13","A Patricia Bullrich",0.107,0.398,0.353
"P13","A Facundo Manes",0.203,0.034,0.057
"P13","A Gerardo Morales",0.054,0.008,0.04
"P14","Seguro lo votaria",0.08,0.153,0.121
"P14","Quizás lo votaría",0.521,0.348,0.348
"P14","Nunca lo votaría",0.399,0.499,0.531
"P15","Lo votaría",0.753,0.03,0.233
"P15","Puede que lo vote",0.101,0.034,0.062
"P15","Nunca lo votaría",0.067,0.911,0.622
"P15","No sabe",0.079,0.025,0.083
"P16","Lo votaría",0.306,0.023,0.094
"P16","Puede que lo vote",0.403,0.079,0.16
"P16","Nunca lo votaría",0.149,0.86,0.627
"P16","No sabe",0.142,0.038,0.119
"P17","Lo votaría",0.049,0.407,0.053
"P17","Puede que lo vote",0.128,0.392,0.224
"P17","Nunca lo votaría",0.757,0.16,0.595
"P17","No sabe",0.066,0.041,0.128
"P18","Lo votaría",0.016,0.323,0.065
"P18","Puede que lo vote",0.067,0.391,0.192
"P18","Nunca lo votaría",0.819,0.195,0.583
"P18","No sabe",0.098,0.091,0.16
"P19","Lo votaría",0.36,0.06,0.098
"P19","Puede que lo vote",0.403,0.08,0.208
"P19","Nunca lo votaría",0.198,0.83,0.627
"P19","No sabe",0.039,0.03,0.067
"P20","Lo votaría",0.054,0.079,0.028
"P20","Puede que lo vote",0.16,0.263,0.125
"P20","Nunca lo votaría",0.606,0.498,0.641
"P20","No sabe",0.18,0.16,0.206
"P21","Lo votaría",0.036,0.3,0.24
"P21","Puede que lo vote",0.062,0.356,0.184
"P21","Nunca lo votaría",0.832,0.266,0.474
"P21","No sabe",0.07,0.078,0.102
"P22","Lo votaría",0.007,0.067,0.044
"P22","Puede que lo vote",0.057,0.15,0.072
